,season,team,season_type,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance_list
0,2016,ARI,REG,16,383,646,4425,28,17,41,-289,8,3,6204,1747,231,19.32708969324939,-0.8289555536480454,1,399,1732,20,11,5,108,-33.14029407170747,0,383,636,4425,28,5,3,6204,1747,231,88.19401110443647,1,0,728,31,199,103,436,21,46.0,360.0,103,14,263,68,2,2,2,0,14,20,14,14,1,104,889,63,38,230,25,544,21,28,6,1,60,0.75,1,5,6,6,2,1,0,1,0,2,3,0,22;40;60;25;21;36;46;45;39;19;34;34;25;54;28;56;42;43;32;34;47,47;24;53;41;55;53,39,782,273,39,43,47,3,1,0.9148936170212766,2,3,1,0,47;34;43
1,2016,ATL,REG,16,374,537,4960,38,7,37,-235,3,2,4637,2267,239,172.49393355559928,6.725005316284464,1,421,1928,20,3,1,112,0.004772095608824856,1,374,530,4960,38,1,1,4637,2267,239,235.43767212700828,1,0,647,41,303,58,274,17,34.0,228.0,81,12,279,89,3,0,0,0,4,6,10,10,2,104,847,53,24,273,23,484,34,37,2,1,59,0.918918918918919,0,12,7,9,6,0,0,0,0,0,2,0,34;34;29;21;20;21;28;53;46;33;25;33;42;27;31;36;40;29;41;50;38;43;46;45;22;22;59;50;41;51;48;29;50;22,58;53,30,1239,111,30,56,57,1,0,0.9824561403508771,0,0,0,0,
2,2016,BAL,REG,16,439,679,4343,20,16,33,-243,4,2,5042,2090,205,-31.26573891152833,-0.3552433333002548,4,367,1463,10,4,1,84,-24.793175057310957,0,439,665,4343,20,2,1,5042,2090,205,31.860270797177435,4,1,623,30,304,70,288,14,31.0,223.0,80,18,178,71,0,8,0,23,11,13,10,10,1,125,1111,74,32,246,28,636,38,39,0,1,57,0.9743589743589743,0,4,10,14,10,0,0,0,0,0,0,0,50;37;52;49;41;43;42;37;53;24;43;31;23;39;35;50;49;44;49;42;25;40;46;52;57;54;36;55;50;38;37;53;47;41;38;46;23;30,,34,1601,0,34,27,27,0,0,1.0,0,0,0,0,
3,2016,BUF,REG,16,286,474,3250,17,7,46,-214,2,2,4480,1190,155,20.165317539858087,0.8622892606751823,2,492,2630,29,11,3,155,43.77742129822451,2,286,459,3250,17,0,0,4480,1190,155,97.38414682833192,2,0,602,137,337,59,285,11,39.0,253.0,79,12,207,74,1,0,0,0,9,12,6,6,2,112,960,57,28,314,39,829,19,25,6,0,54,0.76,1,8,5,4,1,0,0,0,0,5,1,0,39;19;45;34;43;44;23;40;29;23;31;26;54;20;27;21;34;28;34,49;47;49;54;46;45,,614,290,0,40,45,4,1,0.8888888888888888,0,0,0,0,
4,2016,CAR,REG,16,306,563,3962,21,19,36,-277,2,2,5711,1471,194,-26.78540088712222,-4.557922291173654,2,453,1814,16,6,4,105,-31.360405379202895,1,306,553,3962,21,1,1,5711,1471,194,43.887580226739395,2,0,671,29,331,73,324,18,47.0,270.0,93,17,204,70,1,2,1,79,3,3,10,10,2,98,850,73,29,202,37,828,30,38,8,0,54,0.7894736842105263,0,4,9,14,3,0,0,0,2,3,3,0,44;36;39;31;49;41;48;54;42;43;52;21;38;37;42;32;49;42;41;44;45;23;35;23;23;41;31;40;31;54,50;54;43;48;38;45;58;36,,1171,372,0,31,34,1,2,0.9117647058823529,0,1,1,0,50
5,2016,CHI,REG,16,347,559,4139,19,19,28,-170,8,5,5153,1654,212,7.397014502923117,0.11816593955774962,0,380,1735,10,8,3,106,-37.862160134958685,0,347,550,4139,19,5,2,5153,1654,212,66.14462692413325,0,1,705,58,214,62,270,11,37.0,230.0,75,8,73,70,1,2,1,0,13,17,3,3,1,110,967,62,27,215,42,897,18,23,4,1,54,0.782608695652174,0,7,7,3,1,0,0,0,1,1,2,0,34;25;35;49;24;36;24;32;39;30;28;54;40;45;38;26;22;29,31;50;49;51,22,610,181,22,31,32,1,0,0.96875,0,0,0,0,
6,2016,CIN,REG,16,364,563,4206,18,8,41,-264,4,1,4416,1820,204,63.68831079074759,2.812222765270628,0,446,1769,17,5,2,106,-10.034059794278486,0,364,542,4206,18,4,4,4416,1820,204,124.52038286332723,0,0,658,44,356,57,230,6,33.0,185.0,104,17,138,85,0,7,1,0,10,12,3,3,0,88,726,64,38,246,39,1003,28,35,7,0,47,0.8,0,13,9,6,0,0,0,0,1,3,3,0,33;21;47;25;33;21;34;42;22;43;22;47;25;36;25;38;23;36;32;33;26;38;44;23;22;43;23;24,52;50;40;45;51;36;43,,881,317,0,29,35,6,0,0.8285714285714286,0,1,1,0,43
7,2016,CLE,REG,16,338,567,3693,15,14,66,-429,8,5,4852,1694,181,-36.70367194272995,-1.3729232747281386,2,350,1712,13,12,5,94,-35.286059824423184,0,338,558,3693,15,2,0,4852,1694,181,90.02900915223833,2,0,690,26,336,52,243,6,26.0,177.0,81,10,146,67,1,2,0,0,11,18,3,3,0,95,736,63,30,200,34,634,21,27,6,0,51,0.7777777777777778,0,6,7,7,1,0,0,0,0,5,1,0,35;46;48;38;51;45;45;37;28;41;27;31;24;20;25;30;35;40;49;27;34,52;41;42;46;41;49,,756,271,0,23,25,1,1,0.92,0,0,0,0,
8,2016,DAL,REG,16,325,483,3799,25,6,28,-168,6,4,3877,1645,191,113.29318937399735,3.8618070503117345,0,499,2396,24,8,2,149,22.672139671064112,0,325,479,3799,25,4,3,3877,1645,191,154.1802201194599,0,0,642,63,299,77,282,18,34.0,197.0,90,9,75,64,0,1,0,0,13,15,11,11,0,105,879,50,28,198,24,492,27,32,5,0,56,0.84375,0,9,8,7,3,0,0,0,0,2,3,0,23;56;25;54;22;31;49;22;44;22;32;38;23;49;37;53;46;30;21;46;39;27;40;38;33;49;23,47;47;55;56;52,,972,257,0,46,46,0,0,1.0,0,0,0,0,
9,2016,DEN,REG,16,339,570,3914,20,11,40,-229,5,2,5004,1576,181,15.526789734062648,-0.5372909490052518,1,410,1484,11,5,2,80,-67.35255812955872,0,339,556,3914,20,8,7,5004,1576,181,59.62170724637142,1,0,708,44,258,51,224,16,41.0,228.0,114,14,367,83,3,5,0,0,10,11,13,13,1,119,985,65,37,316,21,481,29,34,5,0,55,0.8529411764705882,0,9,10,7,3,0,0,0,0,2,2,1,23;43;33;35;20;38;24;35;46;45;29;46;22;32;28;22;55;44;50;28;37;33;44;32;41;34;33;52;22,54;56;42;62;48,,1026,262,0,32,33,0,1,0.9696969696969697,0,0,0,0,
10,2016,DET,REG,16,388,594,4327,24,10,37,-216,3,2,4421,2227,217,73.99657127971115,0.11854585645527001,1,350,1310,9,2,2,77,-32.494160243431125,0,388,580,4327,24,1,0,4421,2227,217,141.89923047683004,1,2,679,53,227,55,233,8,26.0,161.0,68,10,96,63,1,4,2,32,3,3,4,4,0,100,861,57,20,246,35,793,31,36,5,0,58,0.8611111111111112,0,10,4,10,7,0,0,0,1,4,0,0,43;42;27;42;50;50;21;29;34;43;27;47;34;47;53;58;27;43;29;48;40;27;29;32;27;52;29;54;48;33;54,43;49;49;47;39,,1219,227,0,31,33,1,1,0.9393939393939394,2,2,0,0,43;40
11,2016,GB,REG,16,403,620,4445,40,8,35,-246,5,2,5387,2043,223,124.32931659349681,2.8307738419658746,1,374,1701,11,5,3,95,-5.062696948825163,1,403,614,4445,40,6,3,5387,2043,223,181.98943195131656,1,0,659,61,207,75,381,9,39.0,285.0,83,17,209,88,0,5,0,0,10,12,8,8,0,100,827,64,26,235,32,631,26,30,3,1,53,0.8666666666666667,1,6,13,5,1,0,0,0,1,1,1,0,25;20;36;46;44;33;25;37;43;34;32;40;29;34;27;29;38;36;33;32;38;34;18;32;48;53,48;36;51,31,896,135,31,44,47,3,0,0.9361702127659575,1,1,0,0,32
12,2016,HOU,REG,16,347,583,3418,15,16,32,-242,4,2,4974,1374,173,-57.536832348711165,-3.2890853606022326,0,456,1859,8,8,2,107,-45.98693918054728,0,347,577,3418,15,2,1,4974,1374,173,0.958864001911071,0,1,632,49,295,61,257,7,31.0,198.0,89,11,132,70,1,4,1,0,8,9,6,6,0,87,868,67,39,427,30,557,35,41,6,0,53,0.8536585365853658,1,12,11,8,3,0,0,0,0,3,3,0,28;28;38;32;24;31;43;53;45;38;30;27;33;43;43;29;33;36;51;32;28;19;45;21;52;24;41;34;39;45;43;27;25;22;26,57;48;51;49;50;45,,1208,300,0,22,25,2,1,0.88,1,1,0,0,33
13,2016,IND,REG,16,370,584,4491,32,15,44,-289,4,3,4849,1800,222,57.68345641935877,1.399223284629523,2,409,1628,13,5,3,96,-33.458239839705776,0,370,572,4491,32,3,1,4849,1800,222,144.97402899998278,2,1,696,11,253,50,226,15,33.0,211.0,82,8,100,60,0,3,0,0,7,11,9,9,1,102,883,56,22,182,32,804,27,31,4,0,54,0.8709677419354839,0,3,7,10,7,0,0,0,0,2,2,0,50;40;48;52;38;33;53;49;54;53;26;41;46;41;37;36;28;33;28;49;53;36;32;48;50;42;45,42;52;55;48,,1141,197,0,44,44,0,0,1.0,0,0,0,0,
