,season,team,season_type,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance_list
0,2019,ARI,REG,16,355,554,3797,20,12,50,-320,2,0,4195,1880,176,5.87107285791338,-1.6972189983933994,3,396,1990,18,3,2,114,3.9212366948557977,0,355,529,3797,20,4,4,4195,1880,176,82.35727551558229,3,0,714,62,342,81,322,19,40.0,275.0,91,7,82,56,0,0,0,0,3,6,10,10,0,121,956,70,24,168,36,764,31,35,3,1,54,0.8857142857142857,0,12,12,5,2,0,0,0,1,2,0,0,20;42;34;28;22;21;21;34;47;33;23;20;22;31;39;22;47;35;31;31;50;36;37;54;26;43;30;21;22;46;31,43;48;37,45,999,128,45,34,35,1,0,0.9714285714285714,1,1,0,0,31
1,2019,ATL,REG,16,459,684,5049,29,15,50,-335,9,5,5535,1899,258,42.523433804198184,2.3808492822501495,2,362,1361,10,4,2,89,-39.79014250428645,0,459,655,5049,29,3,1,5535,1899,258,158.00480380849132,2,1,586,51,395,63,283,17,28.0,219.0,69,12,130,57,1,5,0,0,10,10,8,8,1,119,956,71,37,263,25,571,32,40,8,0,52,0.8,0,7,12,10,3,0,0,0,2,2,4,0,50;34;42;35;29;44;52;47;37;37;36;48;30;38;23;29;25;40;38;45;43;37;35;29;50;43;23;27;33;45;43;33,50;32;50;51;53;38;42;42,,1200,358,0,29,31,2,0,0.9354838709677419,0,0,0,0,
2,2019,BAL,REG,16,289,440,3350,37,8,28,-125,0,0,3822,1447,171,141.06922211749537,3.2501925169578136,0,596,3296,21,11,5,196,65.48963515000987,2,289,424,3350,37,2,1,3822,1447,171,178.49150219107364,0,0,574,41,257,66,308,15,37.0,268.0,111,13,259,71,2,2,1,0,10,12,12,12,4,109,867,53,25,206,27,493,28,29,1,0,51,0.9655172413793104,0,8,9,10,1,0,0,0,0,1,0,0,34;33;28;51;39;41;27;26;48;46;40;49;21;25;28;22;39;34;46;34;30;49;36;31;45;22;42;47,43,,1013,43,0,57,59,2,0,0.9661016949152542,2,2,0,0,46;49
3,2019,BUF,REG,16,299,513,3476,21,12,40,-247,8,3,4686,1503,162,-19.234438567474022,-2.7070051370207797,2,465,2054,13,13,4,129,-18.05014529993045,1,299,485,3476,21,0,0,4686,1503,162,70.4396010956483,2,1,583,115,303,84,425,16,44.0,298.0,92,14,59,83,0,1,1,0,15,17,9,9,0,117,927,64,32,243,32,802,22,28,6,0,51,0.7857142857142857,0,5,7,9,1,0,0,0,1,1,3,1,43;34;45;46;39;43;45;42;51;34;21;39;23;41;26;36;47;48;36;35;28;29,62;49;53;34;53;50,,831,301,0,30,32,1,1,0.9375,0,0,0,0,
4,2019,CAR,REG,16,382,633,4134,17,21,58,-484,10,6,5299,2032,230,-63.03101867745218,-2.5478562961022058,0,386,1819,20,7,4,87,-31.600989977620028,1,382,600,4134,17,2,1,5299,2032,230,74.13120192950734,0,0,663,27,315,72,328,8,53.0,301.0,108,14,141,67,0,5,2,4,11,15,7,7,1,87,754,51,25,171,31,677,25,32,6,1,55,0.78125,0,4,5,8,8,0,0,1,0,3,1,1,46;52;32;37;54;51;36;48;55;26;49;46;29;41;35;50;31;41;52;46;42;52;27;50;23,53;46;60;41;49;28,56,1051,277,56,31,35,3,1,0.8857142857142857,0,0,0,0,
5,2019,CHI,REG,16,371,580,3573,20,12,45,-282,3,2,4538,1538,178,-30.309324108016558,-1.8211519197812156,1,395,1458,8,5,3,91,-62.15958244832187,0,371,566,3573,20,1,0,4538,1538,178,53.97142194706501,1,1,711,15,231,52,261,12,32.0,242.0,79,10,157,67,1,3,1,0,5,7,9,9,0,103,838,68,33,302,34,903,23,28,5,0,53,0.8214285714285714,1,8,9,3,2,0,0,0,1,4,0,0,38;40;52;53;38;25;38;30;46;22;25;19;26;24;30;36;30;27;46;26;33;34;22,44;33;41;48;47,,760,213,0,27,29,2,0,0.9310344827586207,2,3,1,0,53;41;22
6,2019,CIN,REG,16,356,616,3994,18,16,48,-342,9,7,5022,1753,191,-66.80053814226018,-4.979464130915689,1,385,1517,9,3,0,90,-32.47349700284512,1,356,589,3994,18,7,5,5022,1753,191,29.79902846911644,1,1,629,32,376,58,261,9,31.0,204.0,86,11,181,58,0,4,1,0,8,11,5,5,0,93,761,70,29,164,42,1091,27,31,4,0,57,0.8709677419354839,0,10,6,10,1,0,0,0,0,2,2,0,39;27;37;43;28;23;48;23;22;38;28;42;39;40;27;24;47;34;44;28;46;34;48;20;57;47;46,45;52;53;48,,979,198,0,24,25,1,0,0.96,0,0,0,0,
7,2019,CLE,REG,16,318,539,3847,22,21,41,-293,4,2,4633,1825,180,-13.097062754239632,-3.160044037857646,1,393,1901,15,5,2,95,-23.539073847902323,0,318,517,3847,22,2,2,4633,1825,180,59.49902053764817,1,0,665,39,287,74,349,12,38.0,270.0,82,14,219,64,1,3,0,27,7,9,6,6,0,122,1106,59,23,163,38,830,25,29,4,0,53,0.8620689655172413,0,6,9,9,1,0,0,0,0,3,1,0,23;48;43;23;35;24;43;30;38;47;39;30;27;30;27;47;40;26;31;34;53;31;44;47;42,45;50;46;45,,902,186,0,30,35,5,0,0.8571428571428571,0,0,0,0,
8,2019,DAL,REG,16,388,597,4902,30,11,23,-151,4,2,5613,1880,229,124.23810016545302,0.9661917212522692,1,449,2153,18,7,3,128,13.132384559621059,1,388,576,4902,30,4,2,5613,1880,229,176.02375217882204,1,0,631,26,346,74,396,14,39.0,303.0,90,7,83,71,0,0,0,0,8,9,10,10,1,109,1008,58,23,131,20,325,30,40,9,1,63,0.75,0,10,7,8,3,2,0,0,1,4,4,0,25;28;28;36;50;62;32;26;63;29;35;52;28;23;30;34;46;27;29;31;50;42;42;49;32;49;28;47;48;40,55;54;33;40;54;57;46;47;42,35,1141,428,35,46,46,0,0,1.0,0,0,0,0,
9,2019,DEN,REG,16,312,504,3401,16,10,41,-286,8,3,3522,1701,163,-28.33134134045632,-2.5039170982931855,1,409,1662,11,2,1,87,-32.3444643914891,0,312,481,3401,16,4,2,3522,1701,163,60.47295605567137,1,0,624,57,353,73,277,9,40.0,213.0,79,10,87,70,0,3,0,0,13,15,6,7,1,110,912,58,27,208,21,534,29,34,5,0,53,0.8529411764705882,0,6,9,10,4,0,0,0,0,2,2,1,26;26;39;43;32;30;33;40;46;31;53;48;21;29;43;47;29;41;45;31;52;53;36;32;34;26;43;49;51,64;54;45;43;57,,1109,263,0,25,26,1,0,0.9615384615384616,1,1,0,0,53
