,season,team,season_type,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance_list
0,2025,ARI,REG,7,162,242,1561,10,4,24,-162,1,1,1653,773,80,12.235386542888643,0.8275854510146302,0,175,773,5,3,2,43,-11.609176610907646,0,162,231,1561,10,0,0,1653,773,80,61.8111358616203,0,0,256,11,213,33,130,5,12.0,80.0,35,4,31,40,0,1,1,0,1,2,3,3,1,54,393,26,10,123,27,693,13,15,1,1,57,0.8666666666666667,0,2,4,5,2,0,0,0,0,0,1,0,42;50;29;47;34;28;33;57;40;44;32;40;39,57,46,515,57,46,16,16,0,0,1.0,0,0,0,0,
1,2025,ATL,REG,6,124,202,1438,5,3,9,-70,1,1,1589,724,69,-4.337160939312431,-5.071867072037634,0,179,818,6,3,1,45,0.8994378055974002,0,124,197,1438,5,1,1,1589,724,69,12.685884699410064,0,0,190,7,173,25,95,4,15.0,87.0,33,6,22,27,0,0,0,0,3,4,3,3,0,33,230,23,8,57,24,501,11,15,3,1,54,0.7333333333333333,0,2,7,1,1,0,0,0,0,2,1,0,41;36;38;29;33;33;54;38;26;33;38,44;49;55,37,399,148,37,11,11,0,0,1.0,0,0,0,0,
2,2025,BAL,REG,6,112,163,1240,10,5,20,-142,2,1,1269,523,55,-2.618228020147787,5.421090249423009,0,142,757,6,5,3,40,-3.3057530735031344,0,112,157,1240,10,2,1,1269,523,55,34.630662347069126,0,0,236,11,185,25,93,3,8.0,53.0,28,1,61,14,0,0,0,5,4,5,2,2,1,38,274,25,7,111,31,762,9,10,1,0,52,0.9,0,1,3,4,1,0,0,0,0,0,1,0,52;49;43;32;41;43;32;27;37,55,,356,55,0,15,16,1,0,0.9375,0,0,0,0,
3,2025,BUF,REG,6,123,180,1429,11,4,12,-65,0,0,1414,691,74,33.55073876711354,3.107073562485831,0,186,906,9,5,1,54,17.259416029035755,0,123,175,1429,11,2,1,1414,691,74,47.342593370179365,0,0,245,7,109,35,159,8,15.0,84.0,28,2,28,16,0,1,0,0,4,7,3,3,0,44,351,33,11,64,26,671,10,11,1,0,52,0.9090909090909091,0,2,4,3,1,0,0,0,1,0,0,0,25;43;32;28;52;33;48;35;31;45,39,,372,39,0,17,17,0,0,1.0,1,1,0,0,32
4,2025,CAR,REG,7,147,237,1406,12,5,12,-100,2,2,1607,700,78,-15.38450769966278,0.0479718989080137,0,208,981,3,1,1,54,7.935471790452075,0,147,222,1406,12,2,0,1607,701,78,30.496111732066506,0,0,243,8,168,25,109,1,11.0,69.0,24,6,75,28,1,1,0,0,3,3,1,1,0,42,350,26,11,66,22,514,12,13,1,0,57,0.9230769230769231,0,2,5,3,2,0,0,0,0,0,1,0,48;27;57;35;41;35;49;31;55;33;30;29,55,,470,55,0,13,14,1,0,0.9285714285714286,1,1,0,0,33
5,2025,CHI,REG,6,115,188,1378,9,3,11,-75,0,0,1562,702,62,15.22678504593537,-5.532140119655712,0,175,776,6,6,1,52,-9.537780734515607,0,115,185,1378,9,0,0,1562,702,62,35.287974217567616,0,0,216,19,161,27,106,4,12.0,56.0,27,11,204,27,1,0,0,0,5,8,5,5,0,53,454,17,11,121,26,670,14,16,1,1,52,0.875,0,2,4,6,2,0,0,0,0,0,1,0,42;30;46;43;52;51;47;48;41;38;27;39;24;33,50,48,561,50,48,14,14,0,0,1.0,1,1,0,0,38
6,2025,CIN,REG,7,161,252,1507,13,8,18,-108,1,0,1803,686,73,-18.94968947675702,0.917083093561388,1,131,482,2,2,1,31,-4.761265896442511,0,161,239,1507,13,4,2,1803,686,73,2.5595729517325294,1,0,269,13,245,22,83,2,11.0,58.0,28,8,38,30,0,0,0,0,4,4,1,1,0,38,254,28,6,78,33,793,10,12,2,0,50,0.8333333333333334,0,2,3,4,1,0,0,0,0,0,1,1,35;31;45;26;50;45;49;23;45;36,67;56,,385,123,0,14,14,0,0,1.0,1,1,0,0,36
7,2025,CLE,REG,7,157,267,1361,5,6,19,-114,2,2,1794,710,63,-70.33641435265648,-5.236627588946506,0,174,648,6,0,0,45,-4.421730064685107,0,157,251,1361,5,1,0,1794,710,63,-20.891170795153013,0,0,221,24,212,46,176,7,18.0,129.0,36,5,97,25,1,1,0,0,2,2,3,3,0,48,388,26,13,103,27,644,10,12,2,0,55,0.8333333333333334,0,0,7,1,2,0,0,0,1,0,1,0,45;38;35;55;33;31;31;53;32;30,36;56,,383,92,0,11,12,1,0,0.9166666666666666,1,1,0,0,55
8,2025,DAL,REG,7,188,264,1922,16,4,8,-43,0,0,1907,872,93,68.34839377691631,5.012650149209159,1,175,855,8,5,2,52,0.3732657065791618,0,188,259,1922,16,0,0,1907,872,93,81.54774675045296,1,0,286,6,220,35,169,5,14.0,102.0,41,3,89,15,1,1,0,0,4,7,3,3,0,58,475,40,8,61,32,768,15,15,0,0,64,1.0,0,4,2,4,3,2,0,0,0,0,0,0,41;53;51;44;64;46;53;33;22;35;23;28;47;61;29,,,630,0,0,23,24,1,0,0.9583333333333334,1,1,0,0,46
9,2025,DEN,REG,7,160,256,1556,11,4,8,-50,1,1,1773,902,78,20.386225810452046,-2.963287208551242,3,192,923,8,2,0,48,3.570757780020358,0,160,243,1556,11,1,1,1773,902,78,36.749083738054466,3,0,250,9,211,35,186,4,34.0,202.0,73,2,21,39,0,1,0,0,2,2,3,3,0,61,575,32,17,209,28,686,9,10,1,0,57,0.9,0,2,4,1,2,0,0,0,0,1,0,0,39;33;42;26;55;36;57;27;39,42,,354,42,0,16,16,0,0,1.0,1,1,0,0,39
10,2025,DET,REG,7,153,204,1634,16,3,13,-69,2,2,1333,917,85,49.79656223067845,9.851826001436283,0,207,936,10,1,0,50,-5.833247235868392,0,153,195,1634,16,1,0,1333,917,85,83.89177253027277,0,1,255,7,173,28,144,9,23.0,144.0,42,7,51,42,0,0,1,0,1,2,4,4,0,42,315,23,12,125,25,636,8,11,3,0,58,0.7272727272727273,0,2,2,2,2,0,0,0,0,0,2,1,30;27;34;45;48;58;28;58,55;67;54,,328,176,0,27,27,0,0,1.0,0,0,0,0,
11,2025,GB,REG,6,122,176,1438,10,2,10,-83,1,1,1400,742,67,50.6560351975432,6.88269432724976,0,177,705,8,2,0,43,5.165193672194817,0,122,164,1438,10,0,0,1400,742,67,75.64133549698063,0,0,215,14,202,32,127,1,18.0,112.0,52,2,0,24,0,0,0,37,3,3,1,1,0,50,379,27,13,71,19,505,11,13,1,1,61,0.8461538461538461,0,1,6,1,2,1,0,0,0,1,0,0,34;38;22;56;39;53;34;43;39;31;61,48,43,450,48,43,17,18,0,1,0.9444444444444444,0,0,0,0,
12,2025,HOU,REG,6,127,197,1328,9,4,15,-139,0,0,1520,583,59,0.9270039958732251,-0.6299398800465449,0,150,637,3,0,0,33,-4.2778220278425465,0,127,191,1328,9,2,2,1520,583,59,23.857103747182183,0,0,219,12,132,30,147,4,14.0,108.0,31,7,68,27,0,0,0,1,0,0,3,3,1,44,372,16,14,150,16,409,13,15,2,0,57,0.8666666666666667,0,1,3,4,5,0,0,0,0,0,2,0,51;45;53;35;53;27;47;43;50;57;34;36;46,52;54,,577,106,0,10,10,0,0,1.0,0,0,0,0,
13,2025,IND,REG,7,153,217,1799,10,3,6,-48,1,0,1818,819,91,67.30518171745258,3.9238007001157076,1,196,911,16,0,0,62,26.740595781253724,1,153,212,1799,10,1,1,1818,819,91,71.70112145746782,1,0,270,11,193,37,171,2,19.0,126.0,54,9,96,34,1,0,0,0,3,3,2,2,0,47,383,26,5,35,26,764,15,16,1,0,52,0.9375,0,5,6,3,1,0,0,0,0,0,1,0,24;35;28;48;29;33;36;28;45;24;36;52;38;45;36,51,,537,51,0,21,22,1,0,0.9545454545454546,1,1,0,0,45
14,2025,JAX,REG,7,152,259,1620,9,5,20,-114,0,0,2093,723,77,-12.760474365182436,-5.625492878376492,0,179,838,6,2,1,50,7.864878453437209,0,152,252,1620,9,2,0,2093,723,77,14.616167645222758,0,1,235,10,184,24,82,5,8.0,59.0,35,10,186,44,1,2,0,0,2,2,4,4,0,65,528,27,13,172,22,557,10,14,4,0,52,0.7142857142857143,0,3,3,3,1,0,0,0,0,2,2,0,35;47;36;28;42;25;39;26;44;52,47;47;50;50,,374,194,0,14,15,1,0,0.9333333333333333,0,0,0,0,
15,2025,KC,REG,7,164,248,1800,14,2,11,-70,3,0,1920,938,91,58.2908314755582,1.7773405278576966,0,195,864,8,1,0,65,12.880461161283234,0,164,239,1800,14,1,0,1920,938,91,75.81987277760147,0,0,237,7,171,29,76,3,13.0,52.0,38,4,25,22,0,1,0,0,7,7,3,3,0,47,388,25,12,106,25,672,12,15,3,0,59,0.8,0,3,5,1,3,0,0,0,0,1,2,0,35;59;27;56;54;48;28;38;23;31;33;38,58;40;56,,470,154,0,18,21,3,0,0.8571428571428571,0,0,0,0,
16,2025,LA,REG,7,160,243,1866,17,2,11,-69,1,1,2118,660,92,52.49957061159244,2.407656540850547,0,175,724,4,5,3,46,-27.32709150016563,0,160,238,1866,17,1,1,2118,660,92,76.1506619980983,0,0,281,17,203,35,194,7,26.0,171.0,58,4,0,38,0,0,0,0,3,6,5,5,0,38,314,28,15,126,23,556,10,14,2,2,51,0.7142857142857143,0,3,3,3,1,0,0,1,0,0,1,0,21;21;51;28;33;46;42;37;48;36,53;26,36;44,363,79,80,19,21,0,2,0.9047619047619048,0,0,0,0,
17,2025,LAC,REG,7,186,275,1957,13,6,21,-126,0,0,2078,861,91,15.134267218478605,1.7610719510868413,0,160,778,2,2,1,43,-0.1104066044441705,1,186,268,1957,13,5,2,2078,861,91,41.043145370571544,0,0,250,10,184,35,146,2,17.0,96.0,36,6,31,35,0,0,0,0,2,4,1,1,0,52,379,21,11,90,28,713,15,15,0,0,55,1.0,0,3,8,3,1,0,0,0,0,0,0,0,39;36;38;20;32;24;43;43;55;35;31;29;35;33;43,,,536,0,0,14,14,0,0,1.0,2,2,0,0,43;33
18,2025,LV,REG,7,135,204,1425,7,10,19,-146,0,0,1396,783,66,-26.29292891907608,-0.6236376325089728,1,170,656,3,3,2,36,-44.35448830478911,0,135,199,1425,7,0,0,1396,783,66,8.772708475081252,1,0,261,17,195,43,150,5,14.0,86.0,31,3,19,25,0,0,0,0,2,4,4,4,0,45,364,26,10,106,28,744,11,14,2,1,54,0.7857142857142857,0,3,3,2,3,0,0,0,0,0,2,0,51;40;54;40;37;37;29;24;37;50;29,58;57,54,428,115,54,8,8,0,0,1.0,0,1,0,1,54
19,2025,MIA,REG,7,150,222,1406,11,10,17,-100,2,1,1552,684,77,-11.354744806445188,1.7953978444254675,1,140,647,4,6,0,35,-3.1393403374218485,0,150,215,1406,11,0,0,1552,684,77,22.097290638626287,1,1,282,12,178,28,125,6,14.0,92.0,28,1,7,18,0,0,0,0,8,12,5,5,0,49,389,35,9,163,38,1011,9,10,1,0,47,0.9,0,2,2,5,0,0,0,0,0,0,1,0,40;44;47;36;43;47;27;33;26,57,,343,57,0,15,15,0,0,1.0,0,0,0,0,
20,2025,MIN,REG,6,122,188,1434,8,7,23,-145,2,1,1565,625,64,-9.305219305574196,0.7009392614522691,2,142,623,5,6,2,42,-14.059109401453881,0,122,181,1434,8,0,0,1565,625,64,34.96415000787506,2,0,224,10,178,36,148,8,16.0,97.0,27,2,87,15,1,1,0,0,5,7,5,5,1,47,367,28,18,176,26,652,13,14,1,0,62,0.9285714285714286,0,3,5,1,3,1,0,0,0,0,1,0,31;59;33;51;35;62;41;28;59;34;28;35;29,51,,525,51,0,12,12,0,0,1.0,0,0,0,0,
21,2025,NE,REG,7,153,204,1756,12,2,22,-77,2,1,1539,708,83,73.16013859736363,11.389095135751715,0,194,724,7,4,3,49,-21.970440039352745,2,153,197,1756,12,1,1,1539,708,83,105.23608273409023,0,2,244,19,189,39,116,4,17.0,90.0,35,5,90,20,0,0,0,0,5,7,4,4,1,58,447,18,9,208,28,705,9,10,1,0,53,0.9,1,2,3,1,2,0,0,0,0,1,0,0,35;44;22;53;30;19;52;24;36,40,,315,40,0,18,20,2,0,0.9,1,1,0,0,52
22,2025,NO,REG,7,160,239,1469,8,5,15,-85,3,1,1904,584,69,-18.125084610973634,1.5572753926031455,0,183,701,3,0,0,44,-9.622421016301455,0,160,229,1469,8,2,2,1904,584,69,5.11297040520556,0,0,276,13,173,33,107,5,13.0,72.0,34,4,0,31,0,0,0,0,2,2,5,5,1,55,392,29,8,112,32,758,14,20,6,0,54,0.7,0,6,4,1,3,0,0,0,1,2,3,0,36;28;27;23;54;35;28;53;29;28;34;48;38;54,37;40;52;52;46;53,,515,280,0,11,11,0,0,1.0,0,0,0,0,
