,season,team,season_type,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance_list
0,2024,ARI,REG,17,374,543,3859,21,11,30,-220,3,1,3697,1974,191,64.52634920272746,2.1810916567623746,0,463,2451,18,9,4,147,21.71392802745348,3,374,523,3859,21,5,4,3697,1972,191,109.59605451532238,0,1,566,91,497,87,351,17,41.0,256.0,76,9,12,63,0,2,2,0,10,13,8,8,2,92,806,52,21,202,25,709,34,38,3,1,58,0.8947368421052632,0,7,12,10,5,0,0,0,0,3,0,0,29;31;48;57;42;45;30;42;35;38;40;32;57;34;29;55;37;35;22;32;31;24;40;23;28;49;35;40;48;30;58;28;51;49,47;45;40,45,1304,132,45,36,37,0,1,0.972972972972973,2,2,0,0,32;34
1,2024,ATL,REG,17,364,559,4283,21,19,32,-215,9,2,4466,1958,199,34.316686777479276,-0.06262451576169002,0,495,2219,18,6,0,147,0.12841468861860506,2,364,539,4283,21,3,1,4466,1958,199,104.14479116310551,0,0,628,67,445,79,307,12,31.0,187.0,74,12,187,66,3,0,1,0,13,19,6,6,1,99,828,64,21,200,30,791,29,41,10,2,58,0.7073170731707317,0,7,8,7,7,0,0,0,1,5,4,0,24;39;22;34;54;53;44;42;58;54;48;52;21;31;35;39;27;41;51;41;26;20;29;40;48;52;37;39;31,41;54;46;53;46;35;42;43;56;52,54;35,1132,468,89,38,38,0,0,1.0,1,1,0,0,58
2,2024,BAL,REG,17,318,477,4189,41,4,24,-154,2,1,4162,2086,199,170.46887614505388,4.7025994901062305,0,554,3189,21,9,5,173,50.3468627334633,1,318,457,4189,41,1,1,4162,2086,199,219.51779393013734,0,0,591,61,419,82,362,12,53.0,314.0,122,12,102,82,2,3,0,0,12,17,5,5,1,132,1120,66,22,213,30,811,22,30,8,0,56,0.7333333333333333,0,4,7,5,6,0,0,0,0,3,5,0,25;32;48;42;32;56;24;45;32;39;28;52;49;33;37;54;45;34;50;51;23;52,53;56;46;50;47;50;47;53,,883,402,0,60,62,2,0,0.967741935483871,1,1,0,0,24
3,2024,BUF,REG,17,329,520,3938,30,6,14,-63,4,2,4262,2186,181,132.67171673932293,0.2537480719161715,1,491,2230,32,2,0,144,48.12527660571717,0,329,495,3938,30,2,0,4262,2186,181,172.57079117276132,1,0,604,101,425,93,426,18,37.0,246.0,94,16,145,60,2,1,1,0,8,8,16,16,1,112,833,68,27,313,24,621,24,29,5,0,61,0.8275862068965517,0,6,7,7,3,1,0,1,0,4,0,0,37;39;43;27;43;50;38;33;22;28;30;27;40;49;61;29;47;28;33;50;41;50;39;49,45;48;47;49;24,,933,213,0,59,64,4,1,0.921875,1,1,0,0,61
4,2024,CAR,REG,17,341,547,3411,22,15,36,-223,3,1,4464,1431,171,-49.31081541928745,-0.026900456448803046,0,410,1878,18,3,3,102,3.743683073065567,1,341,518,3411,22,6,3,4464,1431,171,28.487254593139063,0,0,650,72,566,65,299,8,32.0,223.0,64,9,96,67,0,1,0,37,7,7,8,8,0,118,947,73,24,177,42,1060,22,26,4,0,53,0.8461538461538461,0,7,8,6,1,0,0,0,1,2,1,0,43;38;43;35;26;48;27;24;40;48;53;36;30;32;29;33;47;27;22;38;29;35,45;38;45;53,,783,181,0,33,35,2,0,0.9428571428571428,1,1,0,0,36
5,2024,CHI,REG,17,353,566,3552,20,7,68,-466,6,3,4534,1876,173,-53.314411206948215,-0.20389358580339642,3,431,1734,13,4,2,101,-27.373577696403313,0,353,526,3552,20,5,2,4534,1876,173,81.19006000928805,3,2,590,113,447,81,331,17,40.0,254.0,100,11,87,66,1,1,0,21,9,11,13,13,0,110,867,68,24,304,27,768,21,25,1,3,54,0.84,0,4,4,5,8,0,0,0,0,0,1,0,24;50;48;53;54;53;40;33;29;53;53;33;53;27;49;48;29;39;30;42;51,56,43;46;48,891,56,137,25,26,1,0,0.9615384615384616,1,2,0,1,46;51
6,2024,CIN,REG,17,460,652,4918,43,9,48,-278,9,5,4614,2192,254,115.12695542445556,6.786788494628712,0,380,1574,11,6,2,93,-9.513695408275204,1,460,628,4918,43,5,3,4614,2192,254,220.74357036180658,0,1,592,82,458,72,315,14,36.0,217.0,105,15,249,79,2,4,1,0,7,9,10,10,0,101,780,83,34,248,39,1133,25,33,8,0,59,0.7575757575757576,0,11,6,4,4,0,0,0,1,3,4,0,51;22;33;48;53;28;31;56;46;37;27;44;27;26;27;38;37;29;21;59;22;48;27;35;23,48;53;50;54;48;51;47;33,,895,384,0,51,53,2,0,0.9622641509433962,0,0,0,0,
7,2024,CLE,REG,17,395,661,3879,19,23,66,-373,9,5,5139,1711,180,-175.00518532804438,-4.135697847379127,5,391,1608,8,6,3,98,-25.846051966612833,0,395,634,3879,19,2,1,5139,1711,180,-37.57736932462585,5,1,587,113,403,112,420,12,41.0,267.0,108,4,-2,60,0,2,1,50,9,11,8,8,1,119,915,66,45,450,41,1018,18,27,8,1,56,0.6666666666666666,0,3,6,5,4,0,0,1,1,3,3,0,51;53;38;44;56;51;31;43;49;31;28;33;48;38;34;45;25;23,53;52;49;51;27;47;38;43,51,721,360,51,18,21,3,0,0.8571428571428571,0,0,0,0,
8,2024,DAL,REG,17,398,637,4092,23,14,38,-230,6,2,4686,2030,193,-46.17726065651338,-4.825572750959352,1,429,1705,6,12,5,110,-51.73058314762088,0,398,622,4092,23,7,5,4686,2030,193,13.610859559546213,1,3,631,51,447,70,371,18,51.0,330.0,105,13,97,70,1,2,0,0,14,19,9,9,0,128,921,60,19,187,34,1091,40,47,5,2,65,0.851063829787234,0,4,8,14,12,2,0,0,0,2,1,2,57;40;50;46;52;38;48;40;65;51;60;40;55;33;34;47;50;29;34;57;46;23;53;46;48;23;33;35;47;52;45;41;58;49;58;53;34;41;36;22,51;40;42;70;61,38;35,1769,264,73,30,30,0,0,1.0,0,0,0,0,
9,2024,DEN,REG,17,379,570,3808,30,12,24,-198,1,0,4130,2091,172,40.03305993288628,0.7797568629348048,0,461,1908,12,5,3,126,-14.35800787032888,0,379,549,3808,30,6,4,4130,2091,172,76.18096204076618,0,0,608,87,461,94,444,12,63.0,360.0,142,15,430,68,3,0,2,0,6,8,9,9,2,108,941,79,26,408,13,364,31,34,2,1,55,0.9117647058823529,0,2,13,11,5,0,0,0,0,0,1,1,35;30;45;35;29;43;38;33;43;47;51;44;40;46;32;52;38;37;45;38;53;54;45;33;36;27;44;41;55;30;33,50;60,35,1252,110,35,46,46,0,0,1.0,0,1,0,1,35
