,season,team,season_type,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance_list
0,2018,ARI,REG,16,283,495,2884,15,18,52,-361,10,7,3979,1257,137,-170.82654263643533,-7.2531290242082225,1,355,1342,9,6,2,82,-55.615197797077506,1,283,473,2884,15,2,1,3979,1254,137,-58.15908024894094,1,1,771,60,246,85,360,13,49.0,333.0,90,7,55,52,0,1,0,0,12,13,9,9,2,101,786,51,36,295,25,536,12,17,5,0,55,0.7058823529411765,0,3,4,3,2,0,0,0,0,2,3,0,23;26;43;31;30;44;44;22;36;36;50;55,50;45;46;54;54,,440,249,0,23,24,1,0,0.9583333333333334,1,1,0,0,44
1,2018,ATL,REG,16,428,617,4949,36,7,42,-296,9,5,5270,2145,238,119.27982811379003,4.263023543634162,2,351,1573,11,4,1,93,-32.98608856333905,0,428,604,4949,36,7,4,5270,2145,238,200.56284835739433,2,0,662,50,326,54,276,8,37.0,255.0,77,15,151,72,1,1,0,-1,11,13,4,4,1,101,899,61,21,147,31,689,25,26,1,0,57,0.9615384615384616,0,5,5,9,6,0,0,0,0,0,1,0,21;52;44;55;28;32;47;45;57;40;50;56;27;40;41;45;53;21;32;44;22;33;39;49;37,53,,1010,53,0,41,43,2,0,0.9534883720930233,1,1,0,0,37
2,2018,BAL,REG,16,334,556,3708,18,9,32,-150,4,3,4803,1553,184,14.682983977572892,-3.722049981521543,0,547,2441,19,16,6,165,-3.54207284750021,1,334,539,3708,18,1,1,4803,1553,184,77.0845575588075,0,1,619,35,241,85,414,9,42.0,279.0,104,12,99,89,0,5,0,2,13,20,5,5,3,116,940,66,35,404,32,707,35,39,2,2,56,0.8974358974358975,0,12,9,9,5,0,0,0,0,0,1,1,41;39;55;52;52;47;49;28;31;44;25;32;31;23;23;37;28;56;24;47;28;41;21;45;47;28;24;35;24;35;56;38;35;44;23,53;65,43;48,1288,118,91,36,37,1,0,0.972972972972973,0,0,0,0,
3,2018,BUF,REG,16,270,498,3052,13,23,41,-288,5,3,4943,1354,136,-111.36849755744882,-7.139122467449164,1,468,1984,15,7,1,118,-28.235495994855675,0,270,479,3052,13,4,3,4943,1354,136,-43.695656367704366,1,0,627,99,287,76,317,20,36.0,217.0,87,16,133,73,0,4,1,0,13,16,11,11,1,116,992,65,31,207,38,807,22,27,5,0,54,0.8148148148148148,0,3,8,7,4,0,0,0,0,2,3,0,35;43;41;30;50;40;46;23;52;34;47;51;41;54;31;22;32;31;29;36;35;41,52;55;54;43;42,,844,246,0,25,26,1,0,0.9615384615384616,1,1,0,0,46
4,2018,CAR,REG,16,378,563,4071,28,16,32,-235,3,0,4161,2053,213,34.44048032713061,2.7305238085853705,2,416,2136,17,7,2,123,25.750446350916246,0,378,544,4071,28,6,2,4161,2053,213,90.53773957552015,2,0,579,54,302,76,303,13,34.0,205.0,71,13,86,71,0,3,0,0,10,10,9,9,1,92,818,58,24,165,26,582,19,21,2,0,63,0.9047619047619048,0,4,6,4,4,1,0,0,1,0,1,0,27;54;40;47;47;39;63;32;54;44;30;26;25;37;30;34;50;22;51,34;52,,752,86,0,37,41,4,0,0.9024390243902439,1,1,0,0,63
5,2018,CHI,REG,16,344,512,3747,28,14,33,-183,6,2,4502,1586,177,53.01479617550879,2.471351505271972,4,468,1938,16,9,4,117,-16.96425167275998,0,344,504,3747,28,4,4,4502,1586,177,95.06189426545839,4,0,654,65,201,82,389,18,50.0,339.0,100,27,330,98,5,5,1,0,11,16,9,9,1,97,796,70,33,411,23,440,23,30,7,0,50,0.7666666666666667,0,6,7,9,1,0,0,0,3,3,1,0,26;33;32;25;20;41;43;50;46;46;32;23;45;33;41;48;40;36;21;39;31;24;42,46;53;40;41;34;38;37,,817,289,0,42,45,3,0,0.9333333333333333,0,0,0,0,
6,2018,CIN,REG,16,331,542,3569,27,13,37,-279,4,1,4359,1648,182,10.816216381055304,-3.5623616470281028,1,359,1682,13,2,0,99,-19.322158674434824,0,331,529,3569,27,2,1,4359,1648,182,82.57265040183565,1,0,697,33,337,61,261,10,34.0,173.0,83,12,222,75,3,2,0,0,7,9,6,6,2,114,957,66,22,236,43,1071,19,23,2,2,51,0.8260869565217391,0,4,7,6,2,0,0,0,0,0,2,0,42;39;28;40;36;51;20;33;44;35;47;23;46;34;38;23;51;49;32,53;52,37;54,711,105,91,39,41,2,0,0.9512195121951219,1,1,0,0,44
7,2018,CLE,REG,16,353,574,4261,29,17,38,-254,4,2,5450,1911,189,3.186693595995129,-0.706674003408456,2,411,1893,15,6,1,99,-14.529500230821817,2,353,557,4261,29,6,3,5450,1913,189,65.78894362949725,2,0,712,39,317,72,328,18,37.0,245.0,90,17,100,78,0,2,1,0,8,8,14,14,0,112,894,49,32,290,44,884,19,25,5,1,51,0.76,0,4,9,5,1,0,0,0,0,3,2,0,39;39;45;27;25;28;35;37;33;28;34;45;51;49;41;40;37;31;35,44;52;55;41;46,43,699,238,43,28,34,6,0,0.8235294117647058,1,2,0,1,43;37
8,2018,DAL,REG,16,356,527,3885,22,8,56,-347,6,5,3984,1892,184,23.9504307860604,1.022370283562164,1,439,1963,13,10,2,117,-4.0814251065457885,1,356,517,3885,22,3,2,3984,1892,184,113.37862082534565,1,0,642,49,303,65,285,14,39.0,229.0,98,9,141,66,0,0,0,0,12,13,11,11,1,104,885,64,21,119,13,283,29,36,6,1,62,0.8055555555555556,0,10,6,7,5,1,0,0,2,3,1,0,37;29;50;35;32;43;22;38;27;43;48;50;46;32;55;47;25;31;21;50;42;28;26;46;28;62;21;59;20,47;52;38;42;45;34,48,1093,258,48,32,33,1,0,0.9696969696969697,2,2,0,0,38;42
9,2018,DEN,REG,16,367,588,3930,19,15,34,-235,6,1,4396,1808,182,-14.689544926827798,-1.0962543361787256,0,393,1907,18,4,2,114,-1.2498540523445516,0,367,564,3930,19,3,2,4396,1808,182,52.29012548905675,0,0,654,49,301,67,341,13,43.0,295.0,94,17,158,82,2,0,0,19,10,12,10,10,0,125,985,66,30,132,30,604,20,25,5,0,53,0.8,0,5,6,7,2,0,0,0,0,0,4,1,51;53;39;36;42;34;46;30;28;24;41;36;44;34;41;29;44;42;29;28,55;62;51;50;58,,751,276,0,35,35,0,0,1.0,2,3,1,0,36;51;34
