,def_season,def_team,def_special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_safeties,def_misc_yards,def_fumble_recovery_opp,def_fumble_recovery_yards_opp,def_fumble_recovery_tds,def_punt_returns,def_punt_return_yards,def_kickoff_returns,def_kickoff_return_yards
53,2015,NE,0,634,69,305,71,378,22,49,358,94,12,176,85,0,1,0,9,9,2,47,473,25,469
54,2015,NO,2,662,33,297,54,266,18,30,198,64,9,87,69,0,0,4,13,13,1,32,275,28,605
55,2015,NYG,2,645,214,322,50,218,18,23,137,84,15,206,87,2,1,9,12,12,2,36,367,39,971
56,2015,NYJ,0,602,53,321,57,281,15,38,270,116,18,191,77,0,0,0,12,12,0,49,422,37,771
57,2015,PHI,3,768,40,266,77,325,18,37,243,83,15,280,82,3,1,24,11,11,1,39,443,27,565
58,2015,PIT,1,688,76,284,81,397,16,47,303,96,17,282,81,2,0,1,13,13,0,28,231,29,701
59,2015,SEA,2,602,17,335,71,293,18,37,255,103,14,205,75,0,0,0,8,8,3,42,450,34,868
60,2015,SF,0,728,105,253,59,275,5,28,196,77,9,125,58,1,0,18,3,3,0,30,226,42,993
61,2015,TB,0,668,113,337,71,312,19,38,232,87,11,93,66,1,0,0,12,12,2,29,288,21,506
62,2015,TEN,0,667,11,291,64,290,11,39,271,71,11,164,58,1,0,0,8,8,1,38,307,33,680
63,2015,WAS,3,591,78,374,57,271,22,37,260,82,11,181,60,1,1,0,15,15,1,32,153,40,999
64,2016,ARI,0,728,31,199,103,436,21,46,360,103,14,263,68,2,2,0,14,14,1,38,230,25,544
65,2016,ATL,0,647,41,303,58,274,17,34,228,81,12,279,89,3,0,0,10,10,2,24,273,23,484
66,2016,BAL,1,623,30,304,70,288,14,31,223,80,18,178,71,0,0,23,10,10,1,32,246,28,636
67,2016,BUF,0,602,137,337,59,285,11,39,253,79,12,207,74,1,0,0,6,6,2,28,314,39,829
68,2016,CAR,0,671,29,331,73,324,18,47,270,93,17,204,70,1,1,79,10,10,2,29,202,37,828
69,2016,CHI,1,705,58,214,62,270,11,37,230,75,8,73,70,1,1,0,3,3,1,27,215,42,897
70,2016,CIN,0,658,44,356,57,230,6,33,185,104,17,138,85,0,1,0,3,3,0,38,246,39,1003
71,2016,CLE,0,690,26,336,52,243,6,26,177,81,10,146,67,1,0,0,3,3,0,30,200,34,634
