,player.bye_weeks.week,player.display_position,player.editorial_player_key,player.editorial_team_abbr,player.editorial_team_full_name,player.editorial_team_key,player.editorial_team_url,player.eligible_positions,player.eligible_positions_to_add,player.headshot.size,player.headshot.url,player.image_url,player.is_keeper.status,player.is_keeper.cost,player.is_keeper.kept,player.is_undroppable,player.name.ascii_first,player.name.ascii_last,player.name.first,player.name.full,player.name.last,player.player_id,player.player_key,player.position_type,player.primary_position,player.uniform_number,player.url,player.injury_note,player.has_player_notes,player.player_notes_last_timestamp,player.has_recent_player_notes,dict.player.bye_weeks.week,dict.player.display_position,dict.player.editorial_player_key,dict.player.editorial_team_abbr,dict.player.editorial_team_full_name,dict.player.editorial_team_key,dict.player.editorial_team_url,dict.player.eligible_positions,dict.player.eligible_positions_to_add,dict.player.headshot.size,dict.player.headshot.url,dict.player.image_url,dict.player.is_keeper.status,dict.player.is_keeper.cost,dict.player.is_keeper.kept,dict.player.is_undroppable,dict.player.name.ascii_first,dict.player.name.ascii_last,dict.player.name.first,dict.player.name.full,dict.player.name.last,dict.player.player_id,dict.player.player_key,dict.player.position_type,dict.player.primary_position,dict.player.uniform_number,dict.player.url
515,7.0,RB,nfl.p.26719,GB,Green Bay Packers,nfl.t.9,https://sports.yahoo.com/nfl/teams/green-bay/,['RB'],,small,https://s.yimg.com/iu/api/res/1.2/KZd7rh3ylrXcJKGaMFs8UA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08242017/26719.png,https://s.yimg.com/iu/api/res/1.2/KZd7rh3ylrXcJKGaMFs8UA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08242017/26719.png,False,False,False,0.0,Knile,Davis,Knile,Knile Davis,Davis,26719.0,348.p.26719,O,RB,0,https://sports.yahoo.com/nfl/players/26719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,8.0,QB,nfl.p.26721,Buf,Buffalo Bills,nfl.t.2,https://sports.yahoo.com/nfl/teams/buffalo/,['QB'],,small,https://s.yimg.com/iu/api/res/1.2/ShJ8WCfzKoG_6QLZ1ZwvbQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08222023/26721.png,https://s.yimg.com/iu/api/res/1.2/ShJ8WCfzKoG_6QLZ1ZwvbQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08222023/26721.png,False,False,False,0.0,Matt,Barkley,Matt,Matt Barkley,Barkley,26721.0,348.p.26721,O,QB,,https://sports.yahoo.com/nfl/players/26721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,8.0,WR,nfl.p.26724,Jax,Jacksonville Jaguars,nfl.t.30,https://sports.yahoo.com/nfl/teams/jacksonville/,['WR'],,small,https://s.yimg.com/iu/api/res/1.2/PYbCkNP9mXx5XUTyMOFtpA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/20141101/26724.png,https://s.yimg.com/iu/api/res/1.2/PYbCkNP9mXx5XUTyMOFtpA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/20141101/26724.png,False,False,False,0.0,Ace,Sanders,Ace,Ace Sanders,Sanders,26724.0,348.p.26724,O,WR,0,https://sports.yahoo.com/nfl/players/26724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,4.0,WR,nfl.p.26725,NE,New England Patriots,nfl.t.17,https://sports.yahoo.com/nfl/teams/new-england/,['WR'],,small,https://s.yimg.com/iu/api/res/1.2/zcY7DsrENGn_RLuJGc39ug--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09052017/26725.png,https://s.yimg.com/iu/api/res/1.2/zcY7DsrENGn_RLuJGc39ug--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09052017/26725.png,False,False,False,0.0,Josh,Boyce,Josh,Josh Boyce,Boyce,26725.0,348.p.26725,O,WR,0,https://sports.yahoo.com/nfl/players/26725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,7.0,TE,nfl.p.26729,Chi,Chicago Bears,nfl.t.3,https://sports.yahoo.com/nfl/teams/chicago/,['TE'],,small,https://s.yimg.com/iu/api/res/1.2/QYY_Z1GujBuFNnvzzar1Mg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08282018/26729.png,https://s.yimg.com/iu/api/res/1.2/QYY_Z1GujBuFNnvzzar1Mg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08282018/26729.png,False,False,False,0.0,Dion,Sims,Dion,Dion Sims,Sims,26729.0,348.p.26729,O,TE,0,https://sports.yahoo.com/nfl/players/26729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,8.0,QB,nfl.p.26733,Jax,Jacksonville Jaguars,nfl.t.30,https://sports.yahoo.com/nfl/teams/jacksonville/,['QB'],,small,https://s.yimg.com/iu/api/res/1.2/FMy1E1RhH.MPDNRdCnOpCQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/20160906/26733.png,https://s.yimg.com/iu/api/res/1.2/FMy1E1RhH.MPDNRdCnOpCQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/20160906/26733.png,False,False,False,0.0,Ryan,Nassib,Ryan,Ryan Nassib,Nassib,26733.0,348.p.26733,O,QB,,https://sports.yahoo.com/nfl/players/26733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,8.0,QB,nfl.p.26738,Jax,Jacksonville Jaguars,nfl.t.30,https://sports.yahoo.com/nfl/teams/jacksonville/,['QB'],,small,https://s.yimg.com/iu/api/res/1.2/7EB_BepynCC0orSOavp62g--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09252018/26738.png,https://s.yimg.com/iu/api/res/1.2/7EB_BepynCC0orSOavp62g--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09252018/26738.png,False,False,False,0.0,Landry,Jones,Landry,Landry Jones,Jones,26738.0,348.p.26738,O,QB,0,https://sports.yahoo.com/nfl/players/26738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,10.0,WR,nfl.p.26746,SF,San Francisco 49ers,nfl.t.25,https://sports.yahoo.com/nfl/teams/san-francisco/,['WR'],,small,https://s.yimg.com/iu/api/res/1.2/P_gQKcRyTJR5n3mh3OXxfQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/20150904/26746.png,https://s.yimg.com/iu/api/res/1.2/P_gQKcRyTJR5n3mh3OXxfQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/20150904/26746.png,False,False,False,0.0,Chris,Harper,Chris,Chris Harper,Harper,26746.0,348.p.26746,O,WR,13,https://sports.yahoo.com/nfl/players/26746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,10.0,WR,nfl.p.26751,SF,San Francisco 49ers,nfl.t.25,https://sports.yahoo.com/nfl/teams/san-francisco/,['WR'],,small,https://s.yimg.com/iu/api/res/1.2/gmLSIKiSSQo1pAJI_F33iA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/20160906/26751.png,https://s.yimg.com/iu/api/res/1.2/gmLSIKiSSQo1pAJI_F33iA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/20160906/26751.png,False,False,False,0.0,Quinton,Patton,Quinton,Quinton Patton,Patton,26751.0,348.p.26751,O,WR,0,https://sports.yahoo.com/nfl/players/26751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,10.0,RB,nfl.p.26753,SF,San Francisco 49ers,nfl.t.25,https://sports.yahoo.com/nfl/teams/san-francisco/,['RB'],,small,https://s.yimg.com/iu/api/res/1.2/apZHOSlr76ynTbdZ7Y3VxA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08272025/26753.png,https://s.yimg.com/iu/api/res/1.2/apZHOSlr76ynTbdZ7Y3VxA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08272025/26753.png,False,False,False,0.0,Kyle,Juszczyk,Kyle,Kyle Juszczyk,Juszczyk,26753.0,348.p.26753,O,RB,44,https://sports.yahoo.com/nfl/players/26753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
