name,week,manager,team_id,position,roster_position,points,2-PT,3 and Outs,4 Dwn Stops,40 Yd Pass TD,40 Yd Rush,40 Yd Rush TD,Blk Kick,Comp,Def Yds Allow,FG Yds,FGM 0-19,FGM 20-29,Fum Lost,Fum Rec,Fum Ret TD,Inc,Int,PAT Made,PAT Miss,Pass 1st Downs,Pass TD,Pass Yds,Pick Six,Pts Allow,Pts Allow 0,Pts Allow 1-6,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allow 35+,Pts Allow 7-13,Rec,Rec TD,Rec Yds,Ret TD,Ret Yds,Rush Att,Rush TD,Rush Yds,Sack,Safe,TD,TFL,Targets,XPR,Yds Allow 0-99,Yds Allow 100-199,Yds Allow 200-299,Yds Allow 300-399,Yds Allow 400-499,Yds Allow 500+,Yds Allow Neg
Drake Maye,1,Nick,461.l.254906.t.7,QB,BN,17.93,0,,,0,0,0,,30,,,,,0,,0,16,1,,,15,1,287,0,,,,,,,,,1,0,2,,,4,0,11,4,,,,1,,,,,,,,
Jerome Ford,1,Nick,461.l.254906.t.7,RB,BN,1.5,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,1,0,-3,,,6,0,8,0,,,,1,,,,,,,,
Rachaad White,1,Nick,461.l.254906.t.7,RB,BN,2.6,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,1,0,2,,,2,0,14,0,,,,1,,,,,,,,
Hunter Henry,1,Nick,461.l.254906.t.7,TE,BN,10.6,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,4,0,66,,,0,0,0,0,,,,8,,,,,,,,
Keenan Allen,1,Nick,461.l.254906.t.7,WR,BN,19.8,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,7,1,68,,,0,0,0,0,,,,10,,,,,,,,
Chase McLaughlin,1,Nick,461.l.254906.t.7,K,K,5.8,,,,,,,,,,48,0,0,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,1,Nick,461.l.254906.t.7,DEF,DEF,17.97,,3,1,,,,0,,231,,,,,0,,,0,,,,,,,6,0,1,0,0,0,0,0,,,,0,86,,,,2,0,0,7,,0,0,0,1,0,0,0,0
Los Angeles,1,Nick,461.l.254906.t.7,DEF,BN,16.62,,2,0,,,,0,,265,,,,,1,,,1,,,,,,,9,0,0,0,0,0,0,1,,,,0,81,,,,3,0,0,3,,0,0,0,1,0,0,0,0
Quinshon Judkins,1,Nick,461.l.254906.t.7,RB,IR,0.0,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,0,0,0,,,0,0,0,0,,,,0,,,,,,,,
Joe Burrow,1,John,461.l.254906.t.2,QB,QB,8.07,0,,,0,0,0,,14,,,,,0,,0,9,0,,,7,1,113,0,,,,,,,,,0,0,0,,,2,0,3,3,,,,0,,,,,,,,
