Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct,season
1.0,New England Patriots,16.0,195.0,47.0,24.1%,22.0,8.0,36.4%,29.0,14.0,48.3%,2019
2.0,San Francisco 49ers,16.0,192.0,64.0,33.3%,25.0,8.0,32.0%,40.0,24.0,60.0%,2019
3.0,Dallas Cowboys,16.0,201.0,67.0,33.3%,22.0,10.0,45.5%,57.0,29.0,50.9%,2019
4.0,Philadelphia Eagles,16.0,205.0,70.0,34.1%,18.0,11.0,61.1%,43.0,24.0,55.8%,2019
5.0,Seattle Seahawks,16.0,185.0,71.0,38.4%,12.0,7.0,58.3%,52.0,32.0,61.5%,2019
6.0,Baltimore Ravens,16.0,194.0,72.0,37.1%,18.0,6.0,33.3%,44.0,21.0,47.7%,2019
7.0,New Orleans Saints,16.0,210.0,73.0,34.8%,25.0,11.0,44.0%,47.0,28.0,59.6%,2019
8.0,Tennessee Titans,16.0,204.0,74.0,36.3%,25.0,10.0,40.0%,47.0,32.0,68.1%,2019
9.0,Cleveland Browns,16.0,195.0,74.0,37.9%,17.0,6.0,35.3%,57.0,35.0,61.4%,2019
10.0,Green Bay Packers,16.0,197.0,75.0,38.1%,18.0,8.0,44.4%,48.0,24.0,50.0%,2019
11.0,Kansas City Chiefs,16.0,202.0,75.0,37.1%,31.0,16.0,51.6%,57.0,29.0,50.9%,2019
12.0,Tampa Bay Buccaneers,16.0,218.0,75.0,34.4%,27.0,13.0,48.1%,60.0,30.0,50.0%,2019
13.0,Chicago Bears,16.0,209.0,76.0,36.4%,23.0,13.0,56.5%,53.0,29.0,54.7%,2019
14.0,Pittsburgh Steelers,16.0,209.0,76.0,36.4%,21.0,10.0,47.6%,46.0,23.0,50.0%,2019
15.0,Buffalo Bills,16.0,212.0,76.0,35.8%,21.0,8.0,38.1%,43.0,24.0,55.8%,2019
16.0,Atlanta Falcons,16.0,193.0,77.0,39.9%,20.0,12.0,60.0%,53.0,31.0,58.5%,2019
17.0,Carolina Panthers,16.0,193.0,77.0,39.9%,9.0,6.0,66.7%,64.0,41.0,64.1%,2019
18.0,Jacksonville Jaguars,16.0,190.0,79.0,41.6%,11.0,5.0,45.5%,56.0,32.0,57.1%,2019
19.0,Denver Broncos,16.0,211.0,79.0,37.4%,19.0,9.0,47.4%,46.0,18.0,39.1%,2019
20.0,Oakland Raiders,16.0,190.0,81.0,42.6%,13.0,9.0,69.2%,55.0,37.0,67.3%,2019
21.0,Miami Dolphins,16.0,194.0,81.0,41.8%,13.0,8.0,61.5%,59.0,37.0,62.7%,2019
22.0,Minnesota Vikings,16.0,214.0,85.0,39.7%,29.0,16.0,55.2%,48.0,21.0,43.8%,2019
23.0,Indianapolis Colts,16.0,199.0,85.0,42.7%,19.0,8.0,42.1%,50.0,26.0,52.0%,2019
24.0,New York Giants,16.0,216.0,86.0,39.8%,14.0,8.0,57.1%,54.0,31.0,57.4%,2019
25.0,Los Angeles Rams,16.0,218.0,86.0,39.4%,24.0,14.0,58.3%,52.0,33.0,63.5%,2019
26.0,New York Jets,16.0,225.0,88.0,39.1%,12.0,3.0,25.0%,48.0,26.0,54.2%,2019
27.0,Los Angeles Chargers,16.0,195.0,88.0,45.1%,13.0,8.0,61.5%,40.0,24.0,60.0%,2019
28.0,Cincinnati Bengals,16.0,209.0,89.0,42.6%,10.0,5.0,50.0%,51.0,25.0,49.0%,2019
29.0,Detroit Lions,16.0,214.0,94.0,43.9%,15.0,7.0,46.7%,57.0,33.0,57.9%,2019
30.0,Houston Texans,16.0,202.0,98.0,48.5%,16.0,7.0,43.8%,49.0,35.0,71.4%,2019
31.0,Arizona Cardinals,16.0,214.0,100.0,46.7%,14.0,3.0,21.4%,62.0,37.0,59.7%,2019
32.0,Washington Redskins,16.0,227.0,111.0,48.9%,19.0,12.0,63.2%,59.0,36.0,61.0%,2019
,League Total,,,,,,,,,,,2019
