Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct,season
1.0,Indianapolis Colts,16.0,201.0,67.0,33.3%,17.0,4.0,23.5%,50.0,33.0,66.0%,2014
2.0,Pittsburgh Steelers,16.0,189.0,71.0,37.6%,14.0,10.0,71.4%,50.0,27.0,54.0%,2014
3.0,New York Giants,16.0,200.0,72.0,36.0%,10.0,4.0,40.0%,51.0,25.0,49.0%,2014
4.0,Buffalo Bills,16.0,220.0,73.0,33.2%,11.0,5.0,45.5%,44.0,22.0,50.0%,2014
5.0,Houston Texans,16.0,218.0,74.0,33.9%,17.0,6.0,35.3%,46.0,22.0,47.8%,2014
6.0,Seattle Seahawks,16.0,202.0,75.0,37.1%,14.0,8.0,57.1%,37.0,22.0,59.5%,2014
7.0,Detroit Lions,16.0,207.0,77.0,37.2%,15.0,6.0,40.0%,49.0,26.0,53.1%,2014
8.0,Cincinnati Bengals,16.0,215.0,79.0,36.7%,19.0,10.0,52.6%,55.0,27.0,49.1%,2014
9.0,Kansas City Chiefs,16.0,216.0,79.0,36.6%,21.0,8.0,38.1%,54.0,21.0,38.9%,2014
10.0,Arizona Cardinals,16.0,215.0,81.0,37.7%,13.0,5.0,38.5%,41.0,18.0,43.9%,2014
11.0,Denver Broncos,16.0,222.0,81.0,36.5%,17.0,10.0,58.8%,52.0,30.0,57.7%,2014
12.0,St. Louis Rams,16.0,213.0,82.0,38.5%,10.0,0.0,0.0%,39.0,18.0,46.2%,2014
13.0,Green Bay Packers,16.0,206.0,83.0,40.3%,28.0,15.0,53.6%,48.0,27.0,56.3%,2014
14.0,New England Patriots,16.0,209.0,84.0,40.2%,23.0,8.0,34.8%,46.0,22.0,47.8%,2014
15.0,Oakland Raiders,16.0,221.0,85.0,38.5%,9.0,4.0,44.4%,57.0,30.0,52.6%,2014
16.0,Chicago Bears,16.0,201.0,85.0,42.3%,19.0,12.0,63.2%,71.0,37.0,52.1%,2014
17.0,San Francisco 49ers,16.0,203.0,88.0,43.3%,14.0,7.0,50.0%,44.0,27.0,61.4%,2014
18.0,Philadelphia Eagles,16.0,232.0,88.0,37.9%,12.0,3.0,25.0%,43.0,25.0,58.1%,2014
19.0,San Diego Chargers,16.0,207.0,89.0,43.0%,10.0,2.0,20.0%,52.0,27.0,51.9%,2014
20.0,Washington Redskins,16.0,207.0,89.0,43.0%,9.0,5.0,55.6%,48.0,25.0,52.1%,2014
21.0,Baltimore Ravens,16.0,221.0,89.0,40.3%,14.0,5.0,35.7%,54.0,23.0,42.6%,2014
22.0,Dallas Cowboys,16.0,204.0,89.0,43.6%,20.0,10.0,50.0%,49.0,30.0,61.2%,2014
23.0,Carolina Panthers,16.0,210.0,89.0,42.4%,11.0,5.0,45.5%,46.0,29.0,63.0%,2014
24.0,Minnesota Vikings,16.0,217.0,90.0,41.5%,14.0,9.0,64.3%,48.0,26.0,54.2%,2014
25.0,Cleveland Browns,16.0,239.0,90.0,37.7%,18.0,11.0,61.1%,54.0,25.0,46.3%,2014
26.0,Tampa Bay Buccaneers,16.0,213.0,93.0,43.7%,9.0,5.0,55.6%,52.0,32.0,61.5%,2014
27.0,Tennessee Titans,16.0,227.0,94.0,41.4%,11.0,5.0,45.5%,63.0,37.0,58.7%,2014
28.0,Atlanta Falcons,16.0,203.0,95.0,46.8%,8.0,4.0,50.0%,58.0,33.0,56.9%,2014
29.0,Miami Dolphins,16.0,223.0,98.0,43.9%,22.0,13.0,59.1%,55.0,29.0,52.7%,2014
30.0,New York Jets,16.0,219.0,99.0,45.2%,4.0,0.0,0.0%,49.0,29.0,59.2%,2014
31.0,New Orleans Saints,16.0,215.0,99.0,46.0%,8.0,4.0,50.0%,51.0,32.0,62.7%,2014
32.0,Jacksonville Jaguars,16.0,236.0,101.0,42.8%,10.0,4.0,40.0%,56.0,27.0,48.2%,2014
,League Total,,,,,,,,,,,2014
