Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct,season
1.0,Houston Texans,16.0,214.0,61.0,28.5%,12.0,7.0,58.3%,39.0,22.0,56.4%,2015
2.0,Seattle Seahawks,16.0,195.0,67.0,34.4%,7.0,1.0,14.3%,38.0,16.0,42.1%,2015
3.0,New Orleans Saints,16.0,176.0,71.0,40.3%,13.0,10.0,76.9%,65.0,44.0,67.7%,2015
4.0,Minnesota Vikings,16.0,206.0,71.0,34.5%,22.0,11.0,50.0%,43.0,19.0,44.2%,2015
5.0,Kansas City Chiefs,16.0,217.0,72.0,33.2%,27.0,13.0,48.1%,40.0,24.0,60.0%,2015
6.0,San Diego Chargers,16.0,195.0,74.0,37.9%,8.0,7.0,87.5%,46.0,23.0,50.0%,2015
7.0,Arizona Cardinals,16.0,210.0,75.0,35.7%,17.0,8.0,47.1%,47.0,26.0,55.3%,2015
8.0,New York Jets,16.0,232.0,77.0,33.2%,23.0,13.0,56.5%,40.0,14.0,35.0%,2015
9.0,Washington Redskins,16.0,207.0,78.0,37.7%,20.0,11.0,55.0%,49.0,27.0,55.1%,2015
10.0,St. Louis Rams,16.0,225.0,78.0,34.7%,15.0,4.0,26.7%,48.0,20.0,41.7%,2015
11.0,Green Bay Packers,16.0,220.0,79.0,35.9%,21.0,10.0,47.6%,49.0,28.0,57.1%,2015
12.0,Denver Broncos,16.0,227.0,80.0,35.2%,14.0,5.0,35.7%,37.0,22.0,59.5%,2015
13.0,Dallas Cowboys,16.0,208.0,81.0,38.9%,10.0,5.0,50.0%,49.0,25.0,51.0%,2015
14.0,Cleveland Browns,16.0,203.0,81.0,39.9%,15.0,10.0,66.7%,62.0,36.0,58.1%,2015
15.0,Atlanta Falcons,16.0,191.0,82.0,42.9%,15.0,5.0,33.3%,53.0,33.0,62.3%,2015
16.0,Detroit Lions,16.0,200.0,82.0,41.0%,8.0,5.0,62.5%,59.0,37.0,62.7%,2015
17.0,San Francisco 49ers,16.0,210.0,82.0,39.0%,11.0,6.0,54.5%,54.0,32.0,59.3%,2015
18.0,New England Patriots,16.0,225.0,84.0,37.3%,18.0,8.0,44.4%,42.0,24.0,57.1%,2015
19.0,Oakland Raiders,16.0,224.0,84.0,37.5%,17.0,9.0,52.9%,58.0,30.0,51.7%,2015
20.0,Buffalo Bills,16.0,210.0,85.0,40.5%,13.0,3.0,23.1%,45.0,27.0,60.0%,2015
21.0,Cincinnati Bengals,16.0,218.0,86.0,39.4%,20.0,9.0,45.0%,38.0,18.0,47.4%,2015
22.0,Baltimore Ravens,16.0,216.0,86.0,39.8%,9.0,4.0,44.4%,47.0,25.0,53.2%,2015
23.0,Carolina Panthers,16.0,227.0,86.0,37.9%,26.0,15.0,57.7%,40.0,21.0,52.5%,2015
24.0,Indianapolis Colts,16.0,227.0,89.0,39.2%,14.0,10.0,71.4%,53.0,33.0,62.3%,2015
25.0,Chicago Bears,16.0,201.0,89.0,44.3%,12.0,5.0,41.7%,45.0,27.0,60.0%,2015
26.0,Pittsburgh Steelers,16.0,225.0,90.0,40.0%,24.0,7.0,29.2%,57.0,28.0,49.1%,2015
27.0,Tennessee Titans,16.0,216.0,92.0,42.6%,12.0,4.0,33.3%,53.0,33.0,62.3%,2015
28.0,Miami Dolphins,16.0,221.0,96.0,43.4%,12.0,4.0,33.3%,50.0,30.0,60.0%,2015
29.0,Tampa Bay Buccaneers,16.0,211.0,97.0,46.0%,6.0,4.0,66.7%,56.0,36.0,64.3%,2015
30.0,Philadelphia Eagles,16.0,231.0,99.0,42.9%,9.0,6.0,66.7%,61.0,40.0,65.6%,2015
31.0,Jacksonville Jaguars,16.0,227.0,105.0,46.3%,12.0,6.0,50.0%,57.0,35.0,61.4%,2015
32.0,New York Giants,16.0,230.0,108.0,47.0%,14.0,8.0,57.1%,52.0,28.0,53.8%,2015
,League Total,,,,,,,,,,,2015
