Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct,season
1.0,Chicago Bears,6.0,59.0,18.0,30.5%,8.0,4.0,50.0%,19.0,13.0,68.4%,2025
2.0,Houston Texans,6.0,75.0,24.0,32.0%,6.0,4.0,66.7%,15.0,10.0,66.7%,2025
3.0,Atlanta Falcons,6.0,68.0,26.0,38.2%,8.0,6.0,75.0%,11.0,8.0,72.7%,2025
4.0,Kansas City Chiefs,7.0,74.0,26.0,35.1%,14.0,4.0,28.6%,17.0,10.0,58.8%,2025
5.0,San Francisco 49ers,7.0,79.0,28.0,35.4%,10.0,6.0,60.0%,20.0,12.0,60.0%,2025
6.0,Denver Broncos,7.0,96.0,28.0,29.2%,7.0,3.0,42.9%,16.0,6.0,37.5%,2025
7.0,Buffalo Bills,6.0,71.0,29.0,40.8%,7.0,4.0,57.1%,18.0,10.0,55.6%,2025
8.0,New England Patriots,7.0,74.0,29.0,39.2%,8.0,2.0,25.0%,14.0,10.0,71.4%,2025
9.0,Arizona Cardinals,7.0,85.0,30.0,35.3%,13.0,7.0,53.8%,25.0,15.0,60.0%,2025
10.0,Minnesota Vikings,7.0,86.0,31.0,36.0%,8.0,5.0,62.5%,21.0,11.0,52.4%,2025
11.0,Green Bay Packers,6.0,84.0,31.0,36.9%,14.0,8.0,57.1%,18.0,11.0,61.1%,2025
12.0,Tampa Bay Buccaneers,7.0,87.0,32.0,36.8%,14.0,6.0,42.9%,18.0,12.0,66.7%,2025
13.0,New Orleans Saints,7.0,82.0,32.0,39.0%,9.0,5.0,55.6%,24.0,14.0,58.3%,2025
14.0,Detroit Lions,7.0,85.0,32.0,37.6%,13.0,6.0,46.2%,22.0,14.0,63.6%,2025
15.0,Carolina Panthers,7.0,83.0,33.0,39.8%,11.0,7.0,63.6%,21.0,12.0,57.1%,2025
16.0,New York Jets,7.0,94.0,33.0,35.1%,8.0,7.0,87.5%,25.0,14.0,56.0%,2025
17.0,Jacksonville Jaguars,7.0,88.0,34.0,38.6%,7.0,4.0,57.1%,21.0,13.0,61.9%,2025
18.0,New York Giants,7.0,89.0,34.0,38.2%,6.0,5.0,83.3%,22.0,14.0,63.6%,2025
19.0,Los Angeles Rams,7.0,100.0,34.0,34.0%,23.0,14.0,60.9%,20.0,8.0,40.0%,2025
20.0,Cleveland Browns,7.0,93.0,35.0,37.6%,6.0,3.0,50.0%,17.0,12.0,70.6%,2025
21.0,Washington Commanders,7.0,92.0,36.0,39.1%,10.0,5.0,50.0%,24.0,14.0,58.3%,2025
22.0,Seattle Seahawks,7.0,101.0,36.0,35.6%,14.0,8.0,57.1%,22.0,11.0,50.0%,2025
23.0,Pittsburgh Steelers,6.0,86.0,36.0,41.9%,17.0,11.0,64.7%,23.0,11.0,47.8%,2025
24.0,Tennessee Titans,7.0,91.0,37.0,40.7%,11.0,9.0,81.8%,26.0,15.0,57.7%,2025
25.0,Baltimore Ravens,6.0,84.0,37.0,44.0%,14.0,11.0,78.6%,30.0,21.0,70.0%,2025
26.0,Los Angeles Chargers,8.0,100.0,38.0,38.0%,13.0,9.0,69.2%,27.0,14.0,51.9%,2025
27.0,Miami Dolphins,7.0,84.0,39.0,46.4%,9.0,8.0,88.9%,31.0,16.0,51.6%,2025
28.0,Las Vegas Raiders,7.0,89.0,40.0,44.9%,8.0,6.0,75.0%,26.0,16.0,61.5%,2025
29.0,Philadelphia Eagles,7.0,93.0,40.0,43.0%,9.0,4.0,44.4%,23.0,10.0,43.5%,2025
30.0,Cincinnati Bengals,7.0,84.0,41.0,48.8%,7.0,4.0,57.1%,32.0,23.0,71.9%,2025
31.0,Indianapolis Colts,7.0,89.0,43.0,48.3%,13.0,7.0,53.8%,23.0,14.0,60.9%,2025
32.0,Dallas Cowboys,7.0,95.0,49.0,51.6%,10.0,5.0,50.0%,27.0,18.0,66.7%,2025
,League Total,,,,,,,,,,,2025
