Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct,season
1.0,Minnesota Vikings,16.0,190.0,58.0,30.5%,19.0,9.0,47.4%,49.0,22.0,44.9%,2018
2.0,Seattle Seahawks,16.0,183.0,64.0,35.0%,13.0,6.0,46.2%,51.0,25.0,49.0%,2018
3.0,Detroit Lions,16.0,186.0,69.0,37.1%,17.0,9.0,52.9%,47.0,27.0,57.4%,2018
4.0,Los Angeles Rams,16.0,188.0,70.0,37.2%,15.0,9.0,60.0%,52.0,30.0,57.7%,2018
5.0,Philadelphia Eagles,16.0,201.0,71.0,35.3%,19.0,11.0,57.9%,56.0,25.0,44.6%,2018
6.0,Baltimore Ravens,16.0,211.0,72.0,34.1%,20.0,10.0,50.0%,41.0,26.0,63.4%,2018
7.0,Pittsburgh Steelers,16.0,197.0,72.0,36.5%,13.0,7.0,53.8%,49.0,29.0,59.2%,2018
8.0,New York Jets,16.0,213.0,72.0,33.8%,14.0,9.0,64.3%,59.0,31.0,52.5%,2018
9.0,Tampa Bay Buccaneers,16.0,181.0,73.0,40.3%,14.0,7.0,50.0%,58.0,45.0,77.6%,2018
10.0,Carolina Panthers,16.0,183.0,73.0,39.9%,17.0,10.0,58.8%,47.0,33.0,70.2%,2018
11.0,Buffalo Bills,16.0,203.0,74.0,36.5%,11.0,6.0,54.5%,48.0,34.0,70.8%,2018
12.0,Chicago Bears,16.0,219.0,75.0,34.2%,28.0,16.0,57.1%,40.0,20.0,50.0%,2018
13.0,Tennessee Titans,16.0,205.0,75.0,36.6%,20.0,11.0,55.0%,47.0,21.0,44.7%,2018
14.0,Cleveland Browns,16.0,210.0,75.0,35.7%,20.0,13.0,65.0%,54.0,33.0,61.1%,2018
15.0,New England Patriots,16.0,197.0,76.0,38.6%,16.0,6.0,37.5%,46.0,27.0,58.7%,2018
16.0,New Orleans Saints,16.0,189.0,78.0,41.3%,29.0,14.0,48.3%,49.0,31.0,63.3%,2018
17.0,Arizona Cardinals,16.0,205.0,78.0,38.0%,13.0,8.0,61.5%,53.0,33.0,62.3%,2018
18.0,Green Bay Packers,16.0,212.0,79.0,37.3%,18.0,12.0,66.7%,56.0,34.0,60.7%,2018
19.0,Los Angeles Chargers,16.0,202.0,79.0,39.1%,20.0,11.0,55.0%,50.0,25.0,50.0%,2018
20.0,Jacksonville Jaguars,16.0,212.0,80.0,37.7%,12.0,3.0,25.0%,47.0,24.0,51.1%,2018
21.0,Kansas City Chiefs,16.0,193.0,80.0,41.5%,27.0,18.0,66.7%,58.0,42.0,72.4%,2018
22.0,Denver Broncos,16.0,211.0,82.0,38.9%,11.0,6.0,54.5%,43.0,25.0,58.1%,2018
23.0,Indianapolis Colts,16.0,200.0,82.0,41.0%,15.0,7.0,46.7%,43.0,23.0,53.5%,2018
24.0,Miami Dolphins,16.0,196.0,84.0,42.9%,15.0,6.0,40.0%,61.0,37.0,60.7%,2018
25.0,Dallas Cowboys,16.0,201.0,85.0,42.3%,14.0,6.0,42.9%,49.0,25.0,51.0%,2018
26.0,Washington Redskins,16.0,196.0,86.0,43.9%,13.0,5.0,38.5%,52.0,27.0,51.9%,2018
27.0,New York Giants,16.0,206.0,87.0,42.2%,17.0,14.0,82.4%,58.0,33.0,56.9%,2018
28.0,San Francisco 49ers,16.0,216.0,87.0,40.3%,17.0,10.0,58.8%,58.0,38.0,65.5%,2018
29.0,Houston Texans,16.0,227.0,91.0,40.1%,20.0,12.0,60.0%,41.0,29.0,70.7%,2018
30.0,Oakland Raiders,16.0,201.0,93.0,46.3%,12.0,8.0,66.7%,62.0,37.0,59.7%,2018
31.0,Atlanta Falcons,16.0,195.0,95.0,48.7%,13.0,10.0,76.9%,54.0,38.0,70.4%,2018
32.0,Cincinnati Bengals,16.0,223.0,109.0,48.9%,17.0,11.0,64.7%,61.0,39.0,63.9%,2018
,League Total,,,,,,,,,,,2018
