Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct,season
1.0,Tampa Bay Buccaneers,16.0,195.0,67.0,34.4%,10.0,8.0,80.0%,50.0,29.0,58.0%,2016
2.0,Baltimore Ravens,16.0,214.0,75.0,35.0%,16.0,11.0,68.8%,47.0,26.0,55.3%,2016
3.0,New England Patriots,16.0,206.0,76.0,36.9%,18.0,7.0,38.9%,44.0,23.0,52.3%,2016
4.0,Dallas Cowboys,16.0,197.0,77.0,39.1%,14.0,9.0,64.3%,54.0,29.0,53.7%,2016
5.0,Tennessee Titans,16.0,210.0,77.0,36.7%,22.0,12.0,54.5%,55.0,29.0,52.7%,2016
6.0,Miami Dolphins,16.0,213.0,77.0,36.2%,16.0,9.0,56.3%,51.0,29.0,56.9%,2016
7.0,Oakland Raiders,16.0,198.0,78.0,39.4%,15.0,4.0,26.7%,57.0,33.0,57.9%,2016
8.0,Carolina Panthers,16.0,211.0,80.0,37.9%,13.0,9.0,69.2%,55.0,24.0,43.6%,2016
9.0,Indianapolis Colts,16.0,193.0,80.0,41.5%,8.0,3.0,37.5%,50.0,25.0,50.0%,2016
10.0,Minnesota Vikings,16.0,206.0,80.0,38.8%,14.0,3.0,21.4%,44.0,24.0,54.5%,2016
11.0,Buffalo Bills,16.0,205.0,82.0,40.0%,14.0,4.0,28.6%,57.0,30.0,52.6%,2016
12.0,Seattle Seahawks,16.0,212.0,82.0,38.7%,20.0,6.0,30.0%,46.0,26.0,56.5%,2016
13.0,Los Angeles Rams,16.0,220.0,82.0,37.3%,14.0,12.0,85.7%,52.0,37.0,71.2%,2016
14.0,Philadelphia Eagles,16.0,205.0,82.0,40.0%,18.0,8.0,44.4%,51.0,23.0,45.1%,2016
15.0,Houston Texans,16.0,213.0,82.0,38.5%,13.0,3.0,23.1%,44.0,23.0,52.3%,2016
16.0,Green Bay Packers,16.0,199.0,82.0,41.2%,18.0,12.0,66.7%,45.0,28.0,62.2%,2016
17.0,Jacksonville Jaguars,16.0,224.0,83.0,37.1%,13.0,6.0,46.2%,55.0,30.0,54.5%,2016
18.0,San Diego Chargers,16.0,208.0,83.0,39.9%,16.0,11.0,68.8%,66.0,36.0,54.5%,2016
19.0,New Orleans Saints,16.0,194.0,84.0,43.3%,10.0,4.0,40.0%,56.0,32.0,57.1%,2016
20.0,New York Giants,16.0,238.0,84.0,35.3%,14.0,7.0,50.0%,43.0,17.0,39.5%,2016
21.0,New York Jets,16.0,210.0,84.0,40.0%,10.0,2.0,20.0%,51.0,29.0,56.9%,2016
22.0,Chicago Bears,16.0,210.0,85.0,40.5%,14.0,10.0,71.4%,59.0,31.0,52.5%,2016
23.0,Arizona Cardinals,16.0,219.0,85.0,38.8%,15.0,7.0,46.7%,45.0,25.0,55.6%,2016
24.0,Denver Broncos,16.0,236.0,86.0,36.4%,16.0,6.0,37.5%,42.0,22.0,52.4%,2016
25.0,Cincinnati Bengals,16.0,217.0,86.0,39.6%,19.0,9.0,47.4%,49.0,25.0,51.0%,2016
26.0,Pittsburgh Steelers,16.0,214.0,88.0,41.1%,21.0,11.0,52.4%,57.0,26.0,45.6%,2016
27.0,Atlanta Falcons,16.0,213.0,89.0,41.8%,25.0,18.0,72.0%,55.0,40.0,72.7%,2016
28.0,Detroit Lions,16.0,198.0,90.0,45.5%,8.0,3.0,37.5%,53.0,36.0,67.9%,2016
29.0,Cleveland Browns,16.0,206.0,93.0,45.1%,12.0,9.0,75.0%,60.0,40.0,66.7%,2016
30.0,Kansas City Chiefs,16.0,222.0,96.0,43.2%,20.0,10.0,50.0%,53.0,26.0,49.1%,2016
31.0,Washington Redskins,16.0,208.0,97.0,46.6%,16.0,9.0,56.3%,54.0,32.0,59.3%,2016
32.0,San Francisco 49ers,16.0,226.0,102.0,45.1%,7.0,4.0,57.1%,66.0,41.0,62.1%,2016
,League Total,,,,,,,,,,,2016
