Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct,season
1.0,Buffalo Bills,17.0,214.0,66.0,30.8%,35.0,16.0,45.7%,45.0,23.0,51.1%,2021
2.0,Baltimore Ravens,17.0,201.0,70.0,34.8%,18.0,11.0,61.1%,50.0,27.0,54.0%,2021
3.0,Dallas Cowboys,17.0,223.0,76.0,34.1%,26.0,16.0,61.5%,47.0,28.0,59.6%,2021
4.0,Tennessee Titans,17.0,210.0,77.0,36.7%,24.0,14.0,58.3%,58.0,30.0,51.7%,2021
5.0,New England Patriots,17.0,211.0,77.0,36.5%,32.0,17.0,53.1%,48.0,23.0,47.9%,2021
6.0,Minnesota Vikings,17.0,214.0,78.0,36.4%,30.0,15.0,50.0%,59.0,33.0,55.9%,2021
7.0,Arizona Cardinals,17.0,207.0,79.0,38.2%,30.0,14.0,46.7%,51.0,31.0,60.8%,2021
8.0,Kansas City Chiefs,17.0,199.0,80.0,40.2%,31.0,19.0,61.3%,56.0,32.0,57.1%,2021
9.0,Chicago Bears,17.0,211.0,81.0,38.4%,24.0,12.0,50.0%,54.0,30.0,55.6%,2021
10.0,Carolina Panthers,17.0,217.0,82.0,37.8%,21.0,12.0,57.1%,52.0,35.0,67.3%,2021
11.0,Indianapolis Colts,17.0,210.0,85.0,40.5%,21.0,12.0,57.1%,53.0,34.0,64.2%,2021
12.0,Cleveland Browns,17.0,219.0,86.0,39.3%,25.0,16.0,64.0%,52.0,34.0,65.4%,2021
13.0,Pittsburgh Steelers,17.0,232.0,86.0,37.1%,24.0,13.0,54.2%,59.0,30.0,50.8%,2021
14.0,Tampa Bay Buccaneers,17.0,226.0,87.0,38.5%,28.0,13.0,46.4%,59.0,31.0,52.5%,2021
15.0,Green Bay Packers,17.0,203.0,87.0,42.9%,33.0,15.0,45.5%,49.0,33.0,67.3%,2021
16.0,San Francisco 49ers,17.0,220.0,88.0,40.0%,25.0,11.0,44.0%,60.0,34.0,56.7%,2021
17.0,Seattle Seahawks,17.0,224.0,88.0,39.3%,31.0,13.0,41.9%,61.0,31.0,50.8%,2021
18.0,Houston Texans,17.0,206.0,89.0,43.2%,19.0,11.0,57.9%,66.0,41.0,62.1%,2021
19.0,New Orleans Saints,17.0,240.0,89.0,37.1%,21.0,9.0,42.9%,46.0,20.0,43.5%,2021
20.0,New York Giants,17.0,226.0,90.0,39.8%,23.0,15.0,65.2%,71.0,37.0,52.1%,2021
21.0,Las Vegas Raiders,17.0,230.0,91.0,39.6%,29.0,21.0,72.4%,43.0,35.0,81.4%,2021
22.0,Cincinnati Bengals,17.0,221.0,92.0,41.6%,18.0,7.0,38.9%,53.0,32.0,60.4%,2021
23.0,Los Angeles Rams,17.0,223.0,92.0,41.3%,32.0,17.0,53.1%,56.0,29.0,51.8%,2021
24.0,Detroit Lions,17.0,204.0,92.0,45.1%,14.0,9.0,64.3%,60.0,42.0,70.0%,2021
25.0,Philadelphia Eagles,17.0,217.0,93.0,42.9%,29.0,14.0,48.3%,60.0,40.0,66.7%,2021
26.0,Miami Dolphins,17.0,231.0,95.0,41.1%,18.0,11.0,61.1%,57.0,30.0,52.6%,2021
27.0,Jacksonville Jaguars,17.0,221.0,95.0,43.0%,21.0,14.0,66.7%,61.0,38.0,62.3%,2021
28.0,New York Jets,17.0,223.0,99.0,44.4%,21.0,13.0,61.9%,74.0,45.0,60.8%,2021
29.0,Denver Broncos,17.0,225.0,101.0,44.9%,26.0,11.0,42.3%,43.0,21.0,48.8%,2021
30.0,Atlanta Falcons,17.0,217.0,105.0,48.4%,22.0,11.0,50.0%,69.0,44.0,63.8%,2021
31.0,Los Angeles Chargers,17.0,216.0,107.0,49.5%,22.0,7.0,31.8%,67.0,43.0,64.2%,2021
32.0,Washington Football Team,17.0,229.0,111.0,48.5%,20.0,12.0,60.0%,59.0,35.0,59.3%,2021
,League Total,,,,,,,,,,,2021
