,season,round,pick,team,gsis_id,position
4999,2017,5,174,ATL,00-0033576,TE
5000,2017,5,175,GNB,00-0033291,WR
5002,2017,5,177,SFO,00-0033292,WR
5004,2017,5,179,ARI,00-0033789,RB
5007,2017,5,182,GNB,00-0033293,RB
5013,2017,6,188,NYJ,00-0033295,RB
5017,2017,6,192,CAR,00-0033296,FB
5026,2017,6,201,MIN,00-0033966,TE
5028,2017,6,203,DEN,00-0033581,RB
5032,2017,6,207,CIN,00-0033791,RB
5034,2017,6,209,WAS,00-0033530,WR
5040,2017,6,215,DET,00-0033585,QB
5044,2017,7,219,MIN,00-0033968,WR
5049,2017,7,224,CLE,00-0033862,K
5051,2017,7,226,SEA,00-0033589,WR
5058,2017,7,233,CAR,00-0033303,K
5062,2017,7,237,MIA,00-0033471,WR
5063,2017,7,238,GNB,00-0033304,RB
5064,2017,7,239,DAL,00-0033591,WR
5066,2017,7,241,TEN,00-0033797,RB
5067,2017,7,242,OAK,00-0033975,RB
5072,2017,7,247,GNB,00-0033305,WR
5074,2017,7,249,SEA,00-0033594,RB
5076,2017,7,251,CIN,00-0033798,TE
5077,2017,7,252,CLE,00-0033596,RB
5078,2017,7,253,DEN,00-0033597,QB
5079,2018,1,1,CLE,00-0034855,QB
5080,2018,1,2,NYG,00-0034844,RB
5081,2018,1,3,NYJ,00-0034869,QB
5085,2018,1,7,BUF,00-0034857,QB
5088,2018,1,10,ARI,00-0034343,QB
5102,2018,1,24,CAR,00-0034827,WR
5103,2018,1,25,BAL,00-0034830,TE
5104,2018,1,26,ATL,00-0034837,WR
5105,2018,1,27,SEA,00-0034750,RB
5109,2018,1,31,NWE,00-0034845,RB
5110,2018,1,32,BAL,00-0034796,QB
5113,2018,2,35,CLE,00-0034791,RB
5116,2018,2,38,TAM,00-0034816,RB
5118,2018,2,40,DEN,00-0034348,WR
5120,2018,2,42,MIA,00-0034829,TE
5121,2018,2,43,DET,00-0034349,RB
5122,2018,2,44,SFO,00-0034860,WR
5125,2018,2,47,ARI,00-0034775,WR
5127,2018,2,49,PHI,00-0034351,TE
5129,2018,2,51,CHI,00-0034353,WR
5137,2018,2,59,WAS,00-0034358,RB
5138,2018,2,60,PIT,00-0034676,WR
5139,2018,2,61,JAX,00-0034777,WR
5149,2018,3,71,DEN,00-0034838,RB
5154,2018,3,76,PIT,00-0034771,QB
5159,2018,3,81,DAL,00-0034764,WR
5164,2018,3,86,BAL,00-0034753,TE
5169,2018,3,91,NOR,00-0034765,WR
5176,2018,3,98,HOU,00-0034364,TE
5179,2018,4,101,CAR,00-0034365,TE
5181,2018,4,103,HOU,00-0034366,WR
5182,2018,4,104,IND,00-0034367,RB
5183,2018,4,105,CLE,00-0034772,WR
5185,2018,4,107,NYJ,00-0034766,TE
5186,2018,4,108,NYG,00-0034369,QB
5190,2018,4,112,CIN,00-0034679,RB
5191,2018,4,113,DEN,00-0034370,WR
5198,2018,4,120,SEA,00-0034159,TE
5201,2018,4,123,MIA,00-0034798,TE
5204,2018,4,126,ATL,00-0034378,RB
5209,2018,4,131,MIA,00-0034799,RB
5210,2018,4,132,BAL,00-0034267,WR
5211,2018,4,133,GNB,00-0034268,WR
5212,2018,4,134,ARI,00-0034681,RB
5215,2018,4,137,DAL,00-0034383,TE
5222,2018,5,144,TAM,00-0034386,WR
5234,2018,5,156,DEN,00-0034393,TE
5235,2018,5,157,MIN,00-0034270,TE
5237,2018,5,159,IND,00-0034395,WR
5240,2018,5,162,BAL,00-0034271,WR
5243,2018,5,165,PIT,00-0034331,TE
5245,2018,5,167,MIN,00-0034161,K
5247,2018,5,169,IND,00-0034400,RB
5249,2018,5,171,DAL,00-0034401,QB
5252,2018,5,174,GNB,00-0034272,WR
5253,2018,6,175,CLE,00-0034273,WR
5254,2018,6,176,LAR,00-0034808,RB
5263,2018,6,185,IND,00-0034406,WR
5265,2018,6,187,BUF,00-0034407,WR
5269,2018,6,191,LAC,00-0034409,WR
5272,2018,6,194,ATL,00-0034411,WR
5274,2018,6,196,KAN,00-0034278,WR
5277,2018,6,199,TEN,00-0034412,QB
5279,2018,6,201,NOR,00-0034414,RB
5281,2018,6,203,JAX,00-0034416,QB
5282,2018,6,204,NYJ,00-0034164,RB
5285,2018,6,207,GNB,00-0034279,WR
5286,2018,6,208,DAL,00-0034418,WR
5288,2018,6,210,NWE,00-0034419,WR
5289,2018,6,211,HOU,00-0034420,TE
5297,2018,7,219,NWE,00-0034423,QB
5298,2018,7,220,SEA,00-0034732,QB
5302,2018,7,224,CHI,00-0034426,WR
5306,2018,7,228,OAK,00-0034747,WR
5307,2018,7,229,MIA,00-0034794,K
5314,2018,7,236,DAL,00-0034432,RB
5315,2018,7,237,DET,00-0034433,RB
5318,2018,7,240,SFO,00-0034286,WR
5327,2018,7,249,CIN,00-0034438,QB
5328,2018,7,250,NWE,00-0034439,TE
5329,2018,7,251,LAC,00-0034440,RB
5331,2018,7,253,CIN,00-0034686,WR
5333,2018,7,255,BUF,00-0034442,WR
5334,2018,7,256,WAS,00-0034339,WR
5335,2019,1,1,ARI,00-0035228,QB
5340,2019,1,6,NYG,00-0035710,QB
5342,2019,1,8,DET,00-0035229,TE
5349,2019,1,15,WAS,00-0035232,QB
5354,2019,1,20,DEN,00-0035644,TE
5358,2019,1,24,OAK,00-0035700,RB
5359,2019,1,25,BAL,00-0035662,WR
5366,2019,1,32,NWE,00-0035624,WR
5370,2019,2,36,SFO,00-0035719,WR
5376,2019,2,42,DEN,00-0035704,QB
5384,2019,2,50,MIN,00-0034970,TE
5385,2019,2,51,TEN,00-0035676,WR
5386,2019,2,52,CIN,00-0035631,TE
5387,2019,2,53,PHI,00-0035243,RB
5390,2019,2,56,KAN,00-0035140,WR
5391,2019,2,57,PHI,00-0035246,WR
5393,2019,2,59,IND,00-0035639,WR
5396,2019,2,62,ARI,00-0035527,WR
5398,2019,2,64,SEA,00-0035640,WR
5400,2019,3,66,PIT,00-0035216,WR
5401,2019,3,67,SFO,00-0034971,WR
5403,2019,3,69,JAX,00-0035249,TE
5404,2019,3,70,LAR,00-0035664,RB
5407,2019,3,73,CHI,00-0035685,RB
5408,2019,3,74,BUF,00-0035250,RB
5409,2019,3,75,GNB,00-0035671,TE
5410,2019,3,76,WAS,00-0035659,WR
5420,2019,3,86,HOU,00-0035660,TE
5421,2019,3,87,NWE,00-0035657,RB
5427,2019,3,93,BAL,00-0035703,WR
5430,2019,3,96,BUF,00-0035689,TE
5434,2019,3,100,CAR,00-0035251,QB
5436,2019,3,102,MIN,00-0034972,RB
5437,2019,4,103,ARI,00-0035529,WR
5438,2019,4,104,CIN,00-0035652,QB
5446,2019,4,112,WAS,00-0035256,RB
5447,2019,4,113,BAL,00-0034975,RB
5454,2019,4,120,SEA,00-0035589,WR
5455,2019,4,121,NYJ,00-0035259,TE
5456,2019,4,122,PIT,00-0035217,RB
5460,2019,4,126,CHI,00-0035590,WR
5462,2019,4,128,DAL,00-0035261,RB
5467,2019,4,133,NWE,00-0035264,QB
5471,2019,4,137,OAK,00-0034981,TE
5474,2019,5,140,JAX,00-0035268,RB
5475,2019,5,141,PIT,00-0035222,TE
5479,2019,5,145,TAM,00-0035269,K
5483,2019,5,149,OAK,00-0034983,WR
5486,2019,5,152,ATL,00-0035273,RB
5488,2019,5,154,CAR,00-0035275,RB
5500,2019,5,166,LAC,00-0035282,QB
5501,2019,5,167,PHI,00-0035283,QB
5504,2019,5,170,CLE,00-0035145,K
5505,2019,5,171,NYG,00-0035535,WR
5508,2019,6,174,ARI,00-0035287,WR
5510,2019,6,176,SFO,00-0034988,TE
5512,2019,6,178,JAX,00-0035289,QB
5516,2019,6,182,CIN,00-0035291,RB
5518,2019,6,184,DET,00-0035592,WR
5520,2019,6,186,DET,00-0035537,RB
5521,2019,6,187,DEN,00-0035593,WR
5528,2019,6,194,GNB,00-0034995,RB
5531,2019,6,197,BAL,00-0035146,QB
5537,2019,6,203,ATL,00-0035296,WR
5538,2019,6,204,SEA,00-0035594,RB
5540,2019,6,206,WAS,00-0035297,WR
5542,2019,6,208,TAM,00-0035298,WR
5545,2019,6,211,CIN,00-0035299,RB
5548,2019,6,214,KAN,00-0035148,RB
5552,2019,7,218,DAL,00-0035303,RB
5554,2019,7,220,HOU,00-0035304,RB
5556,2019,7,222,CHI,00-0035596,RB
5558,2019,7,224,DET,00-0035539,TE
5562,2019,7,228,BUF,00-0035308,TE
5565,2019,7,231,NOR,00-0035309,TE
5567,2019,7,233,MIA,00-0035310,RB
5568,2019,7,234,MIA,00-0035311,RB
5570,2019,7,236,SEA,00-0035597,WR
5571,2019,7,237,CAR,00-0035313,WR
5573,2019,7,239,MIN,00-0035002,WR
5581,2019,7,247,MIN,00-0035006,WR
5588,2019,7,254,ARI,00-0035320,TE
5589,2020,1,1,CIN,00-0036442,QB
5593,2020,1,5,MIA,00-0036212,QB
5594,2020,1,6,LAC,00-0036355,QB
5600,2020,1,12,LVR,00-0036357,WR
5603,2020,1,15,DEN,00-0036407,WR
5605,2020,1,17,DAL,00-0036358,WR
5609,2020,1,21,PHI,00-0036387,WR
5610,2020,1,22,MIN,00-0036322,WR
5613,2020,1,25,SFO,00-0036261,WR
5614,2020,1,26,GNB,00-0036264,QB
5620,2020,1,32,KAN,00-0036360,RB
5621,2020,2,33,CIN,00-0036410,WR
5622,2020,2,34,IND,00-0036252,WR
5623,2020,2,35,DET,00-0036275,RB
5629,2020,2,41,IND,00-0036223,RB
5630,2020,2,42,JAX,00-0036268,WR
5631,2020,2,43,CHI,00-0036290,TE
5634,2020,2,46,DEN,00-0036412,WR
5637,2020,2,49,PIT,00-0036326,WR
5640,2020,2,52,LAR,00-0036414,RB
5641,2020,2,53,PHI,00-0036389,QB
5643,2020,2,55,BAL,00-0036158,RB
5645,2020,2,57,LAR,00-0036415,WR
5647,2020,2,59,NYJ,00-0036255,WR
5650,2020,2,62,GNB,00-0036265,RB
5654,2020,3,66,WAS,00-0036328,RB
5664,2020,3,76,TAM,00-0036450,RB
5668,2020,3,80,LVR,00-0036364,WR
5669,2020,3,81,LVR,00-0036365,WR
5674,2020,3,86,BUF,00-0036251,RB
5679,2020,3,91,NWE,00-0036194,TE
5680,2020,3,92,BAL,00-0036331,WR
5681,2020,3,93,TEN,00-0036297,RB
5682,2020,3,94,GNB,00-0036332,TE
5689,2020,3,101,NWE,00-0036225,TE
5693,2020,3,105,NOR,00-0036422,TE
5700,2020,4,112,LAC,00-0036370,RB
5703,2020,4,115,CLE,00-0036232,TE
5706,2020,4,118,DEN,00-0036423,TE
5708,2020,4,120,NYJ,00-0036269,RB
5710,2020,4,122,IND,00-0036226,QB
5712,2020,4,124,PIT,00-0036336,RB
5713,2020,4,125,NYJ,00-0036301,QB
5716,2020,4,128,BUF,00-0036196,WR
5721,2020,4,133,SEA,00-0036244,TE
5724,2020,4,136,LAR,00-0036424,TE
5730,2020,4,142,WAS,00-0036340,WR
5732,2020,4,144,SEA,00-0036425,RB
5739,2020,5,151,LAC,00-0036377,WR
5747,2020,5,159,NWE,00-0036161,K
5749,2020,5,161,TAM,00-0036427,WR
5753,2020,5,165,JAX,00-0036254,WR
5754,2020,5,166,DET,00-0036277,WR
5755,2020,5,167,BUF,00-0036197,QB
5756,2020,5,168,PHI,00-0036398,WR
5759,2020,5,171,HOU,00-0036308,WR
5760,2020,5,172,DET,00-0036278,RB
5761,2020,5,173,CHI,00-0036309,WR
5764,2020,5,176,MIN,00-0036345,WR
5775,2020,6,187,CLE,00-0036233,WR
5776,2020,6,188,BUF,00-0036162,K
5777,2020,6,189,JAX,00-0036312,QB
5778,2020,6,190,SFO,00-0036429,TE
5788,2020,6,200,PHI,00-0036271,WR
5789,2020,6,201,BAL,00-0036133,WR
5794,2020,6,206,JAX,00-0036250,TE
5795,2020,6,207,BUF,00-0036165,WR
5800,2020,6,212,IND,00-0036228,WR
5802,2020,6,214,SEA,00-0036247,WR
5805,2020,7,217,SFO,00-0036259,WR
5808,2020,7,220,LAC,00-0036382,WR
5810,2020,7,222,ARI,00-0036383,RB
5819,2020,7,231,DAL,00-0036384,QB
5828,2020,7,240,NOR,00-0036433,QB
5832,2020,7,244,MIN,00-0036279,QB
5833,2020,7,245,TAM,00-0036435,RB
5834,2020,7,246,MIA,00-0036245,RB
5836,2020,7,248,LAR,00-0036436,K
5839,2020,7,251,SEA,00-0036438,TE
5840,2020,7,252,DEN,00-0036439,WR
5844,2021,1,1,JAX,00-0036971,QB
5845,2021,1,2,NYJ,00-0037013,QB
5846,2021,1,3,SFO,00-0037012,QB
5847,2021,1,4,ATL,00-0036970,TE
5848,2021,1,5,CIN,00-0036900,WR
5849,2021,1,6,MIA,00-0036613,WR
5853,2021,1,10,PHI,00-0036912,WR
5854,2021,1,11,CHI,00-0036945,QB
5858,2021,1,15,NWE,00-0036972,QB
5863,2021,1,20,NYG,00-0036913,WR
5867,2021,1,24,PIT,00-0036893,RB
5868,2021,1,25,JAX,00-0036973,RB
5870,2021,1,27,BAL,00-0036550,WR
5877,2021,2,34,NYJ,00-0036980,WR
5878,2021,2,35,DEN,00-0036997,RB
5892,2021,2,49,ARI,00-0036936,WR
5898,2021,2,55,PIT,00-0036894,TE
5899,2021,2,56,SEA,00-0036620,WR
5900,2021,2,57,LAR,00-0036849,WR
5902,2021,2,59,CAR,00-0036955,WR
5907,2021,2,64,TAM,00-0036928,QB
5909,2021,3,66,MIN,00-0036946,QB
5910,2021,3,67,HOU,00-0036898,QB
5920,2021,3,77,LAC,00-0036988,WR
5924,2021,3,81,MIA,00-0037004,TE
5925,2021,3,82,WAS,00-0036626,WR
5926,2021,3,83,CAR,00-0037005,TE
5928,2021,3,85,GNB,00-0036991,WR
5931,2021,3,88,SFO,00-0036984,RB
5932,2021,3,89,HOU,00-0036554,WR
5934,2021,3,91,CLE,00-0036999,WR
5940,2021,3,97,LAC,00-0037011,TE
5950,2021,4,107,NYJ,00-0036924,RB
5952,2021,4,109,TEN,00-0036627,WR
5955,2021,4,112,DET,00-0036963,WR
5962,2021,4,119,MIN,00-0036842,RB
5963,2021,4,120,NWE,00-0036875,RB
5967,2021,4,124,WAS,00-0036628,TE
5969,2021,4,126,CAR,00-0036555,RB
5970,2021,4,127,IND,00-0036876,TE
5972,2021,4,129,TAM,00-0036877,WR
5974,2021,4,131,BAL,00-0036630,WR
5976,2021,4,133,NOR,00-0036929,QB
5984,2021,4,141,LAR,00-0036918,WR
5988,2021,5,145,JAX,00-0036887,TE
5990,2021,5,147,HOU,00-0036556,TE
5992,2021,5,149,CIN,00-0036854,K
5993,2021,5,150,PHI,00-0036919,RB
6000,2021,5,157,MIN,00-0036635,WR
6005,2021,5,162,KAN,00-0036637,TE
6011,2021,5,168,MIN,00-0036640,TE
6022,2021,5,179,DAL,00-0036646,WR
6024,2021,5,181,KAN,00-0036647,WR
6027,2021,5,184,BAL,00-0036565,FB
6030,2021,6,187,ATL,00-0036951,WR
6037,2021,6,194,SFO,00-0036567,RB
6039,2021,6,196,NYG,00-0036569,RB
6041,2021,6,198,LAC,00-0036650,RB
6045,2021,6,202,CIN,00-0036857,RB
6046,2021,6,203,BUF,00-0036571,WR
6047,2021,6,204,CAR,00-0036572,WR
6048,2021,6,205,TEN,00-0036652,WR
6052,2021,6,209,JAX,00-0036858,WR
6054,2021,6,211,CLE,00-0036654,RB
6060,2021,6,217,CHI,00-0036906,RB
6061,2021,6,218,IND,00-0036879,QB
6062,2021,6,219,DEN,00-0036657,WR
6064,2021,6,221,CHI,00-0036907,WR
6072,2021,7,229,IND,00-0036482,WR
6076,2021,7,233,LAR,00-0036860,RB
6085,2021,7,242,NWE,00-0036536,WR
6087,2021,7,244,MIA,00-0036578,RB
6092,2021,7,249,LAR,00-0036862,WR
6098,2021,7,255,NOR,00-0036939,WR
6099,2021,7,256,GNB,00-0036669,RB
6100,2021,7,257,DET,00-0036670,RB
6101,2021,7,258,WAS,00-0036671,WR
6110,2022,1,8,ATL,00-0037238,WR
6112,2022,1,10,NYJ,00-0037740,WR
6113,2022,1,11,NOR,00-0037239,WR
6114,2022,1,12,DET,00-0037240,WR
6118,2022,1,16,WAS,00-0037741,WR
6120,2022,1,18,TEN,00-0037742,WR
6122,2022,1,20,PIT,00-0038102,QB
6136,2022,2,34,GNB,00-0038124,WR
6138,2022,2,36,NYJ,00-0038120,RB
6143,2022,2,41,SEA,00-0038134,RB
6145,2022,2,43,NYG,00-0038117,WR
6146,2022,2,44,HOU,00-0037614,WR
6152,2022,2,50,NWE,00-0038104,WR
6154,2022,2,52,PIT,00-0037247,WR
6155,2022,2,53,IND,00-0037664,WR
6156,2022,2,54,KAN,00-0038090,WR
6157,2022,2,55,ARI,00-0037744,TE
6165,2022,2,63,BUF,00-0037248,RB
6173,2022,3,71,CHI,00-0037745,WR
6175,2022,3,73,IND,00-0037755,TE
6176,2022,3,74,ATL,00-0038122,QB
6182,2022,3,80,DEN,00-0037252,TE
6188,2022,3,86,TEN,00-0038128,QB
6190,2022,3,88,DAL,00-0037666,WR
6193,2022,3,91,TAM,00-0037256,RB
6195,2022,3,93,SFO,00-0037827,RB
6196,2022,3,94,CAR,00-0038132,QB
6200,2022,3,98,WAS,00-0037746,RB
6201,2022,3,99,CLE,00-0037257,WR
6203,2022,3,101,NYJ,00-0037805,TE
6207,2022,3,105,SFO,00-0037828,WR
6208,2022,4,106,TAM,00-0038129,TE
6209,2022,4,107,HOU,00-0037258,RB
6214,2022,4,112,NYG,00-0038115,TE
6224,2022,4,122,LVR,00-0038040,RB
6225,2022,4,123,LAC,00-0038045,RB
6226,2022,4,124,CLE,00-0038097,K
6227,2022,4,125,MIA,00-0038092,WR
6229,2022,4,127,NWE,00-0038098,RB
6230,2022,4,128,BAL,00-0038046,TE
6231,2022,4,129,DAL,00-0038041,TE
6233,2022,4,131,TEN,00-0037617,RB
6234,2022,4,132,GNB,00-0037816,WR
6239,2022,4,137,NWE,00-0038108,QB
6240,2022,4,138,PIT,00-0037837,WR
6241,2022,4,139,BAL,00-0037838,TE
6245,2022,4,143,TEN,00-0037809,TE
6246,2022,5,144,WAS,00-0037077,QB
6250,2022,5,148,BUF,00-0037261,WR
6251,2022,5,149,WAS,00-0037078,TE
6253,2022,5,151,ATL,00-0037263,RB
6256,2022,5,154,JAX,00-0037265,RB
6258,2022,5,156,CLE,00-0037267,RB
6264,2022,5,162,DEN,00-0037272,WR
6265,2022,5,163,TEN,00-0037273,WR
6266,2022,5,164,LAR,00-0037840,RB
6271,2022,5,169,MIN,00-0037276,RB
6272,2022,5,170,HOU,00-0037277,TE
6279,2022,5,177,DET,00-0037282,TE
6285,2022,6,183,NWE,00-0037286,RB
6293,2022,6,191,MIN,00-0037291,WR
6294,2022,6,192,IND,00-0037292,TE
6298,2022,6,196,BAL,00-0037085,RB
6300,2022,6,198,PHI,00-0037086,TE
6303,2022,6,201,ARI,00-0037299,RB
6305,2022,6,203,CHI,00-0037087,RB
6310,2022,6,208,PIT,00-0037304,TE
6315,2022,6,213,ATL,00-0037306,TE
6320,2022,6,218,TAM,00-0037311,TE
6329,2022,7,227,MIN,00-0037317,TE
6331,2022,7,229,SEA,00-0037091,WR
6335,2022,7,233,SEA,00-0037093,WR
6343,2022,7,241,PIT,00-0037324,QB
6349,2022,7,247,MIA,00-0037327,QB
6352,2022,7,250,LVR,00-0037329,RB
6353,2022,7,251,KAN,00-0037197,RB
6360,2022,7,258,GNB,00-0037098,WR
6362,2022,7,260,LAC,00-0037331,RB
6364,2022,7,262,SFO,00-0037834,QB
6365,2023,1,1,CAR,00-0039150,QB
6366,2023,1,2,HOU,00-0039163,QB
6368,2023,1,4,IND,00-0039164,QB
6372,2023,1,8,ATL,00-0038542,RB
6376,2023,1,12,DET,00-0039139,RB
6384,2023,1,20,SEA,00-0038543,WR
6385,2023,1,21,LAC,00-0038544,WR
6386,2023,1,22,BAL,00-0039064,WR
6387,2023,1,23,MIN,00-0038994,WR
6389,2023,1,25,BUF,00-0038933,TE
6397,2023,2,33,TEN,00-0039152,QB
6398,2023,2,34,DET,00-0039065,TE
6399,2023,2,35,LVR,00-0039066,TE
6403,2023,2,39,CAR,00-0039062,WR
6406,2023,2,42,GNB,00-0039144,TE
6414,2023,2,50,GNB,00-0039146,WR
6416,2023,2,52,SEA,00-0039165,RB
6419,2023,2,55,KAN,00-0039067,WR
6422,2023,2,58,DAL,00-0038547,TE
6425,2023,2,61,JAX,00-0038935,TE
6427,2023,2,63,DEN,00-0038976,WR
6432,2023,3,68,DET,00-0038550,QB
6433,2023,3,69,HOU,00-0038977,WR
6435,2023,3,71,NOR,00-0038551,RB
6437,2023,3,73,NYG,00-0038938,WR
6438,2023,3,74,CLE,00-0038979,WR
6442,2023,3,78,GNB,00-0038996,TE
6443,2023,3,79,IND,00-0038997,WR
6445,2023,3,81,TEN,00-0039032,RB
6448,2023,3,84,MIA,00-0039040,RB
6452,2023,3,88,JAX,00-0038555,RB
6457,2023,3,93,PIT,00-0038558,TE
6458,2023,3,94,ARI,00-0038559,WR
6463,2023,3,99,SFO,00-0038562,K
6464,2023,3,100,LVR,00-0038563,WR
6465,2023,3,101,SFO,00-0038564,TE
6476,2023,4,112,NWE,00-0038567,K
6479,2023,4,115,CHI,00-0039021,RB
6489,2023,4,125,LAC,00-0038573,WR
6491,2023,4,127,NOR,00-0038998,QB
6492,2023,4,128,LAR,00-0039107,QB
6495,2023,4,131,CIN,00-0038576,WR
6497,2023,4,133,CHI,00-0038941,WR
6499,2023,4,135,LVR,00-0038579,QB
6503,2023,5,139,ARI,00-0038582,QB
6504,2023,5,140,CLE,00-0038583,QB
6507,2023,5,143,NYJ,00-0038389,RB
6511,2023,5,147,TEN,00-0038589,TE
6513,2023,5,149,GNB,00-0038391,QB
6514,2023,5,150,BUF,00-0038590,WR
6523,2023,5,159,GNB,00-0038393,WR
6526,2023,5,162,IND,00-0038394,TE
6527,2023,5,163,CIN,00-0038597,RB
6528,2023,5,164,MIN,00-0038598,QB
6535,2023,5,171,TAM,00-0039050,TE
6536,2023,5,172,NYG,00-0038396,RB
6539,2023,5,175,LAR,00-0039074,TE
6540,2023,5,176,IND,00-0038397,RB
6541,2023,5,177,LAR,00-0039075,WR
6549,2023,6,185,JAX,00-0038606,WR
6551,2023,6,187,NWE,00-0038608,WR
6552,2023,6,188,PHI,00-0038400,QB
6555,2023,6,191,TAM,00-0039052,WR
6557,2023,6,193,WAS,00-0038611,RB
6559,2023,6,195,NOR,00-0038612,WR
6561,2023,6,197,MIA,00-0039041,WR
6569,2023,6,205,HOU,00-0038618,WR
6570,2023,6,206,CIN,00-0038619,WR
6571,2023,6,207,GNB,00-0038402,K
6574,2023,6,210,NWE,00-0038621,WR
6576,2023,6,212,DAL,00-0038622,RB
6579,2023,6,215,LAR,00-0039136,RB
6583,2023,7,219,DET,00-0038627,WR
6584,2023,7,220,NYJ,00-0038406,TE
6586,2023,7,222,MIN,00-0039046,RB
6592,2023,7,228,TEN,00-0038632,WR
6599,2023,7,235,GNB,00-0038409,RB
6601,2023,7,237,SEA,00-0038636,RB
6603,2023,7,239,LAC,00-0038637,QB
6608,2023,7,244,DAL,00-0038640,WR
6611,2023,7,247,SFO,00-0038643,TE
6617,2023,7,253,SFO,00-0038647,WR
6620,2023,7,256,GNB,00-0038507,WR
6624,2024,1,1,CHI,00-0039918,QB
6625,2024,1,2,WAS,00-0039910,QB
6626,2024,1,3,NWE,00-0039851,QB
6627,2024,1,4,ARI,00-0039849,WR
6629,2024,1,6,NYG,00-0039337,WR
6631,2024,1,8,ATL,00-0039917,QB
6632,2024,1,9,CHI,00-0039919,WR
6633,2024,1,10,MIN,00-0039923,QB
6635,2024,1,12,DEN,00-0039732,QB
6636,2024,1,13,LVR,00-0039338,TE
6646,2024,1,23,JAX,00-0039893,WR
6651,2024,1,28,KAN,00-0039894,WR
6654,2024,1,31,SFO,00-0039916,WR
6655,2024,1,32,CAR,00-0039342,WR
6656,2024,2,33,BUF,00-0039901,WR
6657,2024,2,34,LAC,00-0039915,WR
6660,2024,2,37,NWE,00-0039907,WR
6669,2024,2,46,CAR,00-0039344,RB
6675,2024,2,52,IND,00-0039890,WR
6676,2024,2,53,WAS,00-0039912,TE
6688,2024,3,65,NYJ,00-0039920,WR
6689,2024,3,66,ARI,00-0039921,RB
6703,2024,3,80,CIN,00-0039810,WR
6705,2024,3,82,ARI,00-0039737,TE
6706,2024,3,83,LAR,00-0039738,RB
6707,2024,3,84,PIT,00-0039739,WR
6711,2024,3,88,GNB,00-0039811,RB
6715,2024,3,92,TAM,00-0039855,WR
6723,2024,3,100,WAS,00-0039355,WR
6724,2024,4,101,CAR,00-0039356,TE
6725,2024,4,102,DEN,00-0039868,WR
6730,2024,4,107,NYG,00-0039847,TE
6733,2024,4,110,NWE,00-0039853,WR
6736,2024,4,113,BAL,00-0039792,WR
6738,2024,4,115,CIN,00-0039814,TE
6743,2024,4,120,MIA,00-0039874,RB
6744,2024,4,121,SEA,00-0039793,TE
6746,2024,4,123,HOU,00-0039359,TE
6748,2024,4,125,TAM,00-0039361,RB
6750,2024,4,127,PHI,00-0039746,RB
6751,2024,4,128,BUF,00-0039875,RB
6752,2024,4,129,SFO,00-0039363,RB
6754,2024,4,131,KAN,00-0039824,TE
6757,2024,4,134,NYJ,00-0039794,RB
6758,2024,4,135,SFO,00-0039365,WR
6765,2024,5,142,IND,00-0039816,WR
6770,2024,5,147,DEN,00-0039373,RB
6773,2024,5,150,NOR,00-0039376,QB
6775,2024,5,152,PHI,00-0039747,WR
6779,2024,5,156,CLE,00-0039379,WR
6788,2024,5,165,BAL,00-0039796,RB
6789,2024,5,166,NYG,00-0039384,RB
6790,2024,5,167,JAX,00-0039385,RB
6793,2024,5,170,NOR,00-0039386,WR
6794,2024,5,171,NYJ,00-0039797,QB
6796,2024,5,173,NYJ,00-0039798,RB
6804,2024,6,181,LAC,00-0039391,RB
6805,2024,6,182,TEN,00-0039392,WR
6807,2024,6,184,MIA,00-0039880,WR
6808,2024,6,185,PHI,00-0039236,WR
6809,2024,6,186,ATL,00-0039393,RB
6810,2024,6,187,ATL,00-0039394,WR
6814,2024,6,191,ARI,00-0039397,WR
6816,2024,6,193,NWE,00-0039398,QB
6817,2024,6,194,CIN,00-0039399,TE
6826,2024,6,203,MIN,00-0039404,K
6828,2024,6,205,HOU,00-0039405,RB
6831,2024,6,208,LVR,00-0039407,RB
6832,2024,6,209,LAR,00-0039750,K
6835,2024,6,212,JAX,00-0039409,K
6836,2024,6,213,LAR,00-0039751,WR
6839,2024,6,216,DAL,00-0039410,WR
6841,2024,6,218,BAL,00-0039801,QB
6848,2024,7,225,LAC,00-0039415,WR
6854,2024,7,231,NWE,00-0039420,TE
6858,2024,7,235,DEN,00-0039424,WR
6864,2024,7,241,MIA,00-0039884,WR
6868,2024,7,245,GNB,00-0039238,QB
6869,2024,7,246,TAM,00-0039754,TE
6876,2024,7,253,LAC,00-0039437,WR
6881,2025,1,1,TEN,00-0040676,QB
6882,2025,1,2,JAX,00-0040718,WR
6886,2025,1,6,LVR,00-0040122,RB
6888,2025,1,8,CAR,00-0040124,WR
6890,2025,1,10,CHI,00-0040126,TE
6894,2025,1,14,IND,00-0040128,TE
6899,2025,1,19,TAM,00-0040129,WR
6902,2025,1,22,LAC,00-0040666,RB
6903,2025,1,23,GNB,00-0040667,WR
6905,2025,1,25,NYG,00-0040691,QB
6914,2025,2,34,HOU,00-0040130,WR
6916,2025,2,36,CLE,00-0040784,RB
6918,2025,2,38,NWE,00-0040734,RB
6919,2025,2,39,CHI,00-0040735,WR
6920,2025,2,40,NOR,00-0040743,QB
6922,2025,2,42,NYJ,00-0040736,TE
6926,2025,2,46,LAR,00-0040737,TE
6930,2025,2,50,SEA,00-0040739,TE
