gsis_unq,wk1_depth,gsis_id,cleaned_name_yahoo,player_key,primary_position,season,gs_unq,bye_weeks.week,player_points.total,recent_team,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,pacr,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,misc_yards,penalties,penalty_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,def_points_allowed,def_plays_against,def_yds_per_play,def_takeaways,def_cmp_against,def_pass_attempts_against,def_passing_allowed,def_passing_td_allowed,def_passing_ny_attempt,def_passing_1st,def_rushing_attamepts_against,def_rushing_allowed,def_rushing_td_allowed,def_rushing_ny_attempt,def_rushing_1st,def_penalties,def_penalty_yds,def_penalty_1st,def_scoring_drives%,def_TO_drives%,def_exp_pts,def_season,def_3Datt,def_3D%,def_4Datt,def_4D%,def_rz_att,def_rz%,team,def_special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_safeties,def_misc_yards,def_fumble_recovery_opp,def_fumble_recovery_yards_opp,def_fumble_recovery_tds,def_punt_returns,def_punt_return_yards,def_kickoff_returns,def_kickoff_return_yards,HC,OC,DC,eos_depth
00-0004091_2014,1,00-0004091,phil dawson,331.p.4269,K,2014,00-0004091_2014,4,125,SF,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,31,5,1,55,0.8064516129032258,0,6,8,5,6,0,0,0,1,1,2,1,27;24;29;51;46;31;31;55;52;27;30;54;22;34;45;35;31;37;44;41;40;52;20;53;37,37;51;55;47;60,45,948,250,45,33,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,san francisco 49ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jim harbaugh,greg roman,vic fangio,1
00-0004091_2015,1,00-0004091,phil dawson,348.p.4269,K,2015,00-0004091_2015,9,102,SF,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,27,1,2,54,0.8888888888888888,0,9,6,6,3,0,0,0,0,1,0,0,30;25;47;33;43;22;53;31;26;42;35;54;26;44;27;25;53;33;44;40;26;28;38;23,45,28;41,848,45,69,20,21,0,1,0.9523809523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,san francisco 49ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jim tomsula,geep chryst,eric mangini,1
00-0004091_2016,1,00-0004091,phil dawson,359.p.4269,K,2016,00-0004091_2016,9,95,SF,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,3,0,53,0.8571428571428571,0,4,6,7,1,0,0,0,0,2,1,0,29;39;22;36;33;48;47;28;49;48;46;49;53;33;36;31;28;47,53;44;48,0,702,145,0,33,34,1,0,0.9705882352941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,san francisco 49ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chip kelly,curtis modkins,jim o'neil,1
00-0004091_2017,1,00-0004091,phil dawson,371.p.4269,K,2017,00-0004091_2017,8,137,ARI,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,40,6,2,57,0.8,1,7,10,10,4,0,0,0,4,2,0,0,24;27;40;30;37;29;43;50;32;28;25;32;43;34;42;48;57;54;47;23;32;35;40;35;19;34;32;21;49;46;53;42,32;42;36;32;38;40,51;45,1183,220,96,23,26,1,2,0.8846153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,arizona cardinals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bruce arians,harold goodwin,james bettcher,1
00-0004091_2018,1,00-0004091,phil dawson,380.p.4269,K,2018,00-0004091_2018,9,31,ARI,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,3,0,43,0.625,0,2,2,1,0,0,0,0,0,2,1,0,23;26;43;31;30,50;45;46,0,153,141,0,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,arizona cardinals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,steve wilks,mike mccoy,al holcomb,99
00-0007091_2014,2,00-0007091,matt hasselbeck,331.p.4416,QB,2014,00-0007091_2014,10,20.79,IND,4,30,44,301,2,0,2,-7,1,1,313,182,17,-0.628050635,3.970076347,0,0.9616613418530352,8,-11,0,0,0,0,-7.756980867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,indianapolis colts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chuck pagano,pep hamilton,greg manusky,2
00-0007091_2015,2,00-0007091,matt hasselbeck,348.p.4416,QB,2015,00-0007091_2015,10,107.95,IND,8,156,256,1690,9,5,16,-101,3,2,1900,779,85,-0.11306125,-2.263016492,0,0.8894736842105263,16,15,0,0,0,2,-5.870651625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,indianapolis colts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chuck pagano,pep hamilton,greg manusky,2
00-0010346_2014,1,00-0010346,peyton manning,331.p.4256,QB,2014,00-0010346_2014,4,398.23,DEN,16,395,597,4727,39,15,17,-118,2,1,5071,1882,225,121.81689107857144,3.316656149,2,0.9321632814040623,24,-24,0,3,1,2,-24.81241129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,denver broncos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,john fox,adam gase,jack del rio,1
00-0010346_2015,1,00-0010346,peyton manning,348.p.4256,QB,2015,00-0010346_2015,7,128.36,DEN,10,198,331,2249,9,17,16,-95,1,0,3112,967,110,-31.95664453,-2.388766865,0,0.7226863753213367,6,-6,0,0,0,0,-3.616596605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,denver broncos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gary kubiak,rick dennison,wade phillips,1
00-0016919_2014,1,00-0016919,adam vinatieri,331.p.3727,K,2014,00-0016919_2014,10,153,IND,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,31,1,0,53,0.967741935,0,10,10,7,3,0,0,0,0,1,0,0,25;46;27;48;43;25;31;30;38;34;27;34;23;50;31;23;48;31;48;43;31;53;46;20;32;51;33;29;23;26,46,0,1049,46,0,50,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,indianapolis colts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chuck pagano,pep hamilton,greg manusky,1
00-0016919_2015,1,00-0016919,adam vinatieri,348.p.3727,K,2015,00-0016919_2015,10,119,IND,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,27,2,0,55,0.925925926,0,7,6,8,4,0,0,1,0,0,1,0,54;32;27;48;42;47;34;24;50;43;55;43;49;27;26;44;35;25;21;32;29;38;49;52;35,52;29,0,961,81,0,32,35,2,1,0.9142857142857144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,indianapolis colts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chuck pagano,pep hamilton,greg manusky,1
00-0016919_2016,1,00-0016919,adam vinatieri,359.p.3727,K,2016,00-0016919_2016,10,149,IND,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,31,4,0,54,0.8709677419354839,0,3,7,10,7,0,0,0,0,2,2,0,50;40;48;52;38;33;53;49;54;53;26;41;46;41;37;36;28;33;28;49;53;36;32;48;50;42;45,42;52;55;48,0,1141,197,0,44,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,indianapolis colts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chuck pagano,rob chudzinski,ted monachino,1
00-0016919_2017,1,00-0016919,adam vinatieri,371.p.3727,K,2017,00-0016919_2017,11,123,IND,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,34,4,1,54,0.8529411764705882,0,11,7,6,5,0,0,0,2,1,0,1,20;46;29;33;40;52;23;38;51;36;25;52;29;33;29;22;53;48;26;28;42;27;45;39;48;38;30;54;22,38;33;43;60,38,1058,174,38,22,24,2,0,0.9166666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,indianapolis colts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chuck pagano,rob chudzinski,ted monachino,1
00-0016919_2018,1,00-0016919,adam vinatieri,380.p.3727,K,2018,00-0016919_2018,9,123,IND,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,27,4,0,54,0.8518518518518519,0,8,6,5,4,0,0,0,1,1,2,0,21;38;51;35;31;28;42;44;54;21;31;36;26;25;22;46;32;54;43;44;23;53;25,55;38;52;48,0,825,193,0,44,47,3,0,0.9361702127659576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,indianapolis colts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,frank reich,nick sirianni,matt eberflus,1
00-0016919_2019,1,00-0016919,adam vinatieri,390.p.3727,K,2019,00-0016919_2019,6,73,IND,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,25,6,2,55,0.68,0,6,6,3,2,0,0,1,0,3,2,0,44;49;21;26;32;32;31;29;55;45;51;25;25;39;34;36;28,46;29;57;45;43;55,53;46,602,275,99,22,28,5,1,0.7857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,indianapolis colts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,frank reich,nick sirianni,matt eberflus,99
00-0019536_2014,1.5,00-0019536,shayne graham,331.p.5854,K,2014,00-0019536_2014,9,107,NO,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,3,0,50,0.8636363636363636,0,6,9,3,1,0,0,0,0,2,1,0,31;50;27;30;30;29;44;27;48;36;31;29;37;40;31;20;34;37;25,41;42;51,0,636,134,0,46,47,0,1,0.9787234042553192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,new orleans saints,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sean payton,pete carmichael,rob ryan,2
00-0019536_2015,99,00-0019536,shayne graham,348.p.5854,K,2015,00-0019536_2015,10,49,ATL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,1,1,54,0.8461538461538461,0,2,4,2,3,0,0,0,0,1,0,0,31;28;47;52;29;34;33;46;37;54;51,43,45,442,43,45,8,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,atlanta falcons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dan quinn,kyle shanahan,richard smith,1
00-0019596_2014,1,00-0019596,tom brady,331.p.5228,QB,2014,00-0019596_2014,7,347.46,NE,16,373,582,4109,33,9,21,-134,4,3,4691,1862,220,109.78381503496122,1.5923478358298644,0,0.8759326369643999,36,57,0,1,0,12,-4.367860905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,new england patriots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bill belichick,josh mcdaniels,matt patricia,1
00-0019596_2015,1,00-0019596,tom brady,348.p.5228,QB,2015,00-0019596_2015,6,398.7,NE,16,402,624,4770,36,7,38,-225,5,2,4915,2414,228,127.53617939309687,-0.09328793,0,0.970498474,34,53,3,1,0,14,6.768190164963016,0,1,1,36,0,0,0,7,29,1,3.1290306355804205,0,5.142857142857143,0.001602564,0.00141844,0.003396754,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,new england patriots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bill belichick,josh mcdaniels,matt patricia,1
00-0019596_2016,99,00-0019596,tom brady,359.p.5228,QB,2016,00-0019596_2016,6,313.31,NE,12,291,432,3554,28,2,15,-87,2,0,3353,1744,163,146.34948005710285,3.6512685539287855,1,1.0599463167312857,28,64,0,1,0,11,-5.717146961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,new england patriots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bill belichick,josh mcdaniels,matt patricia,1
00-0019596_2017,1,00-0019596,tom brady,371.p.5228,QB,2017,00-0019596_2017,0,355.28,NE,16,385,581,4577,32,8,35,-201,6,2,5308,1910,230,140.61418443449458,3.735653264609184,2,0.8622833458929917,25,28,0,1,1,9,-12.20378493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,new england patriots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bill belichick,josh mcdaniels,matt patricia,1
00-0019596_2018,1,00-0019596,tom brady,380.p.5228,QB,2018,00-0019596_2018,5,348.55,NE,16,375,570,4355,29,11,21,-147,4,2,4487,2121,205,91.60494421713176,1.0274418346259906,0,0.9705816804100736,23,35,2,0,0,10,2.064228415690928,0,1,1,6,0,0,0,0,6,0,-0.220585573,0,0,0.001798561,0,0.002697842,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,new england patriots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bill belichick,josh mcdaniels,bill belichick,1
00-0019596_2019,1,00-0019596,tom brady,390.p.5228,QB,2019,00-0019596_2019,7,311.23,NE,16,373,613,4057,24,8,27,-185,2,1,4613,1863,194,31.60153647076925,-2.097885419,1,0.8794710600476913,26,34,3,0,0,8,0.8319189805644012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,new england patriots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bill belichick,josh mcdaniels,bill belichick,1
00-0019596_2020,1,00-0019596,tom brady,399.p.5228,QB,2020,00-0019596_2020,13,413.37,TB,16,401,610,4633,40,12,21,-143,1,0,5532,1810,233,131.4121736,3.563913695387921,0,0.8374909616775127,30,6,3,3,1,9,-18.1860519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tampa bay buccaneers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bruce arians,byron leftwich,todd bowles,1
00-0019596_2021,1,00-0019596,tom brady,406.p.5228,QB,2021,00-0019596_2021,9,473.09,TB,17,485,719,5316,43,12,22,-144,3,2,5804,2534,270,144.76788371139247,1.6913722946562495,0,0.915920055,28,81,2,1,1,15,3.850478549111787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tampa bay buccaneers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bruce arians,byron leftwich,todd bowles,1
00-0019596_2022,1,00-0019596,tom brady,414.p.5228,QB,2022,00-0019596_2022,11,297.36,TB,17,490,733,4694,25,9,22,-160,3,2,5027,2292,237,60.22426977165676,0.5095926483584597,2,0.9337577083747762,29,-1,1,2,2,7,-20.46932075,0,0,1,0,0,0,0,16,0,0,-4.726016435,0,0,0.001381215,0.003099574,0.004241525,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tampa bay buccaneers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,todd bowles,byron leftwich,kacy rodgers,1
00-0019646_2014,1,00-0019646,sebastian janikowski,331.p.5046,K,2014,00-0019646_2014,4,100,LV,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,3,0,57,0.8636363636363636,0,2,5,9,3,0,0,0,0,1,2,0,49;37;47;29;53;46;38;48;41;42;25;40;57;53;33;45;36;38;49,53;51;48,0,806,152,0,28,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,las vegas raiders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tony sparano,greg olson,jason tarver,1
00-0019646_2015,1,00-0019646,sebastian janikowski,348.p.5046,K,2015,00-0019646_2015,9,113,LV,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,26,4,1,56,0.8076923076923077,0,7,5,5,4,0,0,0,0,3,1,0,23;46;48;23;35;29;41;50;29;32;31;52;47;48;56;24;23;30;50;31;29,40;52;49;43,38,777,184,38,38,39,1,0,0.9743589743589745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,las vegas raiders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jack del rio,bill musgrave,ken norton,1
00-0019646_2016,1,00-0019646,sebastian janikowski,359.p.5046,K,2016,00-0019646_2016,5,138,LV,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,35,6,0,56,0.8285714285714286,1,9,6,10,3,0,0,0,0,1,5,0,47;31;52;20;26;56;48;46;26;32;44;52;31;24;29;35;19;20;23;23;47;41;47;44;33;45;33;21;44,58;50;52;50;52;48,0,1039,310,0,37,39,1,1,0.9487179487179488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,las vegas raiders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jack del rio,bill musgrave,ken norton,1
00-0019646_2018,1,00-0019646,sebastian janikowski,380.p.5046,K,2018,00-0019646_2018,7,125,SEA,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,27,5,0,56,0.8148148148148148,0,2,9,8,3,0,0,0,2,1,2,0,35;56;47;40;52;52;44;26;44;33;39;43;33;30;31;40;37;35;48;28;42;33,46;38;52;51;36,0,868,223,0,48,51,3,0,0.9411764705882352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,seattle seahawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pete carroll,brian schottenheimer,ken norton,1
00-0019770_2014,99,00-0019770,jay feely,331.p.5447,K,2014,00-0019770_2014,9,14,CHI,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,48,0.75,0,1,1,1,0,0,0,0,0,1,0,0,48;25;35,43,0,108,43,0,5,6,0,1,0.8333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chicago bears,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marc trestman,aaron kromer,mel tucker,2
00-0020245_2014,2,00-0020245,michael vick,331.p.5448,QB,2014,00-0020245_2014,12,36.41,NYJ,9,64,121,604,3,2,19,-85,2,1,1055,250,33,-49.36630693,-4.684969953,0,0.5725118483412323,26,153,0,2,1,13,-2.786483116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,new york jets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rex ryan,marty mornhinweg,dennis thurman,2
00-0020245_2015,2,00-0020245,michael vick,348.p.5448,QB,2015,00-0020245_2015,11,27.64,PIT,5,40,66,371,2,1,10,-53,1,0,631,193,14,-30.64470698,-0.058071432,0,0.5879556259904913,20,99,0,1,0,5,-0.004189373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pittsburgh steelers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mike tomlin,todd haley,keith butler,3
00-0020337_2014,1,00-0020337,steve smith,331.p.5521,WR,2014,00-0020337_2014,11,223.5,BAL,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,134,1065,6,2,1,1413,363,45,39.161842215806765,0,0.7537154989384289,0.2476894639556377,0.3056456846203764,0.5854861751677201,0,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,baltimore ravens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,john harbaugh,gary kubiak,dean pees,1
