,gsis_unq,wk1_depth,gsis_id,cleaned_name_yahoo,player_key,primary_position,season,gs_unq,bye_weeks.week,player_points.total,recent_team,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,pacr,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,misc_yards,penalties,penalty_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,def_points_allowed,def_plays_against,def_yds_per_play,def_takeaways,def_cmp_against,def_pass_attempts_against,def_passing_allowed,def_passing_td_allowed,def_passing_ny_attempt,def_passing_1st,def_rushing_attamepts_against,def_rushing_allowed,def_rushing_td_allowed,def_rushing_ny_attempt,def_rushing_1st,def_penalties,def_penalty_yds,def_penalty_1st,def_scoring_drives%,def_TO_drives%,def_exp_pts,def_season,def_3Datt,def_3D%,def_4Datt,def_4D%,def_rz_att,def_rz%,team,def_special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_safeties,def_misc_yards,def_fumble_recovery_opp,def_fumble_recovery_yards_opp,def_fumble_recovery_tds,def_punt_returns,def_punt_return_yards,def_kickoff_returns,def_kickoff_return_yards,HC,OC,DC,eos_depth
5739,00-0036309_2021,1.0,00-0036309,darnell mooney,406.p.32843,WR,2021,00-0036309_2021,6,223.7,CHI,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,6,32,1,0,0,2,0.9643581494456156,0,81,140,1055,4,0,0,1556,381,49,0.5429042949728018,0,0.6780205655526992,0.2671755725190839,0.3461624026696329,0.643077041,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,chicago bears,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matt nagy,bill lazor,sean desai,1
5740,00-0036309_2022,1.0,00-0036309,darnell mooney,414.p.32843,WR,2022,00-0036309_2022,14,101.5,CHI,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1,2,0,0,0,0,-0.609379589,0,40,61,493,2,0,0,727,168,20,14.498919421472998,0,0.6781292984869326,0.1699164345403899,0.2122008172796264,0.4034152239063234,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,chicago bears,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matt eberflus,luke getsy,alan williams,99
5741,00-0036309_2023,1.0,00-0036309,darnell mooney,423.p.32843,WR,2023,00-0036309_2023,11,78.9,CHI,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,2,5,0,0,0,0,-0.762429441,0,31,61,414,1,0,0,630,181,20,-4.804643356,0,0.6571428571428571,0.1278825995807128,0.166887417,0.3086450914240493,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,chicago bears,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matt eberflus,luke getsy,alan williams,1
5742,00-0036309_2024,1.0,00-0036309,darnell mooney,449.p.32843,WR,2024,00-0036309_2024,12,195.1,ATL,16,0,1,0,0,0,0,0,0,0,19,0,0,-0.423818197,0.0,0,0.0,0,0,0,0,0,0,0.0,0,64,106,992,5,0,0,1294,275,48,43.90698854503186,0,0.7666151468315301,0.196660482,0.2897447380206001,0.4978120401765721,0,2,15,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,atlanta falcons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,raheem morris,zac robinson,jimmy lake,1
5744,00-0036322_2020,2.0,00-0036322,justin jefferson,399.p.32692,WR,2020,00-0036322_2020,7,281.2,MIN,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1,2,0,0,0,0,-0.560423414,0,88,125,1400,7,1,0,1430,453,58,66.18497520993378,2,0.9790209790209792,0.2577319587628865,0.3485254691689008,0.6305657665625604,0,2,12,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,minnesota vikings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mike zimmer,gary kubiak,adam zimmer,1
5745,00-0036322_2021,1.0,00-0036322,justin jefferson,406.p.32692,WR,2021,00-0036322_2021,7,337.9,MIN,17,2,4,35,0,0,0,0,0,0,36,28,2,1.2533358797663825,-5.726433545,0,0.9722222222222222,6,14,0,0,0,1,-2.24479339,0,108,167,1616,10,1,1,2063,490,75,77.73013027379444,0,0.7833252544837616,0.2889273356401384,0.42606361,0.7316355305151436,0,1,10,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,minnesota vikings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mike zimmer,klint kubiak,adam zimmer,1
5746,00-0036322_2022,1.0,00-0036322,justin jefferson,414.p.32692,WR,2022,00-0036322_2022,7,379.86,MIN,17,2,2,34,0,0,0,0,0,0,3,31,2,3.05308637,20.008227229118347,0,11.333333333333334,4,24,1,0,0,2,2.276702370552812,0,128,184,1809,8,0,0,1867,613,80,75.37003681422581,1,0.968934119,0.2870514820592824,0.3722831505483549,0.691175428,0,3,25,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,minnesota vikings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kevin o'connell,wes phillips,ed donatell,1
5747,00-0036322_2023,1.0,00-0036322,justin jefferson,423.p.32692,WR,2023,00-0036322_2023,13,207.1,MIN,10,0,1,0,0,0,0,0,0,0,20,0,0,-0.393325771,-29.81584668,0,0.0,1,-12,0,0,0,0,-1.971624546,0,68,100,1074,5,1,1,1258,260,52,42.82270591843974,0,0.8537360890302067,0.165016502,0.2551724137931034,0.4261454421304199,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,minnesota vikings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kevin o'connell,wes phillips,brian flores,1
5748,00-0036322_2024,1.0,00-0036322,justin jefferson,449.p.32692,WR,2024,00-0036322_2024,6,322.83,MIN,17,1,1,22,0,0,0,0,0,0,-5,27,1,3.050906698219478,10.456204414367676,0,0.0,1,3,0,0,0,0,-0.218719785,0,103,154,1533,10,1,0,1682,487,63,64.19311160311119,0,0.9114149821640904,0.2978723404255319,0.3636756756756756,0.7013814836112708,0,2,20,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,minnesota vikings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kevin o'connell,wes phillips,brian flores,1
5749,00-0036326_2020,2.0,00-0036326,chase claypool,399.p.32719,WR,2020,00-0036326_2020,11,216.9,PIT,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,10,16,2,0,0,4,-0.160233533,0,62,109,873,9,3,1,1438,329,40,44.06178639674378,0,0.6070931849791377,0.1671779141104294,0.3087824779901224,0.4669146057587298,0,1,10,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,pittsburgh steelers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mike tomlin,randy fichtner,keith butler,2
