,gsis_unq,wk1_depth,gsis_id,cleaned_name_yahoo,player_key,primary_position,season,gs_unq,bye_weeks.week,player_points.total,recent_team,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,pacr,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,misc_yards,penalties,penalty_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,def_points_allowed,def_plays_against,def_yds_per_play,def_takeaways,def_cmp_against,def_pass_attempts_against,def_passing_allowed,def_passing_td_allowed,def_passing_ny_attempt,def_passing_1st,def_rushing_attamepts_against,def_rushing_allowed,def_rushing_td_allowed,def_rushing_ny_attempt,def_rushing_1st,def_penalties,def_penalty_yds,def_penalty_1st,def_scoring_drives%,def_TO_drives%,def_exp_pts,def_season,def_3Datt,def_3D%,def_4Datt,def_4D%,def_rz_att,def_rz%,team,def_special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_safeties,def_misc_yards,def_fumble_recovery_opp,def_fumble_recovery_yards_opp,def_fumble_recovery_tds,def_punt_returns,def_punt_return_yards,def_kickoff_returns,def_kickoff_return_yards,HC,OC,DC,eos_depth
6566,00-0038611_2023,3.0,00-0038611,chris rodriguez,423.p.40231,RB,2023,00-0038611_2023,14,37.9,WAS,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,51,247,2,1,1,14,-3.484160204,0,2,2,12,0,0,0,-7,19,1,0.4543300392106175,0,-1.714285714,0.003327787,-0.001468429,0.00396378,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,washington commanders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ron rivera,eric bieniemy,jack del rio,99
6567,00-0038611_2024,99.0,00-0038611,chris rodriguez,449.p.40231,RB,2024,00-0038611_2024,14,31.5,WAS,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,35,173,2,0,0,10,7.9402524094621185,0,1,1,12,0,0,0,1,11,1,1.138391637650784,0,12.0,0.001984127,0.000250501,0.003151541,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,washington commanders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dan quinn,kliff kingsbury,joe whitt,3
6575,00-0038622_2023,3.0,00-0038622,deuce vaughn,423.p.40240,RB,2023,00-0038622_2023,9,15.0,DAL,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,23,40,0,0,0,3,-12.90925017,0,7,7,40,0,0,0,-6,46,1,0.7451961804763414,0,-6.666666667,0.011570248,-0.001251564,0.016479277,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,dallas cowboys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mike mccarthy,brian schottenheimer,dan quinn,3
6576,00-0038622_2024,3.0,00-0038622,deuce vaughn,449.p.40240,RB,2024,00-0038622_2024,14,11.8,DAL,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,17,70,0,0,0,2,-4.091768574,0,3,5,18,0,0,0,0,13,0,-1.902085035,0,0.0,0.008038585,0.0,0.012057878,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,dallas cowboys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mike mccarthy,brian schottenheimer,mike zimmer,3
6579,00-0038636_2024,3.0,00-0038636,kenny mcintosh,449.p.40267,RB,2024,00-0038636_2024,10,22.4,SEA,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,31,172,0,0,0,8,1.4880797801888548,0,3,4,22,0,0,0,5,17,1,-0.404057139,0,4.4,0.007029877,0.001215362,0.011395569,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,seattle seahawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mike macdonald,ryan grubb,aden durde,2
6586,00-0038656_2023,99.0,00-0038656,mohamed ibrahim,423.p.40586,RB,2023,00-0038656_2023,13,0.0,DET,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,detroit lions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dan campbell,ben johnson,aaron glenn,99
6588,00-0038678_2023,99.0,00-0038678,jordan mims,423.p.40631,RB,2023,00-0038678_2023,7,0.0,NO,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,2,0,0,0,0,10,0,0,-1.37122828,0,0.0,0.003454231,0.00199362,0.006576881,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,new orleans saints,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dennis allen,pete carmichael,joe woods,99
6589,00-0038678_2024,3.0,00-0038678,jordan mims,449.p.40631,RB,2024,00-0038678_2024,5,26.1,NO,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,20,70,0,0,0,3,-3.17677546,0,12,18,71,0,0,0,3,80,4,-7.65832852,0,23.666666666666668,0.034816248,0.000677201,0.052698412,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,new orleans saints,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dennis allen,klint kubiak,joe woods,3
6591,00-0038685_2023,99.0,00-0038685,chris brooks,423.p.40625,RB,2023,00-0038685_2023,6,10.6,MIA,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,19,106,0,0,0,2,-3.392205101,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,miami dolphins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mike mcdaniel,frank smith,vic fangio,3
6592,00-0038685_2024,99.0,00-0038685,chris brooks,449.p.40625,RB,2024,00-0038685_2024,10,42.2,GB,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,36,183,1,0,0,12,4.788258755,0,11,13,69,0,0,0,-22,95,2,-3.788489,0,-3.136363636,0.028017241,-0.005254359,0.038347811,0,2,25,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,green bay packers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matt lafleur,adam stenavich,jeff hafley,3
