,player_id,player_name,sacks_suffered,season,attempts,passing_air_yards,carries,rushing_yards,receptions,receiving_yards,fg_att,pat_att,fg_made_distance,fg_missed_distance
5446,00-0009311,J.Kitna,24,2002,473,242,24,57,0,0,0,0,0,0
5447,00-0009323,J.Kleinsasser,0,2002,0,0,6,17,37,393,0,0,0,0
5449,00-0009417,R. Konrad,0,2002,0,0,3,2,34,233,0,0,0,0
5450,00-0009443,B.Kozlowski,0,2002,0,0,0,0,6,59,0,0,0,0
5461,00-0009829,D.Levens,0,2002,2,0,75,411,19,124,0,0,0,0
5462,00-0009842,C.Lewis,0,2002,0,0,0,0,42,398,0,0,0,0
5463,00-0009869,J.Lewis,0,2002,0,0,3,8,2,41,0,0,0,0
5470,00-0010007,K.Lockett,0,2002,1,0,0,0,16,205,0,0,0,0
5472,00-0010072,R.Longwell,0,2002,0,0,0,0,0,0,34,44,942,212
5475,00-0010137,R. Lucas,12,2002,160,58,36,126,0,0,0,0,0,0
5476,00-0010146,M.Lucky,0,2002,0,0,0,0,1,22,0,0,0,0
5483,00-0010240,S. Mack,0,2002,0,0,98,436,11,79,0,0,0,0
5484,00-0010261,T.Maddox,26,2002,377,181,19,43,0,0,0,0,0,0
5486,00-0010292,J.Makovicka,0,2002,0,0,5,54,15,81,0,0,0,0
5487,00-0010333,K.Mangum,0,2002,0,0,0,0,16,159,0,0,0,0
5489,00-0010346,P.Manning,23,2002,591,259,38,148,0,0,0,0,0,0
5490,00-0010373,O. Mare,0,2002,0,0,0,0,0,0,31,43,815,293
5493,00-0010436,C.Martin,0,2002,0,0,1,-4,15,126,0,0,0,0
5494,00-0010442,C.Martin,1,2002,0,0,261,1094,49,362,0,0,0,0
5495,00-0010455,J. Martin,10,2002,195,167,5,6,0,0,0,0,0,0
5498,00-0010500,D.Mason,0,2002,0,0,0,0,79,1012,0,0,0,0
5502,00-0010539,T.Mathis,0,2002,0,0,0,0,23,218,0,0,0,0
5503,00-0010560,S.Matthews,9,2002,237,66,12,31,1,-13,0,0,0,0
5506,00-0010632,F.McAfee,0,2002,0,0,1,11,0,0,0,0,0,0
5510,00-0010650,E.McCaffrey,0,2002,0,0,2,22,69,903,0,0,0,0
5511,00-0010668,K.McCardell,0,2002,0,0,1,3,61,670,0,0,0,0
5515,00-0010747,F.McCrary,0,2002,0,0,2,1,22,96,0,0,0,0
5521,00-0010859,T.McGee,0,2002,0,0,0,0,23,294,0,0,0,0
5526,00-0010951,D.McKinley,0,2002,0,0,0,0,0,0,0,0,0,0
5529,00-0010974,J. McKnight,0,2002,0,0,7,58,29,528,0,0,0,0
5530,00-0011022,D.McNabb,28,2002,361,82,63,460,0,0,0,0,0,0
5531,00-0011024,S.McNair,21,2002,492,260,82,440,0,0,0,0,0,0
5535,00-0011151,E.Metcalf,0,2002,0,0,2,7,0,0,0,0,0,0
5538,00-0011224,I.Mili,0,2002,0,0,0,0,43,508,0,0,0,0
5539,00-0011236,B.Miller,0,2002,0,0,0,0,51,613,0,0,0,0
5541,00-0011276,J.Miller,16,2002,314,156,13,11,0,0,0,0,0,0
5548,00-0011399,B.Mitchell,0,2002,1,0,0,0,0,0,0,0,0,0
5553,00-0011425,P. Mitchell,0,2002,0,0,0,0,25,246,0,0,0,0
5558,00-0011506,J.Montgomery,0,2002,0,0,7,20,0,0,0,0,0,0
5560,00-0011551,D.Moore,0,2002,0,0,0,0,16,141,0,0,0,0
5561,00-0011568,H.Moore,0,2002,0,0,0,0,0,0,0,0,0,0
5566,00-0011718,H.Morrow,0,2002,0,0,0,0,0,0,0,0,0,0
5567,00-0011727,J. Morton,0,2002,0,0,10,124,29,397,0,0,0,0
5568,00-0011754,R.Moss,0,2002,3,0,6,51,106,1347,0,0,0,0
5569,00-0011770,E.Moulds,0,2002,0,0,1,7,100,1292,0,0,0,0
5570,00-0011795,M.Muhammad,0,2002,0,0,3,40,63,823,0,0,0,0
5572,00-0011854,Y. Murphy,0,2002,0,0,0,0,5,23,0,0,0,0
5578,00-0011958,L.Neal,0,2002,0,0,9,31,21,133,0,0,0,0
5579,00-0011970,J.Nedney,0,2002,0,0,0,0,0,0,31,36,858,265
5590,00-0012261,N.O'Donnell,0,2002,5,0,3,-3,0,0,0,0,0,0
5595,00-0012321,J.Ogden,0,2002,0,0,0,0,0,0,0,0,0,0
5601,00-0012478,T.Owens,0,2002,0,0,7,79,100,1300,0,0,0,0
5608,00-0012637,J.Pathon,0,2002,0,0,0,0,43,523,0,0,0,0
5609,00-0012642,D.Patten,0,2002,1,0,2,6,61,824,0,0,0,0
5612,00-0012726,D.Pederson,1,2002,28,0,1,-1,0,0,0,0,0,0
5613,00-0012732,R.Peete,31,2002,381,242,22,14,0,0,0,0,0,0
5614,00-0012809,E. Perry,0,2002,0,0,0,0,0,0,0,0,0,0
5619,00-0012875,T.Peterson,0,2002,0,0,0,0,0,0,21,26,402,268
5624,00-0013013,M.Pittman,0,2002,0,0,204,718,59,477,0,0,0,0
5627,00-0013042,J.Plummer,36,2002,530,334,46,283,1,2,0,0,0,0
5628,00-0013080,M.Pollard,0,2002,0,0,0,0,43,478,0,0,0,0
5635,00-0013232,P.Price,0,2002,0,0,3,-13,94,1252,0,0,0,0
5638,00-0013262,S.Pritchett,0,2002,0,0,1,2,19,165,0,0,0,0
5639,00-0013268,R. Proehl,1,2002,1,0,0,0,43,466,0,0,0,0
5642,00-0013338,J. Quinn  (3rd QB),0,2002,0,0,1,-1,0,0,0,0,0,0
5646,00-0013422,W.Rasby,0,2002,0,0,0,0,9,85,0,0,0,0
5649,00-0013512,Ja.Reed,0,2002,0,0,0,0,21,360,0,0,0,0
5653,00-0013639,J. Rice,0,2002,0,0,3,20,92,1211,0,0,0,0
5657,00-0013694,T. Richardson,0,2002,0,0,22,81,18,125,0,0,0,0
5658,00-0013699,W.Richey,0,2002,0,0,0,0,0,0,0,0,0,0
5659,00-0013712,M.Ricks,0,2002,0,0,0,0,27,339,0,0,0,0
5660,00-0013728,J.Riemersma,0,2002,0,0,0,0,32,350,0,0,0,0
5662,00-0013773,J.Ritchie,0,2002,0,0,0,0,10,66,0,0,0,0
5670,00-0013888,M.Robinson,0,2002,0,0,0,0,21,244,0,0,0,0
5672,00-0013958,C.Rogers,0,2002,0,0,0,0,0,0,0,0,0,0
5692,00-0014211,R.Rutledge,0,2002,0,0,0,0,0,0,0,0,0,0
5694,00-0014328,F.Sanders,0,2002,0,0,3,2,34,400,0,0,0,0
5698,00-0014384,C.Sauter,0,2002,9,0,2,8,0,0,0,0,0,0
5701,00-0014450,C.Schlesinger,0,2002,0,0,49,139,35,263,0,0,0,0
5702,00-0014489,B.Schroeder,0,2002,0,0,0,0,36,595,0,0,0,0
5706,00-0014544,D.Scott,0,2002,0,0,1,14,22,218,0,0,0,0
5713,00-0014722,S.Sharpe,0,2002,0,0,0,0,61,686,0,0,0,0
5716,00-0014729,B. Shaw,0,2002,0,0,0,0,44,525,0,0,0,0
5718,00-0014775,D.Shelton,0,2002,0,0,0,0,7,34,0,0,0,0
5727,00-0015048,D.Sloan,0,2002,0,0,0,0,12,127,0,0,0,0
5729,00-0015082,A.Smith,3,2002,33,2,4,5,0,0,0,0,0,0
5730,00-0015091,A.Smith,0,2002,0,0,252,982,31,243,0,0,0,0
5735,00-0015152,D.Smith,0,2002,0,0,0,0,1,14,0,0,0,0
5736,00-0015165,E.Smith,0,2002,0,0,254,975,16,89,0,0,0,0
5738,00-0015218,J. Smith,0,2002,0,0,1,2,80,1027,0,0,0,0
5739,00-0015242,L.Smith,0,2002,0,0,209,737,20,167,0,0,0,0
5743,00-0015290,R. Smith,0,2002,1,0,6,9,89,1027,0,0,0,0
5745,00-0015420,J.Sowell,0,2002,0,0,1,0,9,85,0,0,0,0
5755,00-0015523,D.Staley,0,2002,0,0,269,1029,51,541,0,0,0,0
5758,00-0015601,A.Stecker,0,2002,0,0,28,174,13,69,0,0,0,0
5763,00-0015698,J.Stewart,0,2002,1,0,231,1021,46,333,0,0,0,0
5764,00-0015700,K.Stewart,7,2002,166,115,43,191,0,0,0,0,0,0
5768,00-0015751,J.Stokes,0,2002,0,0,0,0,32,332,0,0,0,0
5769,00-0015754,B.Stokley,0,2002,0,0,6,31,24,357,0,0,0,0
5772,00-0015784,M.Stover,0,2002,0,0,0,0,0,0,25,33,708,180
5774,00-0015811,T.Streets,0,2002,0,0,0,0,72,756,0,0,0,0
5775,00-0015830,M.Strong,0,2002,0,0,23,94,22,120,0,0,0,0
5779,00-0015959,K.Swayne,0,2002,0,0,0,0,5,78,0,0,0,0
5780,00-0015970,J.Swift,0,2002,0,0,0,0,10,63,0,0,0,0
5781,00-0015980,R.Swinton,0,2002,0,0,1,23,7,63,0,0,0,0
5789,00-0016098,F. Taylor,0,2002,0,0,287,1314,49,408,0,0,0,0
5795,00-0016193,V.Testaverde,9,2002,83,10,2,23,0,0,0,0,0,0
5799,00-0016316,R.Thomas,0,2002,0,0,10,31,12,80,0,0,0,0
5802,00-0016347,J.Thomason,0,2002,0,0,0,0,10,128,0,0,0,0
5803,00-0016373,D.Thompson,0,2002,0,0,10,77,53,773,0,0,0,0
5805,00-0016440,J.Thrash,0,2002,0,0,18,126,52,635,0,0,0,0
5810,00-0016550,A.Toomer,0,2002,0,0,1,2,82,1343,0,0,0,0
5818,00-0016677,J.Tuman,0,2002,0,0,0,0,4,63,0,0,0,0
5825,00-0016830,M.Vanderjagt,0,2002,0,0,0,0,0,0,31,34,826,298
5826,00-0016837,T.Vanover,0,2002,0,0,0,0,0,0,0,0,0,0
5827,00-0016838,A. Van Pelt,0,2002,2,0,0,0,0,0,0,0,0,0
5830,00-0016919,A.Vinatieri,0,2002,0,0,0,0,0,0,30,36,980,136
5842,00-0017109,W.Walls,0,2002,0,0,0,0,19,241,0,0,0,0
5843,00-0017110,C.Walsh,0,2002,0,0,0,0,14,172,0,0,0,0
5845,00-0017160,D. Ward,0,2002,0,0,0,0,19,172,0,0,0,0
5846,00-0017162,H.Ward,0,2002,0,0,12,142,112,1329,0,0,0,0
5848,00-0017200,K. Warner,21,2002,220,129,8,33,0,0,0,0,0,0
5849,00-0017218,L.Warren,0,2002,0,0,6,8,4,56,0,0,0,0
5850,00-0017239,D.Washington,0,2002,0,0,0,0,0,0,0,0,0,0
5858,00-0017356,J. Weaver,0,2002,0,0,0,0,6,75,0,0,0,0
5866,00-0017470,M.Westbrook,0,2002,0,0,1,1,8,94,0,0,0,0
5867,00-0017486,T. Wheatley,0,2002,0,0,108,419,12,71,0,0,0,0
5873,00-0017611,A. Whitted,0,2002,0,0,0,0,0,0,0,0,0,0
5878,00-0017644,J.Wiggins,0,2002,0,0,0,0,10,62,0,0,0,0
5881,00-0017693,J. Wilkins,0,2002,0,0,0,0,0,0,25,37,675,267
5882,00-0017697,T. Wilkins,0,2002,0,0,6,56,5,31,0,0,0,0
5890,00-0017847,K.Williams,0,2002,0,0,3,-5,7,77,0,0,0,0
5892,00-0017892,M.Williams,0,2002,0,0,84,414,27,251,0,0,0,0
5893,00-0017896,N.Luchey,0,2002,0,0,12,59,7,46,0,0,0,0
5895,00-0017915,R. Williams,0,2002,0,0,383,1853,47,363,0,0,0,0
5896,00-0017924,R.Williams,0,2002,0,0,0,0,27,213,0,0,0,0
5920,00-0018333,D.Wuerffel,11,2002,92,138,10,76,0,0,0,0,0,0
5922,00-0018343,F.Wycheck,0,2002,2,0,0,0,40,346,0,0,0,0
5928,00-0018501,A.Zereoue,0,2002,0,0,193,762,42,341,0,0,0,0
5934,00-0018588,A.Ricard,0,2002,0,0,14,58,10,60,0,0,0,0
5942,00-0018949,T.Seder,0,2002,0,0,0,0,0,0,12,11,250,166
5947,00-0018958,L.Coles,0,2002,0,0,6,39,89,1264,0,0,0,0
5952,00-0018977,M.Smith,0,2002,0,0,0,0,0,0,0,0,0,0
5953,00-0018981,M. Knight,0,2002,0,0,0,0,3,26,0,0,0,0
5957,00-0019025,R.Jenkins,0,2002,0,0,0,0,0,0,0,0,0,0
5959,00-0019035,L.Stephens,0,2002,0,0,0,0,1,13,0,0,0,0
5963,00-0019057,J.White,0,2002,0,0,106,470,63,452,0,0,0,0
5965,00-0019065,J.Davenport,0,2002,0,0,0,0,8,70,0,0,0,0
5968,00-0019087,D.Johnson,3,2002,57,49,8,16,0,0,0,0,0,0
5969,00-0019093,C.Crawford,0,2002,0,0,0,0,0,0,0,0,0,0
5971,00-0019100,B.Hoover,0,2002,0,0,31,129,17,187,0,0,0,0
5975,00-0019109,S.Montgomery,0,2002,0,0,4,27,4,51,0,0,0,0
5977,00-0019127,T.Yoder,0,2002,0,0,0,0,2,26,0,0,0,0
5980,00-0019134,J.Goodspeed,0,2002,0,0,0,0,0,0,0,0,0,0
5981,00-0019135,D.Kreider,0,2002,0,0,6,16,18,122,0,0,0,0
5982,00-0019139,D.Thompson,0,2002,0,0,0,0,0,0,0,0,0,0
5985,00-0019172,B.Johnson,0,2002,0,0,1,0,15,114,0,0,0,0
5987,00-0019194,B.Liddiard,0,2002,0,0,0,0,0,0,0,0,0,0
5991,00-0019231,L.Foster,0,2002,0,0,0,0,14,152,0,0,0,0
5998,00-0019290,Z.Flemister,0,2002,0,0,0,0,10,146,0,0,0,0
6000,00-0019302,B.Gilmore,0,2002,0,0,0,0,1,14,0,0,0,0
6001,00-0019310,R.Lindell,0,2002,0,0,0,0,0,0,29,38,726,282
6003,00-0019343,J.Hilbert,0,2002,0,0,0,0,0,0,2,3,0,84
6004,00-0019353,P.Crosby,0,2002,0,0,0,0,4,33,0,0,0,0
6005,00-0019382,K.Coleman,0,2002,0,0,0,0,0,0,0,0,0,0
6008,00-0019404,J.Jones,0,2002,0,0,0,0,6,47,0,0,0,0
6012,00-0019453,R.Smart,0,2002,0,0,1,2,0,0,0,0,0,0
6013,00-0019454,R.Baker,0,2002,0,0,0,0,1,17,0,0,0,0
6014,00-0019455,P.Warrick,0,2002,0,0,8,22,53,606,0,0,0,0
6016,00-0019457,A.Becht,0,2002,0,0,0,0,28,243,0,0,0,0
6020,00-0019461,J.Dawson,0,2002,0,0,0,0,21,286,0,0,0,0
6022,00-0019464,D.Lyman,0,2002,0,0,0,0,14,121,0,0,0,0
6024,00-0019466,C.Keaton,0,2002,0,0,12,19,0,0,0,0,0,0
6029,00-0019473,D.Dyer,0,2002,0,0,0,0,0,0,0,0,0,0
6034,00-0019484,S.Morris,0,2002,0,0,2,5,3,48,0,0,0,0
6036,00-0019487,F.Murphy,0,2002,0,0,0,0,0,0,0,0,0,0
6037,00-0019490,P.Edinger,0,2002,0,0,0,0,0,0,28,29,888,238
6038,00-0019491,J.Williams,0,2002,0,0,0,0,9,99,0,0,0,0
6042,00-0019503,K.Houser,0,2002,0,0,0,0,0,0,0,0,0,0
6046,00-0019510,A.Merritt,0,2002,0,0,1,5,14,100,0,0,0,0
6047,00-0019516,T.Hambrick,0,2002,0,0,79,317,21,99,0,0,0,0
6052,00-0019533,P.Pass,0,2002,0,0,4,27,0,0,0,0,0,0
6053,00-0019534,R.Mealey,0,2002,0,0,11,36,7,45,0,0,0,0
6055,00-0019536,S.Graham,0,2002,0,0,0,0,0,0,18,21,503,144
6058,00-0019539,D. Hall,0,2002,0,0,11,54,20,322,0,0,0,0
6059,00-0019542,J.Tuthill,0,2002,0,0,0,0,0,0,16,21,330,153
6060,00-0019543,D.Farmer,0,2002,0,0,0,0,9,115,0,0,0,0
6064,00-0019547,A.Black,0,2002,0,0,0,0,6,52,0,0,0,0
6067,00-0019552,T.Walters,0,2002,0,0,2,33,18,207,0,0,0,0
6068,00-0019558,M.Fulcher,0,2002,0,0,0,0,0,0,0,0,0,0
6069,00-0019559,C.Pennington,22,2002,399,150,29,49,0,0,0,0,0,0
6073,00-0019564,A.Shea,0,2002,0,0,0,0,7,49,0,0,0,0
6076,00-0019569,J.Whalen,0,2002,0,0,0,0,17,152,0,0,0,0
6082,00-0019576,M.Green,0,2002,0,0,21,71,7,57,0,0,0,0
6086,00-0019587,T.Smith,0,2002,0,0,5,11,9,30,0,0,0,0
6088,00-0019590,C.Morton,0,2002,0,0,4,8,3,19,0,0,0,0
6091,00-0019594,M.Anderson,0,2002,0,0,84,386,18,167,0,0,0,0
6092,00-0019596,T.Brady,31,2002,601,248,42,110,0,0,0,0,0,0
6093,00-0019599,M. Bulger,12,2002,214,127,12,-13,1,3,0,0,0,0
6094,00-0019600,M.Lewis,0,2002,0,0,1,15,8,200,0,0,0,0
6098,00-0019606,T.Pinkston,0,2002,0,0,1,-15,60,798,0,0,0,0
6101,00-0019610,R. Droughns,0,2002,0,0,4,11,5,53,0,0,0,0
6104,00-0019614,M.Wiley,1,2002,0,0,22,168,13,144,0,0,0,0
6109,00-0019623,T.Rattay,5,2002,43,0,5,0,0,0,0,0,0,0
6111,00-0019625,D.Haddad,0,2002,0,0,0,0,1,11,0,0,0,0
6118,00-0019641,T.Jones,0,2002,0,0,138,511,20,113,0,0,0,0
6119,00-0019642,P.Burress,0,2002,0,0,0,0,78,1325,0,0,0,0
6120,00-0019643,R.Dayne,0,2002,0,0,125,428,11,49,0,0,0,0
6121,00-0019644,B.Franks,0,2002,1,0,0,0,54,442,0,0,0,0
6123,00-0019646,S. Janikowski,0,2002,0,0,0,0,0,0,33,50,917,205
6124,00-0019647,S.Alexander,0,2002,0,0,295,1175,59,460,0,0,0,0
6126,00-0019649,T. Canidate,0,2002,0,0,17,48,4,31,0,0,0,0
6127,00-0019650,D.Northcutt,0,2002,0,0,8,104,38,601,0,0,0,0
6133,00-0019659,E.Kinney,0,2002,0,0,0,0,13,173,0,0,0,0
6134,00-0019660,D.White,0,2002,0,0,3,11,51,656,0,0,0,0
6135,00-0019662,R.Dixon,0,2002,0,0,0,0,22,377,0,0,0,0
6136,00-0019663,D.Jackson,0,2002,0,0,3,3,62,877,0,0,0,0
6141,00-0019670,T.Gaylor,0,2002,0,0,0,0,25,385,0,0,0,0
6143,00-0019673,P.Smith,0,2002,0,0,18,90,5,33,0,0,0,0
6146,00-0019676,N.Rackers,0,2002,0,0,0,0,0,0,18,32,491,143
6149,00-0019693,J.Lewis,0,2002,0,0,308,1327,47,442,0,0,0,0
6159,00-0019703,J. Porter,0,2002,0,0,4,6,51,688,0,0,0,0
6163,00-0019708,R.Dugans,0,2002,0,0,0,0,47,421,0,0,0,0
6164,00-0019709,C.Redman,11,2002,182,18,10,8,0,0,0,0,0,0
6167,00-0019712,D.Chapman,0,2002,0,0,12,89,0,0,0,0,0,0
6170,00-0019721,T.Taylor,0,2002,0,0,11,105,61,869,0,0,0,0
6171,00-0019722,J.Redmond,0,2002,0,0,4,2,2,5,0,0,0,0
6173,00-0019725,R.Cooper,0,2002,0,0,12,57,1,4,0,0,0,0
6176,00-0019745,A.Johnson,0,2002,0,0,0,0,0,0,0,0,0,0
6178,00-0019764,H.Burris,4,2002,51,72,15,104,0,0,0,0,0,0
6179,00-0019770,J.Feely,0,2002,0,0,0,0,0,0,40,43,1122,244
6180,00-0019779,J.Moses,0,2002,0,0,0,0,0,0,0,0,0,0
6181,00-0019783,C.Edmonds,0,2002,0,0,0,0,0,0,0,0,0,0
6183,00-0019794,A.Cason,0,2002,0,0,26,107,19,288,0,0,0,0
6185,00-0019808,K.Watson,0,2002,0,0,116,534,32,253,0,0,0,0
6188,00-0019826,R.Bowers,0,2002,0,0,0,0,0,0,0,0,0,0
6189,00-0019831,N.Goings,0,2002,0,0,50,188,18,91,0,0,0,0
6193,00-0019860,M.Williams,0,2002,0,0,0,0,0,0,0,0,0,0
6194,00-0019889,E. Joseph,0,2002,0,0,0,0,0,0,0,0,0,0
6196,00-0019902,J.Skaggs,0,2002,0,0,0,0,0,0,0,0,0,0
6197,00-0019916,P. Washington,0,2002,0,0,0,0,1,5,0,0,0,0
6198,00-0019919,R.Williams,0,2002,0,0,0,0,0,0,0,0,0,0
6202,00-0019975,J. Redmond,0,2002,0,0,0,0,0,0,0,0,0,0
6203,00-0019976,D.Bennett,0,2002,0,0,0,0,33,478,0,0,0,0
6210,00-0020018,A.Jackson,0,2002,0,0,0,0,5,42,0,0,0,0
6211,00-0020021,N. Poole,0,2002,0,0,0,0,13,108,0,0,0,0
6212,00-0020022,M. Shipp,0,2002,0,0,188,834,38,413,0,0,0,0
6219,00-0020062,J.Jordan,0,2002,0,0,0,0,0,0,0,0,0,0
6223,00-0020094,S.Trejo,0,2002,0,0,1,0,2,13,0,0,0,0
6228,00-0020126,T.Woodbury,0,2002,0,0,0,0,1,13,0,0,0,0
6231,00-0020159,D.Dorris,0,2002,0,0,0,0,0,0,0,0,0,0
6232,00-0020171,B.Williams,0,2002,0,0,0,0,13,143,0,0,0,0
6233,00-0020173,J.Fenderson,0,2002,0,0,13,65,6,38,0,0,0,0
6235,00-0020185,B.McDonnell,0,2002,0,0,0,0,0,0,0,0,0,0
6237,00-0020187,M.Rivers,0,2002,0,0,0,0,2,25,0,0,0,0
6240,00-0020206,J.Wofford,0,2002,0,0,0,0,0,0,0,0,0,0
6244,00-0020245,M.Vick,33,2002,421,137,113,777,0,16,0,0,0,0
6246,00-0020256,K.Kasper,0,2002,0,0,3,19,15,180,0,0,0,0
6252,00-0020268,T.Stewart,0,2002,0,0,0,0,1,6,0,0,0,0
6254,00-0020272,M.Minnis,0,2002,0,0,0,0,1,4,0,0,0,0
6255,00-0020273,V.Sutherland,0,2002,0,0,0,0,0,0,0,0,0,0
6256,00-0020274,B. Baber,0,2002,0,0,0,0,2,10,0,0,0,0
6260,00-0020285,A.Crumpler,0,2002,0,0,0,0,36,455,0,0,0,0
6262,00-0020293,S.McDermott,0,2002,0,0,0,0,0,0,0,0,0,0
6265,00-0020296,B.Gramatica,0,2002,0,0,0,0,0,0,21,29,520,266
6270,00-0020305,A.Feeley,7,2002,154,58,12,6,0,0,0,0,0,0
6272,00-0020308,M.McMahon,12,2002,147,98,14,96,1,7,0,0,0,0
6275,00-0020315,D. Blaylock,0,2002,0,0,16,72,5,47,0,0,0,0
6283,00-0020332,D.Martin,0,2002,0,0,0,0,8,33,0,0,0,0
6286,00-0020337,S.Smith,0,2002,0,0,1,-4,54,872,0,0,0,0
6288,00-0020340,Q.McCord,0,2002,0,0,0,0,11,253,0,0,0,0
6289,00-0020342,B. Manumaleuna,0,2002,0,0,0,0,8,106,0,0,0,0
6290,00-0020343,J.Carter,0,2002,0,0,0,0,0,0,0,0,0,0
6291,00-0020345,M.Roberg,0,2002,0,0,0,0,2,17,0,0,0,0
6302,00-0020361,A.Bannister,0,2002,0,0,0,0,0,0,0,0,0,0
6306,00-0020370,S.Anderson,0,2002,0,0,0,0,25,322,0,0,0,0
6309,00-0020373,J.Holloway,0,2002,0,0,0,0,7,73,0,0,0,0
6311,00-0020376,D.Brown,0,2002,1,34,102,360,17,86,0,0,0,0
6313,00-0020381,J.McCareins,0,2002,0,0,2,18,19,301,0,0,0,0
6319,00-0020387,M.Wynn,0,2002,0,0,0,0,0,0,0,0,0,0
6321,00-0020391,J.Cook,0,2002,0,0,0,0,4,43,0,0,0,0
6323,00-0020397,C.Johnson,0,2002,0,0,0,0,69,1166,0,0,0,0
6324,00-0020398,S.Brewer,0,2002,0,0,0,0,0,0,0,0,0,0
6329,00-0020403,A.Thomas,0,2002,0,0,214,721,24,163,0,0,0,0
6330,00-0020404,Q.Carter,19,2002,221,190,27,91,0,0,0,0,0,0
6331,00-0020405,M.Tuiasosopo,0,2002,0,0,2,-3,0,0,0,0,0,0
6333,00-0020407,Ru.Johnson,0,2002,0,0,17,67,6,34,0,0,0,0
6338,00-0020415,A.King,0,2002,0,0,0,0,5,41,0,0,0,0
6344,00-0020424,D.Combs,0,2002,0,0,0,0,0,0,0,0,0,0
6345,00-0020425,K.Rambo,0,2002,0,0,0,0,14,211,0,0,0,0
6347,00-0020427,Q.Morgan,0,2002,0,0,3,7,56,964,0,0,0,0
6348,00-0020428,R.Ferguson,0,2002,0,0,0,0,22,293,0,0,0,0
6350,00-0020430,J.Jackson,0,2002,0,0,12,54,3,9,0,0,0,0
6353,00-0020434,C.Weinke,6,2002,38,62,5,9,0,0,0,0,0,0
6355,00-0020438,T.Houshmandzadeh,0,2002,0,0,0,0,41,492,0,0,0,0
6360,00-0020446,C. Chambers,0,2002,0,0,6,78,52,734,0,0,0,0
6362,00-0020448,T. Minor,0,2002,0,0,44,180,0,0,0,0,0,0
6365,00-0020452,C.Wilson,0,2002,0,0,0,0,15,166,0,0,0,0
6367,00-0020455,E.Johnson,0,2002,0,0,0,0,36,321,0,0,0,0
6371,00-0020462,L.Jordan,0,2002,0,0,84,316,17,160,0,0,0,0
6372,00-0020464,D.McCants,0,2002,0,0,1,9,21,256,0,0,0,0
6377,00-0020471,T.Henry,0,2002,0,0,325,1438,43,309,0,0,0,0
6380,00-0020474,K.Barlow,0,2002,0,0,145,675,14,136,0,0,0,0
6382,00-0020476,S.Meier,0,2002,0,0,0,0,1,17,0,0,0,0
6385,00-0020479,G.Layne,0,2002,0,0,1,5,2,11,0,0,0,0
6386,00-0020480,S. Rosenfels,0,2002,3,0,2,-9,0,0,0,0,0,0
6388,00-0020483,J.Palmer,0,2002,4,0,1,-3,0,0,0,0,0,0
6389,00-0020484,C.James,0,2002,0,0,0,0,1,29,0,0,0,0
6390,00-0020485,E.Berlin,0,2002,0,0,0,0,1,14,0,0,0,0
6391,00-0020487,D. Alexander,0,2002,0,0,0,0,0,0,0,0,0,0
6394,00-0020490,K.Robinson,0,2002,0,0,8,56,78,1240,0,0,0,0
6398,00-0020494,S.Moss,0,2002,0,0,7,48,30,433,0,0,0,0
6401,00-0020497,F.Mitchell,0,2002,1,0,0,0,12,105,0,0,0,0
6402,00-0020498,R.Wayne,0,2002,0,0,0,0,49,716,0,0,0,0
6409,00-0020507,H.Evans,0,2002,0,0,17,53,8,41,0,0,0,0
6410,00-0020508,M.Norris,0,2002,0,0,0,0,0,0,0,0,0,0
6411,00-0020513,D.Terrell,0,2002,0,0,0,0,9,127,0,0,0,0
6412,00-0020514,M.Bennett,0,2002,0,0,255,1296,37,351,0,0,0,0
6414,00-0020516,T.Heap,0,2002,1,0,4,38,68,836,0,0,0,0
6415,00-0020520,A.Bright,0,2002,0,0,0,0,0,0,0,0,0,0
6419,00-0020525,R.Gardner,0,2002,1,0,1,1,71,1006,0,0,0,0
6420,00-0020527,D.McAllister,1,2002,0,0,325,1388,47,352,0,0,0,0
6422,00-0020531,D.Brees,24,2002,526,257,38,130,0,0,0,0,0,0
6425,00-0020536,L.Tomlinson,0,2002,0,0,372,1683,79,489,0,0,0,0
6427,00-0020542,M. Ross,0,2002,0,0,0,0,0,0,0,0,0,0
6429,00-0020550,D.Dinkins,0,2002,0,0,0,0,0,0,0,0,0,0
6430,00-0020562,C.Hutchinson,34,2002,250,137,18,74,0,0,0,0,0,0
6431,00-0020564,D.Joyce,0,2002,0,0,2,2,1,5,0,0,0,0
6432,00-0020577,D.Boyd,0,2002,0,0,0,0,0,0,5,7,134,0
6433,00-0020578,M.Bryant,0,2002,0,0,0,0,0,0,32,32,827,184
6434,00-0020583,M. Boerigter,0,2002,0,0,0,0,20,420,0,0,0,0
6435,00-0020587,J.Robertson,0,2002,0,0,0,0,0,0,0,0,0,0
6438,00-0020608,D.Carr,76,2002,444,211,59,282,0,0,0,0,0,0
6448,00-0020676,N.Davis,0,2002,0,0,1,11,0,0,0,0,0,0
6449,00-0020685,J.Jenkins,0,2002,0,0,0,0,0,0,1,0,0,0
6451,00-0020692,E.Drummond,0,2002,0,0,4,38,2,-3,0,0,0,0
6453,00-0020700,J.Mungro,0,2002,0,0,97,336,13,81,0,0,0,0
6458,00-0020737,J.Reed,0,2002,0,0,0,0,0,0,19,11,602,94
6459,00-0020739,R.Williams,0,2002,0,0,11,35,1,20,0,0,0,0
