,gsis_unq,wk1_depth,gsis_id,cleaned_name_yahoo,player_key,primary_position,season,gs_unq,bye_weeks.week,player_points.total,recent_team,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,pacr,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,misc_yards,penalties,penalty_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,def_points_allowed,def_plays_against,def_yds_per_play,def_takeaways,def_cmp_against,def_pass_attempts_against,def_passing_allowed,def_passing_td_allowed,def_passing_ny_attempt,def_passing_1st,def_rushing_attamepts_against,def_rushing_allowed,def_rushing_td_allowed,def_rushing_ny_attempt,def_rushing_1st,def_penalties,def_penalty_yds,def_penalty_1st,def_scoring_drives%,def_TO_drives%,def_exp_pts,def_season,def_3Datt,def_3D%,def_4Datt,def_4D%,def_rz_att,def_rz%,team,def_special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_safeties,def_misc_yards,def_fumble_recovery_opp,def_fumble_recovery_yards_opp,def_fumble_recovery_tds,def_punt_returns,def_punt_return_yards,def_kickoff_returns,def_kickoff_return_yards,HC,OC,DC,eos_depth
6922,houston texans_2018,99.0,Houston Texans,houston texans,380.p.100034,DEF,2018,houston texans_2018,10,231.53,houston texans,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,316,1022,5.4,29,385,594,4167,28,6.5,200,385,1323,8,3.4,76,117,945,22,0.316,0.139,-10.29,2018,227,0.401,20,0.6,41,0.7070000000000001,houston texans,0,672,44,278,78,356,20,43,310,92,15,252,90,3,0,14,14,15,1,38,327,20,487,bill o'brien,bill o'brien,romeo crennel,99
6923,houston texans_2019,99.0,Houston Texans,houston texans,390.p.100034,DEF,2019,houston texans_2019,10,140.19,houston texans,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,385,1020,6.1,22,375,586,4276,33,6.9,220,403,1937,12,4.8,98,109,859,28,0.3879999999999999,0.129,-155.87,2019,202,0.485,16,0.4379999999999999,49,0.7140000000000001,houston texans,0,626,63,327,48,228,14,31,215,91,12,302,75,2,0,19,10,10,0,22,214,14,308,bill o'brien,tim kelly,romeo crennel,99
6924,houston texans_2020,99.0,Houston Texans,houston texans,399.p.100034,DEF,2020,houston texans_2020,8,88.85,houston texans,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,464,1068,6.2,9,377,541,4104,30,7.1,222,493,2564,24,5.2,145,76,678,23,0.47,0.054,-242.84,2020,202,0.475,21,0.524,63,0.635,houston texans,0,656,80,370,59,261,9,33,217,80,3,19,50,1,0,0,6,6,0,20,158,36,722,romeo crennel,tim kelly,anthony weaver,99
6925,houston texans_2021,99.0,Houston Texans,houston texans,406.p.100034,DEF,2021,houston texans_2021,10,156.38,houston texans,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,452,1101,5.9,25,363,546,4117,27,7.1,218,523,2418,25,4.6,135,89,790,29,0.429,0.122,-143.17,2021,206,0.432,19,0.579,66,0.621,houston texans,1,644,119,437,67,273,16,32,225,70,17,295,64,1,1,0,8,8,0,26,188,43,1006,david culley,tim kelly,lovie smith,99
6926,houston texans_2022,99.0,Houston Texans,houston texans,414.p.100034,DEF,2022,houston texans_2022,6,171.25,houston texans,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,420,1134,5.7,27,336,522,3558,15,6.3,196,573,2894,25,5.1,150,95,773,26,0.352,0.119,-80.38,2022,221,0.389,21,0.619,55,0.564,houston texans,0,679,150,418,69,277,14,39,217,78,16,253,65,1,1,0,11,11,1,37,362,22,513,lovie smith,pep hamilton,lovie smith,99
6927,houston texans_2023,99.0,Houston Texans,houston texans,423.p.100034,DEF,2023,houston texans_2023,7,205.0,houston texans,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,353,1079,5.2,24,382,565,3979,17,6.5,185,468,1643,19,3.5,110,100,805,37,0.347,0.111,-35.92,2023,227,0.357,29,0.552,54,0.519,houston texans,2,608,135,449,82,390,15,44,349,113,14,63,70,0,0,0,10,10,1,30,292,23,613,demeco ryans,bobby slowik,matt burke,99
6928,houston texans_2024,99.0,Houston Texans,houston texans,449.p.100034,DEF,2024,houston texans_2024,14,242.0,houston texans,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,372,1050,5.1,29,326,554,3417,31,5.7,172,447,1938,11,4.3,107,106,798,34,0.352,0.14,20.49,2024,220,0.359,26,0.654,44,0.636,houston texans,0,602,71,385,106,487,11,49,336,98,19,275,89,1,1,0,9,9,2,42,340,23,722,demeco ryans,bobby slowik,matt burke,99
6929,indianapolis colts_2014,99.0,Indianapolis Colts,indianapolis colts,331.p.100011,DEF,2014,indianapolis colts_2014,10,196.54,indianapolis colts,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,369,1007,5.4,26,320,543,3669,27,6.3,175,423,1814,14,4.3,103,101,866,31,0.281,0.126,-12.0,2014,201,0.3329999999999999,17,0.235,50,0.66,indianapolis colts,0,656,34,274,73,329,21,40,257,86,12,143,75,1,0,1,14,14,1,45,312,38,1065,chuck pagano,pep hamilton,greg manusky,99
6930,indianapolis colts_2015,99.0,Indianapolis Colts,indianapolis colts,348.p.100011,DEF,2015,indianapolis colts_2015,10,173.8,indianapolis colts,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,408,1072,5.7,25,354,585,4114,29,6.6,210,452,1952,14,4.3,89,133,1168,32,0.366,0.124,-26.88,2015,227,0.392,14,0.7140000000000001,53,0.623,indianapolis colts,0,652,30,328,72,342,13,35,251,85,17,196,77,4,1,0,8,8,1,39,268,43,1047,chuck pagano,pep hamilton,greg manusky,99
6931,indianapolis colts_2016,99.0,Indianapolis Colts,indianapolis colts,359.p.100011,DEF,2016,indianapolis colts_2016,10,116.72,indianapolis colts,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,392,1024,6.0,17,378,582,4200,27,6.8,225,409,1926,12,4.7,93,125,1155,35,0.415,0.097,-46.92,2016,193,0.415,8,0.375,50,0.5,indianapolis colts,1,696,11,253,50,226,15,33,211,82,8,100,60,0,0,0,9,9,1,22,182,32,804,chuck pagano,rob chudzinski,ted monachino,99
