season,club_code,week,game_type,depth_team,last_name,first_name,football_name,formation,gsis_id,jersey_number,position,elias_id,depth_position,full_name
2016,ATL,1.0,REG,1,Ishmael,Kemal,Kemal,Defense,00-0030427,36,SS,ISH415291,S,Kemal Ishmael
2016,ATL,1.0,REG,3,Toilolo,Levine,Levine,Offense,00-0030443,85,TE,TOI581408,TE,Levine Toilolo
2016,ATL,1.0,REG,1,Alford,Robert,Robert,Defense,00-0030528,23,CB,ALF657259,CB,Robert Alford
2016,ATL,1.0,REG,1,Trufant,Desmond,Desmond,Defense,00-0030562,10,CB,TRU381665,CB,Desmond Trufant
2016,ATL,1.0,REG,1,Allen,Ricardo,Ricardo,Defense,00-0031181,37,SS,ALL641418,S,Ricardo Allen
2016,ATL,1.0,REG,3,Gabriel,Taylor,Taylor,Offense,00-0031228,18,WR,GAB627060,WR,Taylor Gabriel
2016,ATL,1.0,REG,1,Matthews,Jacob,Jake,Offense,00-0031279,70,T,MAT565555,LT,Jake Matthews
2016,ATL,1.0,REG,2,Hageman,Ra'Shede,Ra'Shede,Defense,00-0031281,90,DT,HAG152196,DE,Ra'Shede Hageman
2016,ATL,1.0,REG,1,Freeman,Devonta,Devonta,Offense,00-0031285,33,RB,FRE174508,RB,Devonta Freeman
2016,ATL,1.0,REG,2,Goodwin,Charaun,C.J.,Defense,00-0031357,29,CB,GOO627559,CB,C.J. Goodwin
2016,ATL,1.0,REG,2,Hardy,Justin,Justin,Special Teams,00-0031570,6,WR,HAR111877,PR,Justin Hardy
2016,ATL,1.0,REG,2,Therezie,Robenson,Robenson,Defense,00-0031680,40,SS,THE622937,S,Robenson Therezie
2016,ATL,1.0,REG,3,Ward,Terron,Terron,Offense,00-0031682,28,RB,WAR275043,RB,Terron Ward
2016,ATL,1.0,REG,1,Coleman,Tevin,Tevin,Special Teams,00-0032058,28,RB,COL359050,KR,Tevin Coleman
2016,ATL,1.0,REG,2,Coleman,Tevin,Tevin,Offense,00-0032058,28,RB,COL359050,RB,Tevin Coleman
2016,ATL,1.0,REG,3,Neal,Keanu,Keanu,Defense,00-0032382,31,FS,NEA222964,S,Keanu Neal
2016,ATL,1.0,REG,2,Hooper,Austin,Austin,Offense,00-0032392,81,TE,HOO570770,TE,Austin Hooper
2016,ATL,1.0,REG,1,Campbell,De'Vondre,De'Vondre,Defense,00-0032401,59,ILB,CAM227922,LB,De'Vondre Campbell
2016,ATL,1.0,REG,2,Schweitzer,Weston,Wes,Offense,00-0032432,71,G,SCH821050,RG,Wes Schweitzer
2016,ATL,1.0,REG,2,Poole,Brian,Brian,Defense,00-0032596,33,CB,POO231564,CB,Brian Poole
2016,ATL,1.0,REG,3,Perkins,Joshua,Joshua,Offense,00-0032599,47,TE,PER222525,"
    ",Joshua Perkins
2016,ATL,1.0,REG,2,Worrilow,Paul,Paul,Defense,00-0029792,40,OLB,WOR678863,LB,Paul Worrilow
2016,ATL,1.0,REG,3,Reynolds,LaRoy,LaRoy,Defense,00-0029955,49,OLB,REY431570,LB,LaRoy Reynolds
2016,ATL,1.0,REG,2,Hardy,Justin,Justin,Offense,00-0031570,6,WR,HAR111877,WR,Justin Hardy
2016,ATL,1.0,REG,1,Jarrett,Grady,Grady,Defense,00-0031583,97,DT,JAR254349,DT,Grady Jarrett
2016,ATL,1.0,REG,1,Beasley,Victor,Vic,Defense,00-0032240,51,OLB,BEA528276,LB,Vic Beasley
2016,ATL,1.0,REG,1,Jones,Deion,Deion,Defense,00-0032388,45,ILB,JON233279,LB,Deion Jones
2016,ATL,1.0,REG,1,Bosher,Matt,Matt,Special Teams,00-0028130,5,P,BOS219856,H,Matt Bosher
2016,ATL,1.0,REG,2,Upshaw,Courtney,Courtney,Defense,00-0029252,91,DE,UPS271236,DT,Courtney Upshaw
2016,ATL,1.0,REG,1,Jones,Quintorris,Julio,Offense,00-0027944,80,WR,JON640315,WR,Julio Jones
