season,club_code,week,game_type,depth_team,last_name,first_name,football_name,formation,gsis_id,jersey_number,position,elias_id,depth_position,full_name
2015,ATL,2.0,REG,2,Freeman,Devonta,Devonta,Offense,00-0031285,33,RB,FRE174508,RB,Devonta Freeman
2015,ATL,2.0,REG,1,DiMarco,Patrick,Patrick,Offense,00-0028581,42,FB,DIM110572,FB,Patrick DiMarco
2015,ATL,2.0,REG,3,Williams,Nick,Nick,Offense,00-0029848,1,WR,WIL456782,WR,Nick Williams
2015,ATL,2.0,REG,3,Ward,Terron,Terron,Offense,00-0031682,28,RB,WAR275043,RB,Terron Ward
2015,ATL,2.0,REG,1,Hageman,Ra'Shede,Ra'Shede,Defense,00-0031281,90,DT,HAG152196,DT,Ra'Shede Hageman
2015,ATL,2.0,REG,1,Soliai,Paul,Paul,Defense,00-0025495,90,DT,SOL128376,NT,Paul Soliai
2015,ATL,2.0,REG,1,Schofield,O'Brien,O'Brien,Defense,00-0027730,54,LB,SCH441573,LB,O'Brien Schofield
2015,ATL,2.0,REG,1,Alford,Robert,Robert,Defense,00-0030528,23,CB,ALF657259,CB,Robert Alford
2015,ATL,2.0,REG,1,Trufant,Desmond,Desmond,Defense,00-0030562,10,CB,TRU381665,CB,Desmond Trufant
2015,ATL,2.0,REG,1,Allen,Ricardo,Ricardo,Defense,00-0031181,37,SS,ALL641418,S,Ricardo Allen
2015,ATL,2.0,REG,2,Jarrett,Grady,Grady,Defense,00-0031583,97,DT,JAR254349,DT,Grady Jarrett
2015,ATL,2.0,REG,2,Collins,Jalen,Jalen,Defense,00-0031552,32,CB,COL604473,CB,Jalen Collins
2015,ATL,2.0,REG,2,Adams,Phillip,Phillip,Defense,00-0027610,20,CB,ADA534252,CB,Phillip Adams
2015,ATL,2.0,REG,3,Therezie,Robenson,Robenson,Defense,00-0031680,40,SS,THE622937,S,Robenson Therezie
2015,ATL,2.0,REG,2,Godfrey,Charles,Charles,Defense,00-0026207,30,S,GOD267860,S,Charles Godfrey
2015,ATL,2.0,REG,2,Babineaux,Jonathan,Jonathan,Defense,00-0023494,95,DT,BAB717191,NT,Jonathan Babineaux
2015,ATL,2.0,REG,1,Bryant,Steven,Matt,Special Teams,00-0020578,3,K,BRY500226,K,Matt Bryant
2015,ATL,2.0,REG,1,Bosher,Matt,Matt,Special Teams,00-0028130,5,P,BOS219856,P,Matt Bosher
2015,ATL,2.0,REG,1,Weems,Eric,Eric,Special Teams,00-0024535,14,WR,WEE551877,PR,Eric Weems
2015,ATL,2.0,REG,1,Harris,Josh,Josh,Special Teams,00-0028845,47,LS,HAR000002,LS,Josh Harris
2015,ATL,2.0,REG,1,Bosher,Matt,Matt,Special Teams,00-0028130,5,P,BOS219856,H,Matt Bosher
2015,ATL,3.0,REG,3,Williams,Nick,Nick,Offense,00-0029848,1,WR,WIL456782,WR,Nick Williams
2015,ATL,3.0,REG,2,Harris,Bryce,Bryce,Offense,00-0028862,79,T,HAR348206,RT,Bryce Harris
2015,ATL,3.0,REG,2,Stone,James,James,Offense,00-0030750,74,C,STO408731,RG,James Stone
2015,ATL,3.0,REG,3,Long,Jake,Jake,Offense,00-0025820,72,T,LON319884,LT,Jake Long
2015,ATL,3.0,REG,1,Matthews,Jacob,Jake,Offense,00-0031279,70,T,MAT565555,LT,Jake Matthews
2015,ATL,3.0,REG,1,Chester,Chris,Chris,Offense,00-0024271,65,G,CHE592085,RG,Chris Chester
2015,ATL,3.0,REG,1,Schraeder,Ryan,Ryan,Offense,00-0029786,73,T,SCH492299,RT,Ryan Schraeder
2015,ATL,3.0,REG,1,Tamme,Jacob,Jacob,Offense,00-0026267,83,TE,TAM511848,TE,Jacob Tamme
2015,ATL,3.0,REG,1,Ryan,Matthew,Matt,Offense,00-0026143,2,QB,RYA238179,QB,Matt Ryan
2015,ATL,3.0,REG,1,Coleman,Tevin,Tevin,Offense,00-0032058,28,RB,COL359050,RB,Tevin Coleman
2015,ATL,3.0,REG,1,DiMarco,Patrick,Patrick,Offense,00-0028581,42,FB,DIM110572,FB,Patrick DiMarco
2015,ATL,3.0,REG,2,Polumbus,Tyler,Tyler,Offense,00-0025826,76,T,POL783118,LT,Tyler Polumbus
2015,ATL,3.0,REG,1,Jones,Quintorris,Julio,Offense,00-0027944,80,WR,JON640315,WR,Julio Jones
2015,ATL,3.0,REG,1,Levitre,Andrew,Andy,Offense,00-0027027,67,G,LEV605031,LG,Andy Levitre
2015,ATL,3.0,REG,1,Person,Michael,Mike,Offense,00-0028177,68,G,PER822092,C,Mike Person
2015,ATL,3.0,REG,1,White,Sharod,Roddy,Offense,00-0023462,84,WR,WHI472686,WR,Roddy White
2015,ATL,3.0,REG,2,Hankerson,Leonard,Leonard,Offense,00-0028017,80,WR,HAN169573,WR,Leonard Hankerson
2015,ATL,3.0,REG,2,Stone,James,James,Offense,00-0030750,74,C,STO408731,LG,James Stone
2015,ATL,3.0,REG,2,Hester,Devin,Devin,Offense,00-0024272,17,WR,HES267217,WR,Devin Hester
2015,ATL,3.0,REG,3,Weems,Eric,Eric,Offense,00-0024535,14,WR,WEE551877,WR,Eric Weems
2015,ATL,3.0,REG,2,Gradkowski,Gino,Gino,Offense,00-0029268,75,C,GRA070103,C,Gino Gradkowski
2015,ATL,3.0,REG,3,Hardy,Justin,Justin,Offense,00-0031570,6,WR,HAR111877,WR,Justin Hardy
2015,ATL,3.0,REG,2,Toilolo,Levine,Levine,Offense,00-0030443,85,TE,TOI581408,TE,Levine Toilolo
2015,ATL,3.0,REG,2,Renfree,Sean,Sean,Offense,00-0030569,13,QB,REN135405,QB,Sean Renfree
2015,ATL,3.0,REG,2,Freeman,Devonta,Devonta,Offense,00-0031285,33,RB,FRE174508,RB,Devonta Freeman
2015,ATL,3.0,REG,3,Ward,Terron,Terron,Offense,00-0031682,28,RB,WAR275043,RB,Terron Ward
2015,ATL,3.0,REG,3,Southward,Dezmen,Dezmen,Defense,00-0031383,37,CB,SOU683214,CB,Dezmen Southward
2015,ATL,3.0,REG,2,Therezie,Robenson,Robenson,Defense,00-0031680,40,SS,THE622937,S,Robenson Therezie
2015,ATL,3.0,REG,1,Hageman,Ra'Shede,Ra'Shede,Defense,00-0031281,90,DT,HAG152196,DT,Ra'Shede Hageman
2015,ATL,3.0,REG,1,Soliai,Paul,Paul,Defense,00-0025495,90,DT,SOL128376,NT,Paul Soliai
2015,ATL,3.0,REG,1,Worrilow,Paul,Paul,Defense,00-0029792,40,OLB,WOR678863,LB,Paul Worrilow
2015,ATL,3.0,REG,1,Schofield,O'Brien,O'Brien,Defense,00-0027730,54,LB,SCH441573,LB,O'Brien Schofield
2015,ATL,3.0,REG,1,Alford,Robert,Robert,Defense,00-0030528,23,CB,ALF657259,CB,Robert Alford
2015,ATL,3.0,REG,1,Trufant,Desmond,Desmond,Defense,00-0030562,10,CB,TRU381665,CB,Desmond Trufant
2015,ATL,3.0,REG,1,Allen,Ricardo,Ricardo,Defense,00-0031181,37,SS,ALL641418,S,Ricardo Allen
2015,ATL,3.0,REG,2,Jarrett,Grady,Grady,Defense,00-0031583,97,DT,JAR254349,DT,Grady Jarrett
2015,ATL,3.0,REG,2,Babineaux,Jonathan,Jonathan,Defense,00-0023494,95,DT,BAB717191,NT,Jonathan Babineaux
2015,ATL,3.0,REG,2,Bradford,Allen,Allen,Defense,00-0028125,53,LB,BRA094086,LB,Allen Bradford
2015,ATL,3.0,REG,2,Collins,Jalen,Jalen,Defense,00-0031552,32,CB,COL604473,CB,Jalen Collins
2015,ATL,3.0,REG,2,Adams,Phillip,Phillip,Defense,00-0027610,20,CB,ADA534252,CB,Phillip Adams
2015,ATL,3.0,REG,3,Stupar,Stephen,Nathan,Defense,00-0029629,45,ILB,STU617455,LB,Nathan Stupar
2015,ATL,3.0,REG,2,Reed,Brooks,Brooks,Defense,00-0027980,42,OLB,REE154467,LB,Brooks Reed
2015,ATL,3.0,REG,2,Weems,Eric,Eric,Special Teams,00-0024535,14,WR,WEE551877,PR,Eric Weems
2015,ATL,3.0,REG,1,Bryant,Steven,Matt,Special Teams,00-0020578,3,K,BRY500226,K,Matt Bryant
2015,ATL,3.0,REG,1,Bosher,Matt,Matt,Special Teams,00-0028130,5,P,BOS219856,P,Matt Bosher
2015,ATL,3.0,REG,1,Hester,Devin,Devin,Special Teams,00-0024272,17,WR,HES267217,KR,Devin Hester
2015,ATL,3.0,REG,1,Hester,Devin,Devin,Special Teams,00-0024272,17,WR,HES267217,PR,Devin Hester
2015,ATL,3.0,REG,1,Harris,Josh,Josh,Special Teams,00-0028845,47,LS,HAR000002,LS,Josh Harris
2015,ATL,3.0,REG,1,Bosher,Matt,Matt,Special Teams,00-0028130,5,P,BOS219856,H,Matt Bosher
2015,ATL,3.0,REG,1,Bosher,Matt,Matt,Special Teams,00-0028130,5,P,BOS219856,KO,Matt Bosher
2015,ATL,3.0,REG,2,Weems,Eric,Eric,Special Teams,00-0024535,14,WR,WEE551877,KR,Eric Weems
2015,ATL,3.0,REG,1,Beasley,Victor,Vic,Defense,00-0032240,51,OLB,BEA528276,DE,Vic Beasley
2015,ATL,3.0,REG,1,Jackson,Tyson,Tyson,Defense,00-0026980,94,DE,JAC610518,DE,Tyson Jackson
2015,ATL,3.0,REG,1,Durant,Justin,Justin,Defense,00-0025435,52,OLB,DUR116287,LB,Justin Durant
2015,ATL,3.0,REG,1,Moore,William,William,Defense,00-0027031,25,SS,MOO749400,S,William Moore
2015,ATL,3.0,REG,2,Clayborn,Adrian,Adrian,Defense,00-0027958,94,DE,CLA770145,DE,Adrian Clayborn
2015,ATL,3.0,REG,2,Goodman,Malliciah,Malliciah,Defense,00-0030424,99,DE,GOO462374,DE,Malliciah Goodman
2015,ATL,3.0,REG,2,Ishmael,Kemal,Kemal,Defense,00-0030427,36,SS,ISH415291,S,Kemal Ishmael
2015,ATL,3.0,REG,3,Biermann,Kroy,Kroy,Defense,00-0026294,43,OLB,BIE712400,DE,Kroy Biermann
2015,ATL,3.0,REG,2,Bartu,Joplo,Joplo,Defense,00-0029770,54,ILB,BAR806381,LB,Joplo Bartu
2015,ATL,4.0,REG,1,Chester,Chris,Chris,Offense,00-0024271,65,G,CHE592085,RG,Chris Chester
2015,ATL,4.0,REG,1,Schraeder,Ryan,Ryan,Offense,00-0029786,73,T,SCH492299,RT,Ryan Schraeder
2015,ATL,4.0,REG,1,Tamme,Jacob,Jacob,Offense,00-0026267,83,TE,TAM511848,TE,Jacob Tamme
2015,ATL,4.0,REG,1,Coleman,Tevin,Tevin,Offense,00-0032058,28,RB,COL359050,RB,Tevin Coleman
