season,club_code,week,game_type,depth_team,last_name,first_name,football_name,formation,gsis_id,jersey_number,position,elias_id,depth_position,full_name
2018,ATL,1.0,REG,1,McClain,Terrell,Terrell,Defense,00-0028003,93,DT,MCC342970,DT,Terrell McClain
2018,ATL,1.0,REG,2,Shelby,Derrick,Derrick,Defense,00-0029111,90,DE,SHE238558,DE,Derrick Shelby
2018,ATL,1.0,REG,2,Gono,Matthew,Matt,Offense,00-0034140,73,T,GON205666,RT,Matt Gono
2018,ATL,1.0,REG,1,Schraeder,Ryan,Ryan,Offense,00-0029786,73,T,SCH492299,RT,Ryan Schraeder
2018,ATL,1.0,REG,2,Hall,Marvin,Marvin,Special Teams,00-0033094,14,WR,HAL441748,PR,Marvin Hall
2018,ATL,1.0,REG,1,Hooper,Austin,Austin,Offense,00-0032392,81,TE,HOO570770,TE,Austin Hooper
2018,ATL,1.0,REG,1,Ortiz,Richard,Ricky,Offense,00-0033374,30,FB,ORT448270,FB,Ricky Ortiz
2018,ATL,1.0,REG,1,Alford,Robert,Robert,Defense,00-0030528,23,CB,ALF657259,CB,Robert Alford
2018,ATL,1.0,REG,1,Sanu,Mohamed,Mohamed,Offense,00-0029632,16,WR,SAN808447,WR,Mohamed Sanu
2018,ATL,1.0,REG,1,Bryant,Steven,Matt,Special Teams,00-0020578,3,K,BRY500226,K,Matt Bryant
2018,ATL,1.0,REG,3,Gage,Russell,Russell,Offense,00-0034411,3,WR,GAG130654,WR,Russell Gage
2018,ATL,1.0,REG,2,Senat,Deadrin,Deadrin,Defense,00-0034363,56,DT,SEN026161,DT,Deadrin Senat
2018,ATL,1.0,REG,1,Jones,Quintorris,Julio,Offense,00-0027944,80,WR,JON640315,WR,Julio Jones
2018,ATL,1.0,REG,1,Fusco,Brandon,Brandon,Offense,00-0028110,65,G,FUS110743,RG,Brandon Fusco
2018,ATL,1.0,REG,2,Schweitzer,Weston,Wes,Offense,00-0032432,71,G,SCH821050,C,Wes Schweitzer
2018,ATL,1.0,REG,2,Schweitzer,Weston,Wes,Offense,00-0032432,71,G,SCH821050,RG,Wes Schweitzer
2018,ATL,1.0,REG,1,Neal,Keanu,Keanu,Defense,00-0032382,31,FS,NEA222964,S,Keanu Neal
2018,ATL,1.0,REG,2,Oluokun,Foyesade,Foyesade,Defense,00-0034413,23,ILB,OLU474619,LB,Foyesade Oluokun
2018,ATL,1.0,REG,1,Matthews,Jacob,Jake,Offense,00-0031279,70,T,MAT565555,LT,Jake Matthews
2018,ATL,1.0,REG,1,Ryan,Matthew,Matt,Offense,00-0026143,2,QB,RYA238179,QB,Matt Ryan
2018,ATL,1.0,REG,1,Jarrett,Grady,Grady,Defense,00-0031583,97,DT,JAR254349,DT,Grady Jarrett
2018,ATL,1.0,REG,1,Bosher,Matt,Matt,Special Teams,00-0028130,5,P,BOS219856,KO,Matt Bosher
2018,ATL,1.0,REG,2,Ridley,Calvin,Calvin,Offense,00-0034837,0,WR,RID652384,WR,Calvin Ridley
2018,ATL,1.0,REG,2,Ridley,Calvin,Calvin,Special Teams,00-0034837,0,WR,RID652384,KR,Calvin Ridley
2018,ATL,1.0,REG,1,Levitre,Andrew,Andy,Offense,00-0027027,67,G,LEV605031,LG,Andy Levitre
2018,ATL,1.0,REG,2,Paulsen,Logan,Logan,Offense,00-0027215,82,TE,PAU641214,TE,Logan Paulsen
2018,ATL,1.0,REG,1,Mack,Alex,Alex,Offense,00-0026997,50,C,MAC273212,C,Alex Mack
2018,ATL,1.0,REG,2,Richards,Jordan,Jordan,Defense,00-0031559,48,SS,RIC293560,S,Jordan Richards
2018,ATL,1.0,REG,3,Wreh-Wilson,Blidi,Blidi,Defense,00-0030541,36,CB,WRE233874,CB,Blidi Wreh-Wilson
2018,ATL,1.0,REG,1,McKinley,Takkarist,Takkarist,Defense,00-0033540,59,DE,MCK405174,DE,Takkarist McKinley
2018,ATL,1.0,REG,1,Hardy,Justin,Justin,Special Teams,00-0031570,6,WR,HAR111877,PR,Justin Hardy
2018,ATL,1.0,REG,1,Hardy,Justin,Justin,Special Teams,00-0031570,6,WR,HAR111877,KR,Justin Hardy
2018,ATL,1.0,REG,3,Bethel,Justin,Justin,Defense,00-0029530,20,CB,BET201235,CB,Justin Bethel
2018,ATL,1.0,REG,1,Bosher,Matt,Matt,Special Teams,00-0028130,5,P,BOS219856,P,Matt Bosher
2018,ATL,1.0,REG,1,Bosher,Matt,Matt,Special Teams,00-0028130,5,P,BOS219856,H,Matt Bosher
2018,ATL,1.0,REG,3,Zimmer,Justin,Justin,Defense,00-0032518,96,DT,ZIM077099,DT,Justin Zimmer
2018,ATL,1.0,REG,2,Sambrailo,Tyler,Ty,Offense,00-0032147,70,T,SAM009394,LT,Ty Sambrailo
2018,ATL,1.0,REG,3,Smith,Romarius,Ito,Offense,00-0034378,43,RB,SMI342780,RB,Ito Smith
2018,ATL,1.0,REG,2,Kazee,Damontae,Damontae,Defense,00-0033512,23,SS,KAZ186981,S,Damontae Kazee
2018,ATL,1.0,REG,1,Beasley,Victor,Vic,Defense,00-0032240,51,OLB,BEA528276,DE,Vic Beasley
2018,ATL,1.0,REG,3,Saubert,Eric,Eric,Offense,00-0033576,82,TE,SAU025752,TE,Eric Saubert
2018,ATL,1.0,REG,1,Campbell,De'Vondre,De'Vondre,Defense,00-0032401,59,ILB,CAM227922,LB,De'Vondre Campbell
2018,ATL,1.0,REG,2,Hardy,Justin,Justin,Offense,00-0031570,6,WR,HAR111877,WR,Justin Hardy
2018,ATL,1.0,REG,2,Garland,Ben,Ben,Offense,00-0027282,63,C,GAR218169,LG,Ben Garland
2018,ATL,1.0,REG,2,Ishmael,Kemal,Kemal,Defense,00-0030427,36,SS,ISH415291,LB,Kemal Ishmael
2018,ATL,1.0,REG,2,Poole,Brian,Brian,Defense,00-0032596,33,CB,POO231564,CB,Brian Poole
2018,ATL,1.0,REG,1,Harris,Josh,Josh,Special Teams,00-0028845,47,LS,HAR000002,LS,Josh Harris
2018,ATL,1.0,REG,1,Jones,Deion,Deion,Defense,00-0032388,45,ILB,JON233279,LB,Deion Jones
2018,ATL,1.0,REG,2,Schaub,Matt,Matt,Offense,00-0022787,8,QB,SCH085186,QB,Matt Schaub
2018,ATL,1.0,REG,1,Allen,Ricardo,Ricardo,Defense,00-0031181,37,SS,ALL641418,S,Ricardo Allen
2018,ATL,1.0,REG,2,Coleman,Tevin,Tevin,Offense,00-0032058,28,RB,COL359050,RB,Tevin Coleman
2018,ATL,1.0,REG,1,Freeman,Devonta,Devonta,Offense,00-0031285,33,RB,FRE174508,RB,Devonta Freeman
2018,ATL,1.0,REG,2,Reed,Brooks,Brooks,Defense,00-0027980,42,OLB,REE154467,DE,Brooks Reed
2018,ATL,1.0,REG,1,Riley,Duke,Duke,Defense,00-0033549,45,ILB,RIL146648,LB,Duke Riley
2018,ATL,1.0,REG,1,Trufant,Desmond,Desmond,Defense,00-0030562,10,CB,TRU381665,CB,Desmond Trufant
2018,ATL,1.0,REG,2,Crawford,Jack,Jack,Defense,00-0029627,69,DE,CRA660264,DT,Jack Crawford
2018,ATL,1.0,REG,3,Hall,Marvin,Marvin,Offense,00-0033094,14,WR,HAL441748,WR,Marvin Hall
2018,ATL,1.0,REG,2,Oliver,Muhammad,Isaiah,Defense,00-0034357,26,CB,OLI431868,CB,Isaiah Oliver
2018,ATL,2.0,REG,1,Matthews,Jacob,Jake,Offense,00-0031279,70,T,MAT565555,LT,Jake Matthews
2018,ATL,2.0,REG,1,Jones,Deion,Deion,Defense,00-0032388,45,ILB,JON233279,LB,Deion Jones
2018,ATL,2.0,REG,1,Schraeder,Ryan,Ryan,Offense,00-0029786,73,T,SCH492299,RT,Ryan Schraeder
2018,ATL,2.0,REG,1,McClain,Terrell,Terrell,Defense,00-0028003,93,DT,MCC342970,DT,Terrell McClain
2018,ATL,2.0,REG,3,Smith,Romarius,Ito,Offense,00-0034378,43,RB,SMI342780,RB,Ito Smith
2018,ATL,2.0,REG,2,Shelby,Derrick,Derrick,Defense,00-0029111,90,DE,SHE238558,DE,Derrick Shelby
2018,ATL,2.0,REG,1,Campbell,De'Vondre,De'Vondre,Defense,00-0032401,59,ILB,CAM227922,LB,De'Vondre Campbell
2018,ATL,2.0,REG,1,Bosher,Matt,Matt,Special Teams,00-0028130,5,P,BOS219856,P,Matt Bosher
2018,ATL,2.0,REG,1,Bosher,Matt,Matt,Special Teams,00-0028130,5,P,BOS219856,H,Matt Bosher
2018,ATL,2.0,REG,1,McKinley,Takkarist,Takkarist,Defense,00-0033540,59,DE,MCK405174,DE,Takkarist McKinley
2018,ATL,2.0,REG,3,Saubert,Eric,Eric,Offense,00-0033576,82,TE,SAU025752,TE,Eric Saubert
2018,ATL,2.0,REG,2,Paulsen,Logan,Logan,Offense,00-0027215,82,TE,PAU641214,TE,Logan Paulsen
2018,ATL,2.0,REG,3,Wreh-Wilson,Blidi,Blidi,Defense,00-0030541,36,CB,WRE233874,CB,Blidi Wreh-Wilson
2018,ATL,2.0,REG,1,Neal,Keanu,Keanu,Defense,00-0032382,31,FS,NEA222964,S,Keanu Neal
2018,ATL,2.0,REG,1,Jones,Quintorris,Julio,Offense,00-0027944,80,WR,JON640315,WR,Julio Jones
2018,ATL,2.0,REG,2,Poole,Brian,Brian,Defense,00-0032596,33,CB,POO231564,CB,Brian Poole
2018,ATL,2.0,REG,2,Coleman,Tevin,Tevin,Offense,00-0032058,28,RB,COL359050,RB,Tevin Coleman
2018,ATL,2.0,REG,1,Jarrett,Grady,Grady,Defense,00-0031583,97,DT,JAR254349,DT,Grady Jarrett
2018,ATL,2.0,REG,1,Fusco,Brandon,Brandon,Offense,00-0028110,65,G,FUS110743,RG,Brandon Fusco
2018,ATL,2.0,REG,2,Reed,Brooks,Brooks,Defense,00-0027980,42,OLB,REE154467,DE,Brooks Reed
2018,ATL,2.0,REG,2,Kazee,Damontae,Damontae,Defense,00-0033512,23,SS,KAZ186981,S,Damontae Kazee
2018,ATL,2.0,REG,3,Hall,Marvin,Marvin,Offense,00-0033094,14,WR,HAL441748,WR,Marvin Hall
2018,ATL,2.0,REG,2,Schaub,Matt,Matt,Offense,00-0022787,8,QB,SCH085186,QB,Matt Schaub
2018,ATL,2.0,REG,1,Beasley,Victor,Vic,Defense,00-0032240,51,OLB,BEA528276,DE,Vic Beasley
2018,ATL,2.0,REG,2,Oliver,Muhammad,Isaiah,Defense,00-0034357,26,CB,OLI431868,CB,Isaiah Oliver
2018,ATL,2.0,REG,2,Crawford,Jack,Jack,Defense,00-0029627,69,DE,CRA660264,DT,Jack Crawford
2018,ATL,2.0,REG,1,Levitre,Andrew,Andy,Offense,00-0027027,67,G,LEV605031,LG,Andy Levitre
2018,ATL,2.0,REG,3,Bethel,Justin,Justin,Defense,00-0029530,20,CB,BET201235,CB,Justin Bethel
2018,ATL,2.0,REG,2,Richards,Jordan,Jordan,Defense,00-0031559,48,SS,RIC293560,S,Jordan Richards
2018,ATL,2.0,REG,1,Riley,Duke,Duke,Defense,00-0033549,45,ILB,RIL146648,LB,Duke Riley
2018,ATL,2.0,REG,3,Gage,Russell,Russell,Offense,00-0034411,3,WR,GAG130654,WR,Russell Gage
2018,ATL,2.0,REG,2,Sambrailo,Tyler,Ty,Offense,00-0032147,70,T,SAM009394,LT,Ty Sambrailo
2018,ATL,2.0,REG,1,Alford,Robert,Robert,Defense,00-0030528,23,CB,ALF657259,CB,Robert Alford
2018,ATL,2.0,REG,1,Mack,Alex,Alex,Offense,00-0026997,50,C,MAC273212,C,Alex Mack
2018,ATL,2.0,REG,1,Allen,Ricardo,Ricardo,Defense,00-0031181,37,SS,ALL641418,S,Ricardo Allen
2018,ATL,2.0,REG,2,Ishmael,Kemal,Kemal,Defense,00-0030427,36,SS,ISH415291,LB,Kemal Ishmael
2018,ATL,2.0,REG,2,Schweitzer,Weston,Wes,Offense,00-0032432,71,G,SCH821050,C,Wes Schweitzer
2018,ATL,2.0,REG,2,Schweitzer,Weston,Wes,Offense,00-0032432,71,G,SCH821050,RG,Wes Schweitzer
2018,ATL,2.0,REG,2,Hardy,Justin,Justin,Offense,00-0031570,6,WR,HAR111877,WR,Justin Hardy
2018,ATL,2.0,REG,2,Garland,Ben,Ben,Offense,00-0027282,63,C,GAR218169,LG,Ben Garland
2018,ATL,2.0,REG,2,Gono,Matthew,Matt,Offense,00-0034140,73,T,GON205666,RT,Matt Gono
2018,ATL,2.0,REG,1,Harris,Josh,Josh,Special Teams,00-0028845,47,LS,HAR000002,LS,Josh Harris
