,player_id,player_name,player_display_name,position,position_group,headshot_url,season,season_type,recent_team,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,pacr,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance_list,fantasy_points,fantasy_points_ppr
0,00-0016919,A.Vinatieri,Adam Vinatieri,K,SPEC,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/imfj1hl4kob4jof8hcwa",2019,REG,IND,12,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,25,6,2,55.0,0.68,0,6,6,3,2,0,0,1,0,3,2,0,44;49;21;26;32;32;31;29;55;45;51;25;25;39;34;36;28,46;29;57;45;43;55,53;46,602,275,99,22,28,5,1,0.7857142857142857,1,2,1,0,51;43,0.0,0.0
1,00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",2019,REG,NE,16,373,613,4057,24,8,27,-185,2,1,4613,1863,194,31.601536470769254,-2.0978854185548323,1,0.8794710600476913,26,34,3,0,0,8,0.8319189805644012,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,43,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,263.67999999999995,263.67999999999995
2,00-0020531,D.Brees,Drew Brees,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bt6nv11jgsirnuymookt",2019,REG,NO,11,281,378,2979,27,4,12,-89,0,0,2425,1495,161,92.84857726935644,6.057688961290333,0,1.2284536082474227,9,-4,1,0,0,2,2.232561841025017,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,224.76,224.76
3,00-0020578,M.Bryant,Matt Bryant,K,SPEC,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/okrutwlsyxd3w2xtohun",2019,REG,ATL,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,5,0,52.0,0.6428571428571429,0,1,3,3,2,0,0,0,1,0,4,0,50;34;42;35;29;44;52;47;37,50;32;50;51;53,,370,236,0,14,15,1,0,0.9333333333333333,0,0,0,0,,0.0,0.0
4,00-0021206,J.McCown,Josh McCown,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qcauc37wqjdaxdbq1evu",2019,REG,PHI,2,3,5,24,0,0,0,0,0,0,22,15,2,1.1289297543116845,-15.591535568237305,0,1.0909090909090908,2,-2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,0.76,0.76
5,00-0022127,J.Witten,Jason Witten,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/r7uafhtwuexuaty0nhsc",2019,REG,DAL,16,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,63,83,529,4,1,1,546,162,27,19.34769890632729,1,0.9688644688644689,0.1440972222222222,0.09727418492784608,0.28423776278282553,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,76.9,139.9
6,00-0022161,T.Suggs,Terrell Suggs,OLB,LB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s8bqh2tllr3pyz03fvrx",2019,REG,KC,13,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,19,4,16,9,35,4,6.5,50.5,9,0,0,0,0,0,0,0,0,0,1,1,0,6,24,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0
7,00-0022247,M.Adams,Mike Adams,FS,DB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lkfpqqbpyo1y29eeoqhb",2019,REG,HOU,3,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,2,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0
8,00-0022455,D.Muhlbach,Don Muhlbach,LS,SPEC,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vjbgntsu7pzptgr9no5k",2019,REG,DET,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0
9,00-0022531,J.Peters,Jason Peters,OT,OL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xcsyqvrlrpe6s3d0rodq",2019,REG,PHI,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,55,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0
